energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-5.10555278,0.76916044,0.00164141,0.00563933,0.12943167,0.45514108,0.23717813,0.00000000,0.30357856,0.01403730
-5.09954977,0.79372763,0.00151671,0.00537858,0.13333857,0.48603161,0.24079794,0.00000000,0.29225682,0.01361204
-5.09354677,0.82033890,0.00140006,0.00513393,0.13825990,0.51941707,0.24477601,0.00000000,0.27979245,0.01314479
-5.08754377,0.84906888,0.00129022,0.00490990,0.14418884,0.55517215,0.24916898,0.00000000,0.26645959,0.01264638
-5.08154077,0.87993560,0.00118638,0.00471270,0.15112083,0.59310495,0.25402401,0.00000000,0.25254884,0.01212811
-5.07553777,0.91288799,0.00108806,0.00455014,0.15905141,0.63295181,0.25937440,0.00000000,0.23835949,0.01160147
-5.06953477,0.94779682,0.00099507,0.00443162,0.16797449,0.67437487,0.26523602,0.00000000,0.22419220,0.01107778
-5.06353177,0.98444986,0.00090741,0.00436813,0.17788112,0.71696301,0.27160473,0.00000000,0.21034227,0.01056790
-5.05752876,1.02255164,0.00082527,0.00437223,0.18875896,0.76023623,0.27845513,0.00000000,0.19709367,0.01008198
-5.05152576,1.06172821,0.00074892,0.00445811,0.20059230,0.80365376,0.28574047,0.00000000,0.18471420,0.00962928
-5.04552276,1.10153670,0.00067871,0.00464157,0.21336282,0.84662570,0.29339394,0.00000000,0.17345153,0.00921802
-5.03951976,1.14147935,0.00061500,0.00494011,0.22705080,0.88852790,0.30133112,0.00000000,0.16353028,0.00885528
-5.03351676,1.18102142,0.00055813,0.00537293,0.24163680,0.92871957,0.30945344,0.00000000,0.15515012,0.00854699
-5.02751376,1.21961219,0.00050842,0.00596097,0.25710352,0.96656304,0.31765253,0.00000000,0.14848450,0.00829790
-5.02151076,1.25670774,0.00046615,0.00672684,0.27343771,1.00144478,0.32581505,0.00000000,0.14368014,0.00811165
-5.01550775,1.29179463,0.00043153,0.00769480,0.29063180,1.03279675,0.33382780,0.00000000,0.14085694,0.00799080
-5.00950475,1.32441287,0.00040470,0.00889060,0.30868510,1.06011719,0.34158273,0.00000000,0.14010804,0.00793693
-5.00350175,1.35417730,0.00038577,0.01034124,0.32760439,1.08298984,0.34898156,0.00000000,0.14150010,0.00795072
-4.99749875,1.38079578,0.00037478,0.01207468,0.34740354,1.10110063,0.35593983,0.00000000,0.14507341,0.00803200
-4.99149575,1.40408353,0.00037171,0.01411937,0.36810235,1.11425103,0.36238991,0.00000000,0.15084190,0.00817986
-4.98549275,1.42397253,0.00037654,0.01650370,0.38972416,1.12236734,0.36828310,0.00000000,0.15879293,0.00839263
-4.97948974,1.44051554,0.00038919,0.01925531,0.41229264,1.12550544,0.37359051,0.00000000,0.16888691,0.00866800
-4.97348674,1.45388442,0.00040959,0.02240028,0.43582755,1.12385075,0.37830275,0.00000000,0.18105680,0.00900294
-4.96748374,1.46436284,0.00043767,0.02596216,0.46033980,1.11771319,0.38242855,0.00000000,0.19520758,0.00939377
-4.96148074,1.47233353,0.00047340,0.02996096,0.48582600,1.10751740,0.38599238,0.00000000,0.21121585,0.00983611
-4.95547774,1.47826100,0.00051676,0.03441199,0.51226279,1.09378869,0.38903123,0.00000000,0.22892983,0.01032486
-4.94947474,1.48267027,0.00056781,0.03932470,0.53960132,1.07713510,0.39159092,0.00000000,0.24816970,0.01085423
-4.94347174,1.48612289,0.00062669,0.04470146,0.56776222,1.05822656,0.39372200,0.00000000,0.26872874,0.01141770
-4.93746873,1.48919139,0.00069361,0.05053644,0.59663138,1.03777196,0.39547574,0.00000000,0.29037516,0.01200806
-4.93146573,1.49243344,0.00076892,0.05681451,0.62605699,1.01649513,0.39690031,0.00000000,0.31285487,0.01261744
-4.92546273,1.49636696,0.00085308,0.06351032,0.65584797,0.99511076,0.39803749,0.00000000,0.33589516,0.01323742
-4.91945973,1.50144750,0.00094670,0.07058761,0.68577417,0.97430133,0.39892003,0.00000000,0.35920931,0.01385910
-4.91345673,1.50804880,0.00105053,0.07799874,0.71556836,0.95469596,0.39956990,0.00000000,0.38250199,0.01447327
-4.90745373,1.51644761,0.00116546,0.08568455,0.74493014,0.93685200,0.39999745,0.00000000,0.40547536,0.01507057
-4.90145073,1.52681328,0.00129254,0.09357467,0.77353162,0.92124018,0.40020148,0.00000000,0.42783566,0.01564165
-4.89544772,1.53920259,0.00143291,0.10158807,0.80102482,0.90823365,0.40017023,0.00000000,0.44929992,0.01617746
-4.88944472,1.55355996,0.00158785,0.10963424,0.82705046,0.89810136,0.39988310,0.00000000,0.46960270,0.01666939
-4.88344172,1.56972288,0.00175864,0.11761463,0.85124789,0.89100590,0.39931305,0.00000000,0.48850242,0.01710956
-4.87743872,1.58743215,0.00194660,0.12542459,0.87326562,0.88700557,0.39842937,0.00000000,0.50578695,0.01749097
-4.87143572,1.60634632,0.00215298,0.13295570,0.89277227,0.88606057,0.39720069,0.00000000,0.52127841,0.01780771
-4.86543272,1.62605958,0.00237889,0.14009833,0.90946715,0.88804264,0.39559799,0.00000000,0.53483671,0.01805515
-4.85942971,1.64612200,0.00262521,0.14674456,0.92309036,0.89274774,0.39359739,0.00000000,0.54636179,0.01822999
-4.85342671,1.66606128,0.00289254,0.15279115,0.93343168,0.89991092,0.39118256,0.00000000,0.55579449,0.01833042
-4.84742371,1.68540483,0.00318103,0.15814255,0.94033817,0.90922267,0.38834664,0.00000000,0.56311599,0.01835607
