energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
1.14957479,1.68552443,0.28235220,0.00000000,0.01975201,0.18606560,0.45665984,1.40397777
1.15557779,1.72105841,0.30416442,0.00000000,0.02057506,0.20506578,0.47666862,1.40592691
1.16158079,1.76182157,0.32806724,0.00000000,0.02137806,0.22549367,0.49715566,1.41069691
1.16758379,1.80772323,0.35392896,0.00000000,0.02215977,0.24726429,0.51804792,1.41838161
1.17358679,1.85853572,0.38156004,0.00000000,0.02291877,0.27024853,0.53924786,1.42900933
1.17958979,1.91388007,0.41071076,0.00000000,0.02365325,0.29427036,0.56062774,1.44253244
1.18559280,1.97321652,0.44107075,0.00000000,0.02436068,0.31910575,0.58202511,1.45881906
1.19159580,2.03584070,0.47227062,0.00000000,0.02503757,0.34448332,0.60323997,1.47764777
1.19759880,2.10088674,0.50388595,0.00000000,0.02567929,0.37008716,0.62403392,1.49870588
1.20360180,2.16733778,0.53544383,0.00000000,0.02627993,0.39556172,0.64413165,1.52159180
1.20960480,2.23404419,0.56643186,0.00000000,0.02683235,0.42051886,0.66322487,1.54582170
1.21560780,2.29974930,0.59630964,0.00000000,0.02732821,0.44454688,0.68097870,1.57084043
1.22161081,2.36312189,0.62452224,0.00000000,0.02775817,0.46722129,0.69704041,1.59603637
1.22761381,2.42279437,0.65051548,0.00000000,0.02811218,0.48811691,0.71105017,1.62075966
1.23361681,2.47740515,0.67375230,0.00000000,0.02837985,0.50682089,0.72265337,1.64434301
1.23961981,2.52564324,0.69372955,0.00000000,0.02855088,0.52294615,0.73151393,1.66612410
1.24562281,2.56629305,0.70999461,0.00000000,0.02861552,0.53614447,0.73732801,1.68546845
1.25162581,2.59827733,0.72216095,0.00000000,0.02856511,0.54611884,0.73983733,1.70179164
1.25762881,2.62069596,0.72992192,0.00000000,0.02839251,0.55263441,0.73884142,1.71457973
1.26363182,2.63285881,0.73306216,0.00000000,0.02809256,0.55552739,0.73420821,1.72340683
1.26963482,2.63431093,0.73146597,0.00000000,0.02766245,0.55471171,0.72588223,1.72794904
1.27563782,2.62484892,0.72512225,0.00000000,0.02710201,0.55018288,0.71389015,1.72799395
1.28164082,2.60452765,0.71412576,0.00000000,0.02641388,0.54201895,0.69834320,1.72344546
1.28764382,2.57365708,0.69867467,0.00000000,0.02560353,0.53037863,0.67943638,1.71432366
1.29364682,2.53278959,0.67906434,0.00000000,0.02467927,0.51549643,0.65744455,1.70076003
1.29964982,2.48269839,0.65567798,0.00000000,0.02365200,0.49767533,0.63271554,1.68298819
1.30565283,2.42434844,0.62897423,0.00000000,0.02253495,0.47727714,0.60566060,1.66133101
1.31165583,2.35886127,0.59947263,0.00000000,0.02134328,0.45471113,0.57674282,1.63618468
1.31765883,2.28747560,0.56773747,0.00000000,0.02009363,0.43042144,0.54646386,1.60800077
1.32366183,2.21150572,0.53436079,0.00000000,0.01880365,0.40487386,0.51534984,1.57726723
1.32966483,2.13229944,0.49994535,0.00000000,0.01749143,0.37854243,0.48393678,1.54448921
1.33566783,2.05119769,0.46508821,0.00000000,0.01617498,0.35189663,0.45275637,1.51017080
1.34167084,1.96949719,0.43036556,0.00000000,0.01487180,0.32538948,0.42232255,1.47479829
1.34767384,1.88841771,0.39631937,0.00000000,0.01359834,0.29944693,0.39311935,1.43882586
1.35367684,1.80907496,0.36344622,0.00000000,0.01236969,0.27445903,0.36559029,1.40266399
1.35967984,1.73245975,0.33218861,0.00000000,0.01119925,0.25077286,0.34012976,1.36667116
1.36568284,1.65942372,0.30292887,0.00000000,0.01009850,0.22868752,0.31707626,1.33114877
1.37168584,1.59067174,0.27598558,0.00000000,0.00907688,0.20845105,0.29670785,1.29633943
1.37768884,1.52676048,0.25161248,0.00000000,0.00814174,0.19025919,0.27923948,1.26242832
1.38369185,1.46810266,0.22999960,0.00000000,0.00729834,0.17425588,0.26482226,1.22954731
1.38969485,1.41497612,0.21127625,0.00000000,0.00655000,0.16053531,0.25354441,1.19778153
1.39569785,1.36753679,0.19551564,0.00000000,0.00589821,0.14914510,0.24543382,1.16717760
1.40170085,1.32583456,0.18274059,0.00000000,0.00534290,0.14009057,0.24046181,1.13775331
1.40770385,1.28983103,0.17293015,0.00000000,0.00488260,0.13333962,0.23854812,1.10950783
1.41370685,1.25941813,0.16602663,0.00000000,0.00451477,0.12882814,0.23956678,1.08243215
1.41970985,1.23443672,0.16194274,0.00000000,0.00423607,0.12646561,0.24335268,1.05651907
1.42571286,1.21469449,0.16056864,0.00000000,0.00404257,0.12614069,0.24970886,1.03177230
1.43171586,1.19998232,0.16177856,0.00000000,0.00393008,0.12772670,0.25841404,1.00821435
1.43771886,1.19008872,0.16543695,0.00000000,0.00389437,0.13108680,0.26923063,0.98589278
1.44372186,1.18481199,0.17140380,0.00000000,0.00393133,0.13607871,0.28191270,0.96488469
1.44972486,1.18396967,0.17953930,0.00000000,0.00403722,0.14255902,0.29621398,0.94529919
1.45572786,1.18740533,0.18970751,0.00000000,0.00420876,0.15038680,0.31189561,0.92727795
1.46173087,1.19499254,0.20177921,0.00000000,0.00444324,0.15942670,0.32873342,0.91099362
1.46773387,1.20663601,0.21563377,0.00000000,0.00473853,0.16955130,0.34652443,0.89664642
1.47373687,1.22227003,0.23116008,0.00000000,0.00509315,0.18064273,0.36509254,0.88445883
