energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-1.45572786,6.71503880,0.04700681,0.12439655,1.11280673,2.71193751,1.20961294,1.53546496,0.16881742,2.04760573
-1.44972486,6.84131414,0.04935697,0.12634930,1.13104344,2.74655767,1.22723258,1.55856328,0.17606523,2.10656740
-1.44372186,6.97521816,0.05188678,0.12850852,1.15079224,2.78369856,1.24719339,1.58311381,0.18315086,2.16902177
-1.43771886,7.11517120,0.05456163,0.13081322,1.17202246,2.82286811,1.26911929,1.60871310,0.18998869,2.23444614
-1.43171586,7.25926098,0.05734088,0.13319695,1.19463271,2.86344639,1.29255318,1.63489504,0.19649133,2.30219076
-1.42571286,7.40525017,0.06017857,0.13558959,1.21844435,2.90468525,1.31696590,1.66113686,0.20257150,2.37147604
-1.41970985,7.55060232,0.06302449,0.13791941,1.24319809,2.94571532,1.34176978,1.68686909,0.20814423,2.44139562
-1.41370685,7.69252614,0.06582546,0.14011548,1.26855419,2.98556048,1.36633619,1.71148927,0.21312924,2.51092568
-1.40770385,7.82803741,0.06852687,0.14211022,1.29409642,3.02315948,1.39001644,1.73437899,0.21745353,2.57894060
-1.40170085,7.95403655,0.07107440,0.14384208,1.31933976,3.05739408,1.41216495,1.75492364,0.22105400,2.64423478
-1.39569785,8.06739874,0.07341583,0.14525799,1.34374176,3.08712249,1.43216391,1.77253396,0.22388003,2.70555001
-1.38969485,8.16507315,0.07550296,0.14631580,1.36671708,3.11121659,1.44944799,1.78666839,0.22589596,2.76160758
-1.38369185,8.24418661,0.07729346,0.14698619,1.38765473,3.12860137,1.46352804,1.79685529,0.22708316,2.81114382
-1.37768884,8.30214734,0.07875259,0.14725430,1.40593739,3.13829451,1.47401270,1.80271389,0.22744186,2.85294777
-1.37168584,8.33674359,0.07985486,0.14712078,1.42096187,3.13944435,1.48062679,1.80397293,0.22699230,2.88589930
-1.36568284,8.34623287,0.08058527,0.14660222,1.43216003,3.13136437,1.48322571,1.80048613,0.22577549,2.90900608
