energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
4.01300650,3.27798120,-2.42349642,1.56219073,-1.14760318,0.12507485,-0.09864235,0.23241153,-0.17249406,0.26576865,-0.19990657,0.36192339,-0.27105995,0.00000000,-0.00000000
4.01900950,3.44738450,-2.62624381,1.64565465,-1.24488219,0.13103854,-0.10662014,0.24482891,-0.18698898,0.27803847,-0.21582288,0.37867346,-0.29269725,0.00000000,-0.00000000
4.02501251,3.60223622,-2.82721507,1.72254538,-1.34163464,0.13639357,-0.11446958,0.25631384,-0.20144523,0.28886461,-0.23142436,0.39365674,-0.31395310,0.00000000,-0.00000000
4.03101551,3.74007869,-3.02350723,1.79166722,-1.43648722,0.14105308,-0.12207365,0.26669420,-0.21565773,0.29803795,-0.24645024,0.40664027,-0.33451502,0.00000000,-0.00000000
4.03701851,3.85875127,-3.21216398,1.85195780,-1.52803693,0.14494291,-0.12931423,0.27581756,-0.22941835,0.30537886,-0.26063753,0.41742932,-0.35406961,0.00000000,-0.00000000
4.04302151,3.95645446,-3.39025318,1.90251888,-1.61488700,0.14800394,-0.13607540,0.28355529,-0.24252091,0.31074305,-0.27372807,0.42587323,-0.37231125,0.00000000,-0.00000000
4.04902451,4.03180250,-3.55494811,1.94264214,-1.69568478,0.15019375,-0.14224676,0.28980594,-0.25476649,0.31402624,-0.28547591,0.43186988,-0.38895101,0.00000000,-0.00000000
4.05502751,4.08386209,-3.70360870,1.97182851,-1.76915984,0.15148790,-0.14772669,0.29449760,-0.26596872,0.31516768,-0.29565469,0.43536838,-0.40372531,0.00000000,-0.00000000
4.06103052,4.11217564,-3.83385940,1.98980049,-1.83416071,0.15188039,-0.15242550,0.29758933,-0.27595886,0.31415214,-0.30406475,0.43637003,-0.41640391,0.00000000,-0.00000000
4.06703352,4.11676814,-3.94366004,1.99650682,-1.88968848,0.15138361,-0.15626810,0.29907146,-0.28459040,0.31101028,-0.31053950,0.43492750,-0.42679700,0.00000000,-0.00000000
