energy_ev,total_up,Al_p_up,Al_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-1.10755378,4.14785340,0.54889716,0.00000000,1.18669216,1.82136257,0.20818111,1.68920025
-1.10155078,4.01896744,0.53669988,0.00000000,1.14114358,1.76426487,0.21093060,1.61608588
-1.09554777,3.90779180,0.52596078,0.00000000,1.09843531,1.71195871,0.21490470,1.55369230
-1.08954477,3.81544079,0.51681677,0.00000000,1.05908521,1.66494575,0.22019357,1.50257305
-1.08354177,3.74252251,0.50934583,0.00000000,1.02349824,1.62354107,0.22685711,1.46303482
-1.07753877,3.68914004,0.50356746,0.00000000,0.99196070,1.58787144,0.23492140,1.43514010
-1.07153577,3.65490602,0.49944549,0.00000000,0.96463884,1.55788016,0.24437576,1.41871413
-1.06553277,3.63897009,0.49689289,0.00000000,0.94158171,1.53333817,0.25517090,1.41335570
-1.05952976,3.64005783,0.49577836,0.00000000,0.92272803,1.51386097,0.26721790,1.41845156
-1.05352676,3.65651986,0.49593437,0.00000000,0.90791650,1.49893032,0.28038842,1.43319405
-1.04752376,3.68638920,0.49716618,0.00000000,0.89689919,1.48791990,0.29451595,1.45660161
-1.04152076,3.72744503,0.49926137,0.00000000,0.88935703,1.48012363,0.30939836,1.48754203
-1.03551776,3.77728056,0.50199943,0.00000000,0.88491684,1.47478528,0.32480147,1.52475792
-1.02951476,3.83337302,0.50516094,0.00000000,0.88316898,1.47112840,0.34046388,1.56689427
-1.02351176,3.89315356,0.50853592,0.00000000,0.88368482,1.46838492,0.35610269,1.61252769
-1.01750875,3.95407519,0.51193105,0.00000000,0.88603343,1.46582174,0.37142024,1.66019690
-1.01150575,4.01367690,0.51517530,0.00000000,0.88979672,1.46276395,0.38611148,1.70843414
-1.00550275,4.06964262,0.51812417,0.00000000,0.89458265,1.45861441,0.39987191,1.75579693
-0.99949975,4.11985373,0.52066206,0.00000000,0.90003614,1.45286885,0.41240586,1.80089974
-0.99349675,4.16243418,0.52270317,0.00000000,0.90584745,1.44512644,0.42343467,1.84244478
-0.98749375,4.19578785,0.52419086,0.00000000,0.91175807,1.43509594,0.43270482,1.87925140
-0.98149075,4.21862759,0.52509582,0.00000000,0.91756416,1.42259749,0.43999536,1.91028334
-0.97548774,4.22999599,0.52541318,0.00000000,0.92311781,1.40756055,0.44512468,1.93467301
-0.96948474,4.22927808,0.52515913,0.00000000,0.92832639,1.39001863,0.44795620,1.95174224
-0.96348174,4.21620604,0.52436706,0.00000000,0.93315027,1.37010127,0.44840276,1.96101864
-0.95747874,4.19085638,0.52308386,0.00000000,0.93759943,1.34802416,0.44642958,1.96224703
-0.95147574,4.15364004,0.52136634,0.00000000,0.94172903,1.32407773,0.44205566,1.95539547
-0.94547274,4.10528578,0.51927816,0.00000000,0.94563448,1.29861518,0.43535346,1.94065542
-0.93946973,4.04681728,0.51688739,0.00000000,0.94944598,1.27203997,0.42644698,1.91843593
-0.93346673,3.97952451,0.51426465,0.00000000,0.95332278,1.24479358,0.41550818,1.88935178
-0.92746373,3.90492967,0.51148189,0.00000000,0.95744717,1.21734337,0.40275194,1.85420588
-0.92146073,3.82474841,0.50861161,0.00000000,0.96201811,1.19017098,0.38842975,1.81396628
-0.91545773,3.74084661,0.50572651,0.00000000,0.96724445,1.16376107,0.37282226,1.76973848
-0.90945473,3.65519376,0.50289927,0.00000000,0.97333775,1.13859056,0.35623113,1.72273388
-0.90345173,3.56981334,0.50020220,0.00000000,0.98050440,1.11511811,0.33897038,1.67423540
