energy_ev,total_up,Ge_p_up,Ge_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-5.02151076,0.54306127,0.13970666,0.00000000,0.40715338,0.09787984,0.02585810,0.14202292
-5.01550775,0.49879628,0.12918976,0.00000000,0.37599692,0.08942215,0.02342121,0.13020423
-5.00950475,0.45749706,0.11958299,0.00000000,0.34717687,0.08139052,0.02113054,0.11908457
-5.00350175,0.41985633,0.11109502,0.00000000,0.32130303,0.07389427,0.01900230,0.10884115
-4.99749875,0.38652294,0.10392801,0.00000000,0.29895497,0.06703149,0.01705105,0.09963655
-4.99149575,0.35809842,0.09827665,0.00000000,0.28067996,0.06088849,0.01528940,0.09161809
-4.98549275,0.33513537,0.09432743,0.00000000,0.26699195,0.05553968,0.01372779,0.08491780
-4.97948974,0.31813719,0.09225807,0.00000000,0.25837105,0.05104785,0.01237446,0.07965263
-4.97348674,0.30755808,0.09223683,0.00000000,0.25526289,0.04746466,0.01123545,0.07592496
-4.96748374,0.30380290,0.09442141,0.00000000,0.25807718,0.04483125,0.01031468,0.07382299
-4.96148074,0.30722584,0.09895735,0.00000000,0.26718489,0.04317882,0.00961408,0.07342101
-4.95547774,0.31812752,0.10597567,0.00000000,0.28291358,0.04252916,0.00913370,0.07477927
-4.94947474,0.33674995,0.11558970,0.00000000,0.30554065,0.04289488,0.00887184,0.07794338
-4.94347174,0.36326913,0.12789102,0.00000000,0.33528418,0.04427950,0.00882513,0.08294325
-4.93746873,0.39778530,0.14294461,0.00000000,0.37229157,0.04667716,0.00898853,0.08979136
-4.93146573,0.44031106,0.16078320,0.00000000,0.41662636,0.05007205,0.00935539,0.09848059
-4.92546273,0.49075792,0.18140127,0.00000000,0.46825349,0.05443764,0.00991730,0.10898168
-4.91945973,0.54892189,0.20474878,0.00000000,0.52702412,0.05973566,0.01066407,0.12124033
-4.91345673,0.61446924,0.23072506,0.00000000,0.59266066,0.06591508,0.01158354,0.13517436
-4.90745373,0.68692336,0.25917336,0.00000000,0.66474320,0.07291099,0.01266149,0.15067101
-4.90145073,0.76565408,0.28987643,0.00000000,0.74269850,0.08064377,0.01388148,0.16758476
-4.89544772,0.84987048,0.32255355,0.00000000,0.82579274,0.08901849,0.01522479,0.18573584
-4.88944472,0.93861854,0.35685952,0.00000000,0.91312894,0.09792469,0.01667039,0.20490973
-4.88344172,1.03078443,0.39238593,0.00000000,1.00365028,0.10723678,0.01819497,0.22485793
-4.87743872,1.12510435,0.42866495,0.00000000,1.09614975,0.11681499,0.01977315,0.24530004
-4.87143572,1.22018124,0.46517583,0.00000000,1.18928669,0.12650708,0.02137769,0.26592738
-4.86543272,1.31450863,0.50135412,0.00000000,1.28161029,0.13615065,0.02297986,0.28640816
-4.85942971,1.40650103,0.53660349,0.00000000,1.37158961,0.14557622,0.02455001,0.30639400
-4.85342671,1.49453048,0.57030979,0.00000000,1.45764945,0.15461088,0.02605805,0.32552784
-4.84742371,1.57696776,0.60185705,0.00000000,1.53821097,0.16308243,0.02747420,0.34345290
-4.84142071,1.65222711,0.63064462,0.00000000,1.61173556,0.17082392,0.02876970,0.35982231
-4.83541771,1.71881239,0.65610499,0.00000000,1.67677018,0.17767826,0.02991755,0.37430919
-4.82941471,1.77536289,0.67772140,0.00000000,1.73199225,0.18350293,0.03089333,0.38661651
-4.82341171,1.82069668,0.69504446,0.00000000,1.77625213,0.18817434,0.03167584,0.39648660
-4.81740870,1.85384935,0.70770707,0.00000000,1.80861111,0.19159177,0.03224780,0.40370956
-4.81140570,1.87410650,0.71543677,0.00000000,1.82837313,0.19368070,0.03259637,0.40813033
-4.80540270,1.88102813,0.71806513,0.00000000,1.83510865,0.19439527,0.03271353,0.40965408
-4.79939970,1.87446387,0.71553349,0.00000000,1.82866947,0.19371984,0.03259637,0.40824958
-4.79339670,1.85455814,0.70789491,0.00000000,1.80919372,0.19166949,0.03224711,0.40395040
-4.78739370,1.82174519,0.69531211,0.00000000,1.77710085,0.18828956,0.03167301,0.39685395
-4.78139070,1.77673392,0.67805159,0.00000000,1.73307672,0.18365404,0.03088612,0.38711831
-4.77538769,1.72048362,0.65647415,0.00000000,1.67804957,0.17786313,0.02990279,0.37495713
-4.76938469,1.65417150,0.63102233,0.00000000,1.61315820,0.17103987,0.02874314,0.36063273
-4.76338169,1.57915386,0.60220530,0.00000000,1.53971364,0.16332625,0.02743034,0.34444787
