energy_ev,total_up,Hf_p_up,Hf_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-1.47373687,2.70330972,2.29638467,1.04070015,1.29911100,0.00063361,0.00863464,0.75545241
-1.46773387,2.61600356,2.14931859,1.03144796,1.24583002,0.00061751,0.00780772,0.71660106
-1.46173087,2.52475041,2.00751633,1.01758347,1.19223888,0.00060027,0.00705874,0.67842457
-1.45572786,2.42935008,1.87115469,0.99898405,1.13821416,0.00058174,0.00638148,0.64091232
-1.44972486,2.32973398,1.74029504,0.97564335,1.08367171,0.00056180,0.00576952,0.60404897
-1.44372186,2.22598531,1.61491553,0.94767401,1.02857887,0.00054042,0.00521651,0.56782311
-1.43771886,2.11835013,1.49494111,0.91530539,0.97296260,0.00051761,0.00471636,0.53223431
-1.43171586,2.00723904,1.38026971,0.87887656,0.91691352,0.00049345,0.00426333,0.49729825
-1.42571286,1.89321964,1.27079349,0.83882503,0.86058557,0.00046808,0.00385222,0.46304981
-1.41970985,1.77700064,1.16641478,0.79567180,0.80419175,0.00044169,0.00347839,0.42954404
-1.41370685,1.65940880,1.06705634,0.75000364,0.74799633,0.00041452,0.00313780,0.39685527
-1.40770385,1.54136054,0.97266636,0.70245361,0.69230425,0.00038682,0.00282702,0.36507452
-1.40170085,1.42382994,0.88321875,0.65368064,0.63744849,0.00035890,0.00254324,0.33430562
-1.39569785,1.30781510,0.79870956,0.60434947,0.58377636,0.00033104,0.00228420,0.30466037
-1.38969485,1.19430500,0.71915059,0.55511157,0.53163545,0.00030355,0.00204818,0.27625328
-1.38369185,1.08424844,0.64456120,0.50658806,0.48136018,0.00027674,0.00183392,0.24919619
-1.37768884,0.97852660,0.57495936,0.45935524,0.43325955,0.00025088,0.00164057,0.22359318
-1.37168584,0.87793056,0.51035284,0.41393312,0.38760684,0.00022624,0.00146767,0.19953615
-1.36568284,0.78314433,0.45073147,0.37077733,0.34463134,0.00020306,0.00131506,0.17710122
-1.35967984,0.69473400,0.39606080,0.33027440,0.30451276,0.00018154,0.00118290,0.15634612
-1.35367684,0.61314284,0.34627777,0.29274034,0.26737804,0.00016188,0.00107158,0.13730875
-1.34767384,0.53869214,0.30128843,0.25842216,0.23330066,0.00014421,0.00098176,0.12000670
-1.34167084,0.47158703,0.26096777,0.22750201,0.20230215,0.00012867,0.00091432,0.10443789
-1.33566783,0.41192648,0.22516142,0.20010334,0.17435560,0.00011538,0.00087037,0.09058200
-1.32966483,0.35971633,0.19368898,0.17629852,0.14939060,0.00010441,0.00085127,0.07840256
-1.32366183,0.31488436,0.16634856,0.15611725,0.12729936,0.00009584,0.00085856,0.06784959
-1.31765883,0.27729620,0.14292206,0.13955529,0.10794349,0.00008973,0.00089403,0.05886248
-1.31165583,0.24677099,0.12318085,0.12658271,0.09116105,0.00008614,0.00095966,0.05137290
-1.30565283,0.22309585,0.10689135,0.11715142,0.07677354,0.00008512,0.00105756,0.04530759
-1.29964982,0.20603835,0.09382011,0.11120133,0.06459243,0.00008672,0.00119002,0.04059091
-1.29364682,0.19535635,0.08373820,0.10866495,0.05442510,0.00009098,0.00135936,0.03714684
-1.28764382,0.19080477,0.07642454,0.10947022,0.04607988,0.00009795,0.00156787,0.03490060
