energy_ev,total_up,Bi_p_up,Bi_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-5.19559780,1.29556741,0.38609612,0.00480954,1.41103424,0.16870139,0.03778866,0.47079429
-5.18959480,1.20516702,0.36513840,0.00434783,1.32878640,0.15331139,0.03462352,0.44149121
-5.18359180,1.11674101,0.34369827,0.00394300,1.24570865,0.13876793,0.03163744,0.41223665
-5.17758879,1.03093190,0.32197099,0.00359714,1.16253879,0.12514117,0.02883055,0.38328851
-5.17158579,0.94831103,0.30014849,0.00331172,1.07998423,0.11248189,0.02620080,0.35488795
-5.16558279,0.86937842,0.27841699,0.00308768,0.99871447,0.10082304,0.02374450,0.32725726
-5.15957979,0.79456311,0.25695469,0.00292558,0.91935399,0.09018144,0.02145687,0.30059810
-5.15357679,0.72422414,0.23592937,0.00282563,0.84247548,0.08055962,0.01933250,0.27508988
-5.14757379,0.65865170,0.21549635,0.00278773,0.76859383,0.07194772,0.01736565,0.25088845
-5.14157079,0.59806866,0.19579647,0.00281154,0.69816101,0.06432530,0.01555053,0.22812502
-5.13556778,0.54263226,0.17695456,0.00289643,0.63156197,0.05766302,0.01388155,0.20690546
-5.12956478,0.49243607,0.15907822,0.00304149,0.56911190,0.05192424,0.01235340,0.18730982
-5.12356178,0.44751231,0.14225708,0.00324544,0.51105482,0.04706643,0.01096112,0.16939238
-5.11755878,0.40783447,0.12656259,0.00350661,0.45756382,0.04304235,0.00970021,0.15318201
-5.11155578,0.37332055,0.11204828,0.00382286,0.40874270,0.03980115,0.00856656,0.13868293
-5.10555278,0.34383671,0.09875054,0.00419148,0.36462923,0.03728931,0.00755656,0.12587599
-5.09954977,0.31920165,0.08668984,0.00460916,0.32519976,0.03545136,0.00666699,0.11472025
-5.09354677,0.29919166,0.07587235,0.00507193,0.29037512,0.03423068,0.00589513,0.10515503
-5.08754377,0.28354626,0.06629181,0.00557510,0.26002747,0.03357007,0.00523869,0.09710230
-5.08154077,0.27197457,0.05793170,0.00611332,0.23398802,0.03341244,0.00469589,0.09046939
-5.07553777,0.26416228,0.05076737,0.00668057,0.21205507,0.03370137,0.00426542,0.08515198
-5.06953477,0.25977901,0.04476823,0.00727022,0.19400233,0.03438181,0.00394649,0.08103725
-5.06353177,0.25848608,0.03989979,0.00787515,0.17958707,0.03540074,0.00373878,0.07800721
