energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-5.12956478,6.56252504,0.03750859,0.84671100,1.34310616,3.33321202,0.97582410,0.47786888,0.09335853,1.97623274
-5.12356178,6.50756654,0.03660710,0.84804282,1.33260910,3.32215581,0.95079500,0.47418018,0.09081240,1.93998496
-5.11755878,6.45682402,0.03567120,0.84981879,1.32389924,3.31311529,0.92632223,0.47085531,0.08821748,1.90527166
-5.11155578,6.41261119,0.03471905,0.85229546,1.31738453,3.30721721,0.90286369,0.46801782,0.08562186,1.87283472
-5.10555278,6.37714709,0.03376799,0.85571868,1.31345359,3.30554463,0.88086799,0.46578261,0.08307018,1.84338558
-5.09954977,6.35249075,0.03283403,0.86031648,1.31246549,3.30910332,0.86076415,0.46425225,0.08060250,1.81758506
-5.09354677,6.34048059,0.03193146,0.86629247,1.31474040,3.31879010,0.84295182,0.46351361,0.07825342,1.79602479
-5.08754377,6.34268074,0.03107252,0.87381997,1.32055133,3.33536429,0.82779214,0.46363523,0.07605144,1.77921093
-5.08154077,6.36033584,0.03026714,0.88303712,1.33011723,3.35942320,0.81559962,0.46466534,0.07401854,1.76755055
-5.07553777,6.39433584,0.02952279,0.89404299,1.34359763,3.39138253,0.80663519,0.46663075,0.07217002,1.76134136
-5.06953477,6.44519173,0.02884440,0.90689489,1.36108892,3.43146240,0.80110059,0.46953651,0.07051462,1.76076469
-5.06353177,6.51302281,0.02823444,0.92160688,1.38262219,3.47967940,0.79913417,0.47336647,0.06905477,1.76588214
-5.05752876,6.59755563,0.02769301,0.93814960,1.40816273,3.53584482,0.80080825,0.47808463,0.06778714,1.77663574
-5.05152576,6.69813447,0.02721802,0.95645121,1.43761104,3.59956939,0.80612790,0.48363722,0.06670327,1.79285148
-5.04552276,6.81374272,0.02680549,0.97639956,1.47080514,3.67027400,0.81503132,0.48995541,0.06579034,1.81424618
-5.03951976,6.94303440,0.02644987,0.99784541,1.50752419,3.74720627,0.82739159,0.49695857,0.06503206,1.84043716
-5.03351676,7.08437462,0.02614437,1.02060661,1.54749321,3.82946233,0.84301983,0.50455792,0.06440957,1.87095452
-5.02751376,7.23588765,0.02588132,1.04447309,1.59038868,3.91601304,0.86166969,0.51266036,0.06390240,1.90525551
-5.02151076,7.39551105,0.02565263,1.06921251,1.63584501,4.00573396,0.88304299,0.52117252,0.06348932,1.94274060
-5.01550775,7.56105418,0.02545010,1.09457640,1.68346162,4.09743782,0.90679649,0.53000457,0.06314923,1.98277068
-5.00950475,7.73025928,0.02526580,1.12030665,1.73281060,4.18990871,0.93254961,0.53907400,0.06286192,2.02468492
-5.00350175,7.90086326,0.02509239,1.14614205,1.78344477,4.28193672,0.95989293,0.54830888,0.06260870,2.06781877
-4.99749875,8.07065838,0.02492342,1.17182481,1.83490602,4.37235179,0.98839740,0.55765077,0.06237302,2.11152157
