energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
5.18359180,0.28292922,0.47195286,0.00117793,0.00390655,0.01986704,0.18751084,0.01430657,0.01523186,0.05010050
5.18959480,0.24362546,0.40262667,0.00098789,0.00347430,0.01682145,0.16694623,0.01214728,0.01339575,0.04270060
5.19559780,0.21108573,0.34461310,0.00082406,0.00313660,0.01422250,0.15093463,0.01031657,0.01195459,0.03642241
5.20160080,0.18498987,0.29729008,0.00068426,0.00289307,0.01204122,0.13941192,0.00879417,0.01089639,0.03119700
5.20760380,0.16501774,0.26004325,0.00056624,0.00274335,0.01024785,0.13230963,0.00755952,0.01020976,0.02695272
5.21360680,0.15086349,0.23229164,0.00046779,0.00268727,0.00881306,0.12956217,0.00659258,0.00988453,0.02361795
5.21960980,0.14224629,0.21350736,0.00038673,0.00272494,0.00770881,0.13111147,0.00587445,0.00991220,0.02112322
5.22561281,0.13891724,0.20322888,0.00032103,0.00285688,0.00690911,0.13690899,0.00538787,0.01028606,0.01940277
5.23161581,0.14066239,0.20106795,0.00026875,0.00308391,0.00639043,0.14691496,0.00511746,0.01100112,0.01839557
5.23761881,0.14730225,0.20671021,0.00022813,0.00340717,0.00613195,0.16109508,0.00504986,0.01205385,0.01804581
5.24362181,0.15868778,0.21990995,0.00019760,0.00382796,0.00611559,0.17941484,0.00517370,0.01344160,0.01830289
5.24962481,0.17469334,0.24047951,0.00017572,0.00434753,0.00632585,0.20183184,0.00547939,0.01516201,0.01912097
5.25562781,0.19520711,0.26827397,0.00016122,0.00496688,0.00674946,0.22828648,0.00595880,0.01721210,0.02045822
5.26163082,0.22011951,0.30317194,0.00015301,0.00568648,0.00737493,0.25869161,0.00660492,0.01958740,0.02227583
5.26763382,0.24931013,0.34505346,0.00015011,0.00650596,0.00819202,0.29292165,0.00741130,0.02228093,0.02453676
5.27363682,0.28263401,0.39377595,0.00015168,0.00742383,0.00919106,0.33080187,0.00837156,0.02528219,0.02720448
5.27963982,0.31990788,0.44914939,0.00015698,0.00843712,0.01036234,0.37209840,0.00947883,0.02857625,0.03024172
5.28564282,0.36089710,0.51091186,0.00016534,0.00954118,0.01169544,0.41650966,0.01072519,0.03214285,0.03360921
5.29164582,0.40530408,0.57870679,0.00017620,0.01072934,0.01317859,0.46365984,0.01210117,0.03595574,0.03726468
5.29764882,0.45275876,0.65206299,0.00018903,0.01199277,0.01479811,0.51309500,0.01359530,0.03998210,0.04116202
5.30365183,0.50281196,0.73037875,0.00020335,0.01332035,0.01653798,0.56428213,0.01519373,0.04418237,0.04525066
5.30965483,0.55493204,0.81291105,0.00021872,0.01469862,0.01837950,0.61661173,0.01687996,0.04851016,0.04947542
5.31565783,0.60850529,0.89877084,0.00023472,0.01611183,0.02030105,0.66940394,0.01863476,0.05291265,0.05377648
5.32166083,0.66284042,0.98692496,0.00025095,0.01754210,0.02227814,0.72191836,0.02043615,0.05733119,0.05808992
5.32766383,0.71717717,1.07620543,0.00026705,0.01896969,0.02428347,0.77336734,0.02225956,0.06170221,0.06234839
5.33366683,0.77069902,1.16532584,0.00028265,0.02037334,0.02628731,0.82293254,0.02407817,0.06595851,0.06648225
5.33966983,0.82254969,1.25290498,0.00029741,0.02173072,0.02825798,0.86978411,0.02586340,0.07003075,0.07042092
5.34567284,0.87185285,1.33749684,0.00031102,0.02301901,0.03016245,0.91310195,0.02758543,0.07384913,0.07409445
5.35167584,0.91773450,1.41762615,0.00032318,0.02421545,0.03196713,0.95209816,0.02921401,0.07734529,0.07743526
5.35767884,0.95934702,1.49182809,0.00033363,0.02529799,0.03363879,0.98603980,0.03071919,0.08045425,0.08037996
5.36368184,0.99589396,1.55869065,0.00034215,0.02624598,0.03514540,1.01427103,0.03207222,0.08311634,0.08287114
5.36968484,1.02665447,1.61689771,0.00034856,0.02704074,0.03645716,1.03623359,0.03324639,0.08527908,0.08485908
5.37568784,1.05100635,1.66527104,0.00035270,0.02766624,0.03754742,1.05148470,0.03421787,0.08689883,0.08630332
5.38169085,1.06844643,1.70280919,0.00035450,0.02810959,0.03839354,1.05971164,0.03496652,0.08794228,0.08717391
5.38769385,1.07860761,1.72872138,0.00035390,0.02836147,0.03897763,1.06074213,0.03547655,0.08838752,0.08745240
5.39369685,1.08127141,1.74245486,0.00035092,0.02841646,0.03928719,1.05455025,0.03573705,0.08822485,0.08713245
5.39969985,1.07637567,1.74371421,0.00034561,0.02827326,0.03931555,1.04125733,0.03574238,0.08745705,0.08622003
5.40570285,1.06401682,1.73247174,0.00033808,0.02793470,0.03906206,1.02112800,0.03549237,0.08609939,0.08473321
5.41170585,1.04444664,1.70896841,0.00032846,0.02740766,0.03853213,0.99456142,0.03499233,0.08417905,0.08270159
5.41770885,1.01806375,1.67370513,0.00031696,0.02670285,0.03773704,0.96207816,0.03425284,0.08173424,0.08016526
5.42371186,0.98540007,1.62742508,0.00030378,0.02583443,0.03669353,0.92430328,0.03328940,0.07881296,0.07717352
5.42971486,0.94710300,1.57108764,0.00028918,0.02481958,0.03542322,0.88194642,0.03212184,0.07547137,0.07378327
5.43571786,0.90391415,1.50583552,0.00027342,0.02367786,0.03395186,0.83577982,0.03077373,0.07177209,0.07005723
5.44172086,0.85664553,1.43295632,0.00025677,0.02243069,0.03230844,0.78661518,0.02927149,0.06778217,0.06606200
5.44772386,0.80615439,1.35384073,0.00023950,0.02110060,0.03052429,0.73528032,0.02764361,0.06357113,0.06186614
5.45372686,0.75331775,1.26993893,0.00022190,0.01971062,0.02863206,0.68259665,0.02591972,0.05920897,0.05753824
5.45972986,0.69900764,1.18271736,0.00020422,0.01828363,0.02666475,0.62935836,0.02412973,0.05476426,0.05314511
5.46573287,0.64406815,1.09361751,0.00018672,0.01684177,0.02465477,0.57631391,0.02230296,0.05030247,0.04875017
