energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,W_p_up,W_d_up
1.32966483,2.27651047,0.51235199,0.80803050,0.06381212,0.03924910,0.09635127,0.00000000,0.43799132,1.26348483
1.33566783,2.31876415,0.53095449,0.83853844,0.06719406,0.03986922,0.09999142,0.00000000,0.43406471,1.26340074
1.34167084,2.36921255,0.55362842,0.87417045,0.07039138,0.04081153,0.10394652,0.00000000,0.43200537,1.26562841
1.34767384,2.42700365,0.58006555,0.91465624,0.07333983,0.04204644,0.10816522,0.00000000,0.43174910,1.26973948
1.35367684,2.49109651,0.60987452,0.95960484,0.07597807,0.04354134,0.11259349,0.00000000,0.43319235,1.27524975
1.35967984,2.56028339,0.64258848,1.00850828,0.07824966,0.04526135,0.11717472,0.00000000,0.43619555,1.28163494
1.36568284,2.63321642,0.67767466,1.06074855,0.08010499,0.04717013,0.12184997,0.00000000,0.44058721,1.28834753
1.37168584,2.70843837,0.71454575,1.11560773,0.08150299,0.04923085,0.12655838,0.00000000,0.44616881,1.29483403
1.37768884,2.78441698,0.75257290,1.17228140,0.08241260,0.05140711,0.13123780,0.00000000,0.45272043,1.30055232
1.38369185,2.85958212,0.79110003,1.22989502,0.08281397,0.05366392,0.13582560,0.00000000,0.46000682,1.30498849
1.38969485,2.93236484,0.82945924,1.28752310,0.08269917,0.05596861,0.14025964,0.00000000,0.46778403,1.30767280
1.39569785,3.00123732,0.86698670,1.34421061,0.08207270,0.05829167,0.14447942,0.00000000,0.47580626,1.30819423
1.40170085,3.06475255,0.90303875,1.39899618,0.08095146,0.06060743,0.14842729,0.00000000,0.48383273,1.30621318
1.40770385,3.12158249,0.93700744,1.45093621,0.07936438,0.06289459,0.15204982,0.00000000,0.49163443,1.30147192
1.41370685,3.17055331,0.96833524,1.49912922,0.07735165,0.06513661,0.15529901,0.00000000,0.49900049,1.29380248
1.41970985,3.21067656,0.99652809,1.54273946,0.07496372,0.06732175,0.15813355,0.00000000,0.50574381,1.28313165
1.42571286,3.24117488,1.02116642,1.58101896,0.07225984,0.06944297,0.16051989,0.00000000,0.51170590,1.26948289
1.43171586,3.26150143,1.04191373,1.61332708,0.06930656,0.07149761,0.16243305,0.00000000,0.51676061,1.25297510
1.43771886,3.27135196,1.05852229,1.63914683,0.06617598,0.07348678,0.16385719,0.00000000,0.52081659,1.23381832
1.44372186,3.27066911,1.07083581,1.65809726,0.06294389,0.07541466,0.16478592,0.00000000,0.52381845,1.21230634
