energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-2.47623812,6.88789152,0.04600864,0.21789391,0.48850657,6.65890949,0.20409253,0.00000000
-2.47023512,6.89474107,0.04678152,0.22395980,0.49421697,6.65633799,0.20664195,0.00000000
-2.46423212,6.90563145,0.04759417,0.23008194,0.50064211,6.65698822,0.20993298,0.00000000
-2.45822911,6.91989733,0.04842748,0.23616328,0.50771641,6.66033896,0.21392370,0.00000000
-2.45222611,6.93655538,0.04926045,0.24209956,0.51534699,6.66557238,0.21855103,0.00000000
-2.44622311,6.95432096,0.05007055,0.24778129,0.52341569,6.67158709,0.22373211,0.00000000
-2.44022011,6.97164279,0.05083422,0.25309612,0.53178227,6.67702851,0.22936633,0.00000000
-2.43421711,6.98675398,0.05152748,0.25793171,0.54028867,6.68033507,0.23533799,0.00000000
-2.42821411,6.99773686,0.05212650,0.26217878,0.54876399,6.67979786,0.24151949,0.00000000
-2.42221111,7.00259846,0.05260831,0.26573436,0.55703009,6.67363086,0.24777487,0.00000000
-2.41620810,6.99935235,0.05295146,0.26850505,0.56490735,6.66004759,0.25396362,0.00000000
-2.41020510,6.98610288,0.05313665,0.27041006,0.57222037,6.63734035,0.25994458,0.00000000
-2.40420210,6.96112698,0.05314731,0.27138395,0.57880340,6.60395761,0.26557971,0.00000000
-2.39819910,6.92294953,0.05297012,0.27137889,0.58450504,6.55857540,0.27073782,0.00000000
