energy_ev,total_up,Hg_p_up,Hg_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-2.57828914,1.62726630,1.96686768,0.14577034,0.44548994,0.00000000,0.55056582,0.00000000
-2.57228614,1.57750348,1.90669409,0.13834556,0.42992232,0.00000000,0.55505622,0.00000000
-2.56628314,1.53085325,1.84918760,0.13090137,0.41526454,0.00000000,0.56226269,0.00000000
-2.56028014,1.48868217,1.79603627,0.12356368,0.40191019,0.00000000,0.57258481,0.00000000
-2.55427714,1.45221977,1.74879761,0.11644952,0.39022009,0.00000000,0.58634829,0.00000000
-2.54827414,1.42251942,1.70884884,0.10966415,0.38051208,0.00000000,0.60378658,0.00000000
-2.54227114,1.40042497,1.67734282,0.10329869,0.37305212,0.00000000,0.62502508,0.00000000
-2.53626813,1.38654435,1.65517124,0.09742826,0.36804691,0.00000000,0.65006862,0.00000000
-2.53026513,1.38123090,1.64293623,0.09211075,0.36563831,0.00000000,0.67879280,0.00000000
-2.52426213,1.38457324,1.64093160,0.08738622,0.36589966,0.00000000,0.71093997,0.00000000
-2.51825913,1.39639394,1.64913412,0.08327679,0.36883419,0.00000000,0.74611992,0.00000000
-2.51225613,1.41625689,1.66720530,0.07978727,0.37437548,0.00000000,0.78381571,0.00000000
-2.50625313,1.44348332,1.69450349,0.07690613,0.38238998,0.00000000,0.82339454,0.00000000
-2.50025013,1.47717557,1.73010581,0.07460703,0.39268143,0.00000000,0.86412342,0.00000000
-2.49424712,1.51624797,1.77283907,0.07285072,0.40499709,0.00000000,0.90518917,0.00000000
-2.48824412,1.55946341,1.82131856,0.07158715,0.41903554,0.00000000,0.94572217,0.00000000
-2.48224112,1.60547434,1.87399306,0.07075786,0.43445561,0.00000000,0.98482287,0.00000000
-2.47623812,1.65286659,1.92919458,0.07029844,0.45088642,0.00000000,1.02159014,0.00000000
-2.47023512,1.70020428,1.98519076,0.07014092,0.46793787,0.00000000,1.05515023,0.00000000
-2.46423212,1.74607417,2.04023814,0.07021616,0.48521142,0.00000000,1.08468520,0.00000000
-2.45822911,1.78912780,2.09263422,0.07045608,0.50231065,0.00000000,1.10945957,0.00000000
-2.45222611,1.82811976,2.14076652,0.07079552,0.51885141,0.00000000,1.12884405,0.00000000
-2.44622311,1.86194090,2.18315690,0.07117401,0.53447100,0.00000000,1.14233538,0.00000000
-2.44022011,1.88964520,2.21849972,0.07153703,0.54883635,0.00000000,1.14957138,0.00000000
-2.43421711,1.91046973,2.24569264,0.07183706,0.56165081,0.00000000,1.15034066,0.00000000
-2.42821411,1.92384708,2.26385927,0.07203417,0.57265944,0.00000000,1.14458657,0.00000000
-2.42221111,1.92941022,2.27236329,0.07209634,0.58165271,0.00000000,1.13240548,0.00000000
-2.41620810,1.92699016,2.27081389,0.07199940,0.58846860,0.00000000,1.11403942,0.00000000
-2.41020510,1.91660683,2.25906300,0.07172676,0.59299318,0.00000000,1.08986378,0.00000000
-2.40420210,1.89845431,2.23719487,0.07126886,0.59515970,0.00000000,1.06037064,0.00000000
-2.39819910,1.87288124,2.20550906,0.07062240,0.59494649,0.00000000,1.02614879,0.00000000
-2.39219610,1.84036793,2.16449790,0.06978956,0.59237376,0.00000000,0.98786131,0.00000000
-2.38619310,1.80150141,2.11482003,0.06877709,0.58749970,0.00000000,0.94622211,0.00000000
-2.38019010,1.75694971,2.05727108,0.06759536,0.58041595,0.00000000,0.90197225,0.00000000
