energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-5.71185593,8.13820666,0.02902939,0.88479115,1.13689736,0.68427244,7.31516740,4.08358874,2.34865798,0.00000000
-5.70585293,7.96584237,0.02882210,0.86879117,1.11810660,0.66981271,7.19048021,3.99061613,2.29899857,0.00000000
-5.69984992,7.78097365,0.02854674,0.85144203,1.09686110,0.65400360,7.04924325,3.89310646,2.24471723,0.00000000
-5.69384692,7.58624584,0.02821118,0.83291484,1.07342033,0.63713332,6.89329812,3.79247321,2.18665417,0.00000000
-5.68784392,7.38453078,0.02782409,0.81340146,1.04807837,0.61950810,6.72471952,3.69024220,2.12571049,0.00000000
-5.68184092,7.17885539,0.02739458,0.79311024,1.02115737,0.60144452,6.54576741,3.58801318,2.06282594,0.00000000
-5.67583792,6.97232902,0.02693197,0.77226160,0.99300064,0.58326175,6.35883832,3.48742041,1.99895679,0.00000000
-5.66983492,6.76807157,0.02644546,0.75108379,0.96396562,0.56527406,6.16641683,3.39009338,1.93505416,0.00000000
-5.66383192,6.56914409,0.02594397,0.72980872,0.93441700,0.54778375,5.97102805,3.29761873,1.87204367,0.00000000
-5.65782891,6.37848363,0.02543589,0.70866794,0.90471993,0.53107465,5.77519173,3.21150446,1.81080666,0.00000000
-5.65182591,6.19884361,0.02492896,0.68788883,0.87523361,0.51540636,5.58137851,3.13314705,1.75216350,0.00000000
-5.64582291,6.03274091,0.02443012,0.66769097,0.84630521,0.50100932,5.39196868,3.06380245,1.69685916,0.00000000
-5.63981991,5.88241065,0.02394549,0.64828279,0.81826438,0.48808085,5.20921391,3.00456146,1.64555138,0.00000000
-5.63381691,5.74976918,0.02348028,0.62985835,0.79141815,0.47678215,5.03520209,2.95632998,1.59880149,0.00000000
-5.62781391,5.63638609,0.02303879,0.61259449,0.76604656,0.46723627,4.87182584,2.91981439,1.55706793,0.00000000
-5.62181091,5.54346513,0.02262447,0.59664819,0.74239878,0.45952727,4.72075479,2.89551245,1.52070255,0.00000000
-5.61580790,5.47183450,0.02223993,0.58215427,0.72069003,0.45370019,4.58341208,2.88370950,1.48994956,0.00000000
