energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
1.40770385,8.40042921,0.26927226,1.11539693,1.49315412,1.67251866,1.16888539,0.00000000,0.85603247,3.64834484
1.41370685,8.20262703,0.25699519,1.04875089,1.44050527,1.61771850,1.14795162,0.00000000,0.83319884,3.59454240
1.41970985,8.00335735,0.24528421,0.98263518,1.38944553,1.56348392,1.12701526,0.00000000,0.80924512,3.54091257
1.42571286,7.80430631,0.23436388,0.91757031,1.34005299,1.51051931,1.10620025,0.00000000,0.78459499,3.48747715
1.43171586,7.60710329,0.22442982,0.85406417,1.29238857,1.45948039,1.08561262,0.00000000,0.75965834,3.43425684
1.43771886,7.41331082,0.21564479,0.79260061,1.24650408,1.41096343,1.06534185,0.00000000,0.73482289,3.38129079
1.44372186,7.22441716,0.20813578,0.73362892,1.20244999,1.36549647,1.04546312,0.00000000,0.71044704,3.32865553
1.44972486,7.04183100,0.20199216,0.67755440,1.16028241,1.32353252,1.02604031,0.00000000,0.68685393,3.27648202
1.45572786,6.86687754,0.19726492,0.62473059,1.12006900,1.28544481,1.00712952,0.00000000,0.66432710,3.22496973
1.46173087,6.70079502,0.19396700,0.57545331,1.08189343,1.25152404,0.98878268,0.00000000,0.64310742,3.17439678
1.46773387,6.54473124,0.19207459,0.52995655,1.04585821,1.22197748,0.97105104,0.00000000,0.62339170,3.12512531
1.47373687,6.39973910,0.19152945,0.48841053,1.01208581,1.19692986,0.95398840,0.00000000,0.60533260,3.07760145
1.47973987,6.26677095,0.19224204,0.45092153,0.98071795,1.17642590,0.93765371,0.00000000,0.58904009,3.03234979
1.48574287,6.14667147,0.19409551,0.41753366,0.95191310,1.16043425,0.92211301,0.00000000,0.57458405,2.98996207
1.49174587,6.04016892,0.19695027,0.38823222,0.92584240,1.14885269,0.90744063,0.00000000,0.56199808,2.95108070
1.49774887,5.94786495,0.20064907,0.36294838,0.90268420,1.14151443,0.89371960,0.00000000,0.55128425,2.91637734
1.50375188,5.87022337,0.20502255,0.34156506,0.88261741,1.13819527,0.88104127,0.00000000,0.54241855,2.88652770
1.50975488,5.80755819,0.20989480,0.32392354,0.86581411,1.13862143,0.86950415,0.00000000,0.53535674,2.86218327
1.51575788,5.76002150,0.21508906,0.30983064,0.85243164,1.14247771,0.85921218,0.00000000,0.53004046,2.84394126
1.52176088,5.72759178,0.22043319,0.29906609,0.84260461,1.14941595,0.85027232,0.00000000,0.52640310,2.83231408
1.52776388,5.71006317,0.22576476,0.29138993,0.83643717,1.15906333,0.84279166,0.00000000,0.52437525,2.82769946
1.53376688,5.70703633,0.23093564,0.28654966,0.83399580,1.17103036,0.83687416,0.00000000,0.52388938,2.83035262
1.53976988,5.71791141,0.23581588,0.28428692,0.83530294,1.18491837,0.83261697,0.00000000,0.52488345,2.84036175
1.54577289,5.74188366,0.24029684,0.28434359,0.84033175,1.20032624,0.83010657,0.00000000,0.52730331,2.85762778
1.55177589,5.77794222,0.24429329,0.28646718,0.84900209,1.21685621,0.82941471,0.00000000,0.53110351,2.88184972
1.55777889,5.82487259,0.24774474,0.29041536,0.86117796,1.23411869,0.83059427,0.00000000,0.53624675,2.91251610
1.56378189,5.88126314,0.25061565,0.29595967,0.87666649,1.25173603,0.83367517,0.00000000,0.54270168,2.94890344
1.56978489,5.94551624,0.25289477,0.30288827,0.89521844,1.26934524,0.83866051,0.00000000,0.55043927,2.99008213
1.57578789,6.01586423,0.25459361,0.31100782,0.91653035,1.28659977,0.84552287,0.00000000,0.55942802,3.03492974
1.58179090,6.09039044,0.25574415,0.32014445,0.94024813,1.30317049,0.85420126,0.00000000,0.56962814,3.08215201
1.58779390,6.16705559,0.25639588,0.33014389,0.96597222,1.31874602,0.86459860,0.00000000,0.58098525,3.13031085
1.59379690,6.24372908,0.25661238,0.34087076,0.99326391,1.33303280,0.87658003,0.00000000,0.59342395,3.17785887
1.59979990,6.31822526,0.25646756,0.35220720,1.02165295,1.34575481,0.88997218,0.00000000,0.60684175,3.22317942
1.60580290,6.38834361,0.25604176,0.36405078,1.05064594,1.35665358,0.90456360,0.00000000,0.62110378,3.26463085
1.61180590,6.45191226,0.25541779,0.37631192,1.07973556,1.36548832,0.92010625,0.00000000,0.63603894,3.30059365
1.61780890,6.50683341,0.25467716,0.38891086,1.10841005,1.37203649,0.93631838,0.00000000,0.65143763,3.32951849
1.62381191,6.55112926,0.25389648,0.40177424,1.13616287,1.37609489,0.95288846,0.00000000,0.66705149,3.34997361
1.62981491,6.58298671,0.25314432,0.41483164,1.16250217,1.37748122,0.96948039,0.00000000,0.68259543,3.36068946
