energy_ev,total_up,Al_p_up,Al_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-4.49324662,2.72389853,0.06843478,0.00000000,1.65574466,0.72903329,0.01558881,1.99850959
-4.48724362,2.83384755,0.07029685,0.00000000,1.72094235,0.76120268,0.01541579,2.07234105
-4.48124062,2.94469644,0.07219178,0.00000000,1.78710786,0.79337698,0.01516364,2.14597256
-4.47523762,3.05570654,0.07410918,0.00000000,1.85402544,0.82531226,0.01484095,2.21889634
-4.46923462,3.16599861,0.07603730,0.00000000,1.92140172,0.85672316,0.01445765,2.29051552
-4.46323162,3.27454664,0.07796250,0.00000000,1.98885393,0.88728273,0.01402455,2.36013982
-4.45722861,3.38018000,0.07986880,0.00000000,2.05590261,0.91662494,0.01355301,2.42698711
-4.45122561,3.48159507,0.08173771,0.00000000,2.12196961,0.94434997,0.01305450,2.49019182
-4.44522261,3.57737673,0.08354807,0.00000000,2.18638218,0.97003224,0.01254024,2.54882038
-4.43921961,3.66602978,0.08527626,0.00000000,2.24838326,0.99323122,0.01202077,2.60189369
-4.43321661,3.74601915,0.08689650,0.00000000,2.30714794,1.01350453,0.01150572,2.64841592
-4.42721361,3.81581759,0.08838141,0.00000000,2.36180551,1.03042283,0.01100347,2.68740845
-4.42121061,3.87395855,0.08970274,0.00000000,2.41146602,1.04358590,0.01052099,2.71794732
-4.41520760,3.91909174,0.09083232,0.00000000,2.45525029,1.05263892,0.01006369,2.73920232
-4.40920460,3.95003842,0.09174298,0.00000000,2.49232169,1.05728828,0.00963541,2.75047557
-4.40320160,3.96584341,0.09240968,0.00000000,2.52191807,1.05731590,0.00923836,2.75123714
-4.39719860,3.96582089,0.09281056,0.00000000,2.54338221,1.05259134,0.00887328,2.74115594
-4.39119560,3.94959130,0.09292794,0.00000000,2.55618909,1.04308078,0.00853952,2.72012353
-4.38519260,3.91710724,0.09274924,0.00000000,2.55996853,1.02885254,0.00823524,2.68826964
-4.37918959,3.86866659,0.09226770,0.00000000,2.55452206,1.01007858,0.00795765,2.64596806
-4.37318659,3.80491217,0.09148289,0.00000000,2.53983317,0.98703189,0.00770321,2.59383247
-4.36718359,3.72681755,0.09040106,0.00000000,2.51607033,0.96007977,0.00746791,2.53270216
-4.36118059,3.63565979,0.08903511,0.00000000,2.48358287,0.92967340,0.00724753,2.46361822
-4.35517759,3.53298024,0.08740438,0.00000000,2.44288985,0.89633400,0.00703782,2.38779128
-4.34917459,3.42053536,0.08553416,0.00000000,2.39466259,0.86063641,0.00683474,2.30656237
-4.34317159,3.30023977,0.08345492,0.00000000,2.33970184,0.82319070,0.00663467,2.22135870
-4.33716858,3.17410443,0.08120137,0.00000000,2.27891066,0.78462283,0.00643446,2.13364645
-4.33116558,3.04417247,0.07881134,0.00000000,2.21326437,0.74555505,0.00623164,2.04488287
