energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
1.67183592,0.89403453,0.46699317,0.04000568,0.00273803,0.01684182,0.05636480,0.16300520,0.10375511,0.55569920
1.67783892,0.84971673,0.45087871,0.03775125,0.00259519,0.01598183,0.05227657,0.15366928,0.09768279,0.53218105
1.68384192,0.80418189,0.43364498,0.03545996,0.00244773,0.01514657,0.04818182,0.14426960,0.09165144,0.50747738
1.68984492,0.75795412,0.41563249,0.03316860,0.00229707,0.01435220,0.04414608,0.13492759,0.08573863,0.48177160
1.69584792,0.71158140,0.39722043,0.03091360,0.00214464,0.01361581,0.04023009,0.12576375,0.08002245,0.45528018
1.70185093,0.66562739,0.37882151,0.02873042,0.00199185,0.01295540,0.03648877,0.11689609,0.07458089,0.42824858
1.70785393,0.62066286,0.36087590,0.02665313,0.00184010,0.01238986,0.03297057,0.10843866,0.06949124,0.40094590
1.71385693,0.57725686,0.34384438,0.02471401,0.00169070,0.01193889,0.02971712,0.10050030,0.06482957,0.37365866
1.71985993,0.53596809,0.32820094,0.02294318,0.00154487,0.01162289,0.02676307,0.09318338,0.06067021,0.34668391
1.72586293,0.49733665,0.31442495,0.02136845,0.00140374,0.01146286,0.02413627,0.08658285,0.05708528,0.32032222
1.73186593,0.46187634,0.30299291,0.02001503,0.00126828,0.01148022,0.02185803,0.08078523,0.05414414,0.29487084
1.73786893,0.43006772,0.29437008,0.01890545,0.00113935,0.01169663,0.01994359,0.07586789,0.05191289,0.27061729
1.74387194,0.40235204,0.28900188,0.01805942,0.00101762,0.01213373,0.01840266,0.07189827,0.05045386,0.24783374
1.74987494,0.37912601,0.28730527,0.01749374,0.00090364,0.01281284,0.01724003,0.06893326,0.04982494,0.22677235
1.75587794,0.36073742,0.28966007,0.01722224,0.00079777,0.01375463,0.01645613,0.06701863,0.05007896,0.20766159
1.76188094,0.34748161,0.29640043,0.01725567,0.00070023,0.01497867,0.01604756,0.06618844,0.05126289,0.19070373
1.76788394,0.33959872,0.30780646,0.01760160,0.00061109,0.01650306,0.01600767,0.06646460,0.05341703,0.17607333
1.77388694,0.33727149,0.32409618,0.01826435,0.00053029,0.01834386,0.01632688,0.06785636,0.05657411,0.16391671
1.77988994,0.34062381,0.34541797,0.01924487,0.00045766,0.02051466,0.01699309,0.07035999,0.06075837,0.15435222
1.78589295,0.34971969,0.37184379,0.02054063,0.00039289,0.02302604,0.01799192,0.07395851,0.06598455,0.14747112
1.79189595,0.36456290,0.40336337,0.02214560,0.00033564,0.02588503,0.01930688,0.07862152,0.07225703,0.14333897
1.79789895,0.38509702,0.43987968,0.02405010,0.00028546,0.02909469,0.02091957,0.08430532,0.07956900,0.14199718
1.80390195,0.41120616,0.48120612,0.02624091,0.00024186,0.03265368,0.02280974,0.09095321,0.08790172,0.14346463
1.80990495,0.44271634,0.52706549,0.02870128,0.00020433,0.03655592,0.02495543,0.09849606,0.09722413,0.14773929
1.81590795,0.47939757,0.57709135,0.03141108,0.00017233,0.04079035,0.02733312,0.10685321,0.10749256,0.15479956
1.82191096,0.52096676,0.63083177,0.03434707,0.00014533,0.04534086,0.02991787,0.11593376,0.11865088,0.16460536
1.82791396,0.56709156,0.68775568,0.03748318,0.00012280,0.05018631,0.03268358,0.12563810,0.13063096,0.17709895
1.83391696,0.61739514,0.74726197,0.04079104,0.00010422,0.05530069,0.03560326,0.13585984,0.14335342,0.19220544
1.83991996,0.67146190,0.80869112,0.04424039,0.00008913,0.06065353,0.03864937,0.14648800,0.15672886,0.20983311
1.84592296,0.72884412,0.87133925,0.04779978,0.00007707,0.06621033,0.04179424,0.15740941,0.17065941,0.22987357
1.85192596,0.78906937,0.93447410,0.05143718,0.00006762,0.07193324,0.04501052,0.16851126,0.18504048,0.25220192
1.85792896,0.85164868,0.99735263,0.05512067,0.00006042,0.07778184,0.04827167,0.17968365,0.19976290,0.27667696
1.86393197,0.91608504,1.05923945,0.05881915,0.00005513,0.08371399,0.05155243,0.19082207,0.21471511,0.30314164
1.86993497,0.98188221,1.11942544,0.06250296,0.00005145,0.08968684,0.05482925,0.20182969,0.22978546,0.33142386
1.87593797,1.04855339,1.17724590,0.06614455,0.00004912,0.09565778,0.05808077,0.21261938,0.24486446,0.36133758
1.88194097,1.11562959,1.23209728,0.06971890,0.00004793,0.10158548,0.06128810,0.22311521,0.25984691,0.39268455
1.88794397,1.18266731,1.28345196,0.07320398,0.00004767,0.10743092,0.06443511,0.23325362,0.27463387,0.42525635
1.89394697,1.24925537,1.33087034,0.07658099,0.00004817,0.11315831,0.06750856,0.24298391,0.28913416,0.45883707
1.89994997,1.31502054,1.37400968,0.07983444,0.00004930,0.11873595,0.07049815,0.25226831,0.30326574,0.49320625
1.90595298,1.37963192,1.41262947,0.08295222,0.00005093,0.12413696,0.07339645,0.26108139,0.31695644,0.52814220
1.91195598,1.44280382,1.44659292,0.08592533,0.00005296,0.12933993,0.07619870,0.26940907,0.33014447,0.56342547
1.91795898,1.50429711,1.47586483,0.08874769,0.00005529,0.13432930,0.07890252,0.27724714,0.34277839,0.59884229
1.92396198,1.56391903,1.50050568,0.09141572,0.00005784,0.13909568,0.08150762,0.28459948,0.35481674,0.63418778
1.92996498,1.62152141,1.52066259,0.09392789,0.00006055,0.14363586,0.08401532,0.29147603,0.36622729,0.66926876
1.93596798,1.67699746,1.53655745,0.09628425,0.00006335,0.14795274,0.08642813,0.29789072,0.37698602,0.70390596
1.94197099,1.73027715,1.54847278,0.09848588,0.00006618,0.15205495,0.08874929,0.30385930,0.38707582,0.73793542
1.94797399,1.78132135,1.55673619,0.10053443,0.00006899,0.15595635,0.09098227,0.30939739,0.39648514,0.77120899
1.95397699,1.83011488,1.56170390,0.10243161,0.00007173,0.15967528,0.09313039,0.31451871,0.40520638,0.80359376
1.95997999,1.87665869,1.56374415,0.10417882,0.00007436,0.16323365,0.09519637,0.31923354,0.41323443,0.83497052
