energy_ev,total_up,Bi_p_up,Bi_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-3.32866433,0.66723442,0.19663333,0.00309109,0.31119835,0.15014105,0.01391768,0.33552793
-3.32266133,0.63737321,0.18997469,0.00290294,0.29134584,0.14865709,0.01314605,0.31325495
-3.31665833,0.60943963,0.18416038,0.00272932,0.27258247,0.14829987,0.01234142,0.29130242
-3.31065533,0.58395545,0.17932275,0.00257133,0.25519372,0.14918391,0.01151692,0.26994008
-3.30465233,0.56141958,0.17559659,0.00243004,0.23944127,0.15141574,0.01068543,0.24942035
-3.29864932,0.54229442,0.17311468,0.00230635,0.22555915,0.15508988,0.00985922,0.22997336
-3.29264632,0.52699361,0.17200343,0.00220103,0.21375112,0.16028502,0.00904972,0.21180304
-3.28664332,0.51587156,0.17237877,0.00211462,0.20418917,0.16706052,0.00826720,0.19508417
-3.28064032,0.50921507,0.17434246,0.00204748,0.19701336,0.17545352,0.00752065,0.17996068
-3.27463732,0.50723745,0.17797905,0.00199967,0.19233254,0.18547649,0.00681760,0.16654488
-3.26863432,0.51007500,0.18335341,0.00197102,0.19022613,0.19711573,0.00616410,0.15491790
-3.26263132,0.51778612,0.19050897,0.00196109,0.19074670,0.21033051,0.00556466,0.14513090
-3.25662831,0.53035268,0.19946680,0.00196917,0.19392306,0.22505318,0.00502234,0.13720715
-3.25062531,0.54768364,0.21022517,0.00199431,0.19976386,0.24118995,0.00453879,0.13114470
-3.24462231,0.56962035,0.22275993,0.00203530,0.20826141,0.25862256,0.00411438,0.12691941
-3.23861931,0.59594348,0.23702521,0.00209077,0.21939561,0.27721052,0.00374836,0.12448835
-3.23261631,0.62638083,0.25295470,0.00215916,0.23313768,0.29679393,0.00343900,0.12379318
-3.22661331,0.66061588,0.27046306,0.00223877,0.24945385,0.31719672,0.00318375,0.12476342
-3.22061031,0.69829640,0.28944759,0.00232783,0.26830846,0.33823003,0.00297943,0.12731964
-3.21460730,0.73904301,0.30978998,0.00242450,0.28966684,0.35969575,0.00282239,0.13137615
-3.20860430,0.78245710,0.33135792,0.00252693,0.31349742,0.38138995,0.00270865,0.13684341
-3.20260130,0.82812805,0.35400680,0.00263327,0.33977337,0.40310608,0.00263404,0.14362993
-3.19659830,0.87563946,0.37758113,0.00274173,0.36847346,0.42463794,0.00259433,0.15164373
-3.19059530,0.92457438,0.40191596,0.00285061,0.39958220,0.44578219,0.00258532,0.16079334
-3.18459230,0.97451937,0.42683815,0.00295826,0.43308922,0.46634054,0.00260294,0.17098831
-3.17858929,1.02506767,0.45216757,0.00306320,0.46898773,0.48612154,0.00264328,0.18213943
-3.17258629,1.07582137,0.47771832,0.00316401,0.50727217,0.50494203,0.00270266,0.19415851
-3.16658329,1.12639290,0.50329992,0.00325944,0.54793491,0.52262831,0.00277767,0.20695794
-3.16058029,1.17640588,0.52871868,0.00334836,0.59096205,0.53901721,0.00286517,0.22045000
-3.15457729,1.22549560,0.55377910,0.00342977,0.63632829,0.55395701,0.00296230,0.23454604
-3.14857429,1.27330928,0.57828541,0.00350280,0.68399089,0.56730839,0.00306648,0.24915549
-3.14257129,1.31950616,0.60204336,0.00356672,0.73388293,0.57894546,0.00317540,0.26418491
-3.13656828,1.36375770,0.62486193,0.00362090,0.78590583,0.58875695,0.00328701,0.27953689
-3.13056528,1.40574773,0.64655524,0.00366486,0.83992152,0.59664745,0.00339948,0.29510910
-3.12456228,1.44517282,0.66694442,0.00369823,0.89574445,0.60253886,0.00351119,0.31079333
-3.11855928,1.48174272,0.68585942,0.00372076,0.95313384,0.60637186,0.00362073,0.32647471
-3.11255628,1.51518098,0.70314068,0.00373232,1.01178665,0.60810734,0.00372684,0.34203105
-3.10655328,1.54522568,0.71864064,0.00373289,1.07133169,0.60772780,0.00382839,0.35733245
-3.10055028,1.57163039,0.73222511,0.00372257,1.13132547,0.60523842,0.00392438,0.37224117
-3.09454727,1.59416532,0.74377435,0.00370159,1.19125043,0.60066793,0.00401391,0.38661194
-3.08854427,1.61261880,0.75318404,0.00367027,1.25051580,0.59406897,0.00409616,0.40029265
-3.08254127,1.62679913,0.76036611,0.00362909,1.30846191,0.58551811,0.00417038,0.41312556
-3.07653827,1.63653697,0.76524954,0.00357860,1.36436795,0.57511519,0.00423591,0.42494908
-3.07053527,1.64168839,0.76778118,0.00351950,1.41746360,0.56298238,0.00429214,0.43560018
-3.06453227,1.64213858,0.76792667,0.00345259,1.46694434,0.54926260,0.00433857,0.44491731
-3.05852926,1.63780639,0.76567165,0.00337879,1.51199037,0.53411765,0.00437477,0.45274399
-3.05252626,1.62864961,0.76102315,0.00329913,1.55178852,0.51772600,0.00440047,0.45893282
-3.04652326,1.61467090,0.75401120,0.00321474,1.58555658,0.50028041,0.00441552,0.46334993
-3.04052026,1.59592426,0.74469077,0.00312688,1.61256897,0.48198539,0.00441996,0.46587960
-3.03451726,1.57252156,0.73314375,0.00303690,1.63218294,0.46305472,0.00441406,0.46642898
-3.02851426,1.54463902,0.71948101,0.00294626,1.64386382,0.44370906,0.00439830,0.46493258
-3.02251126,1.51252290,0.70384416,0.00285651,1.64720823,0.42417365,0.00437347,0.46135635
