energy_ev,total_up,In_p_up,In_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-5.20760380,1.48446831,0.05030891,0.00152126,0.03690671,1.07062176,0.80133776,0.67561431
-5.20160080,1.55168886,0.05394002,0.00164653,0.03894221,1.11023481,0.83180084,0.70004250
-5.19559780,1.61214325,0.05751573,0.00177178,0.04084775,1.14392171,0.85790822,0.72063222
-5.18959480,1.66483007,0.06098303,0.00189532,0.04258391,1.17108704,0.87917528,0.73701613
-5.18359180,1.70887188,0.06428830,0.00201534,0.04411390,1.19125570,0.89520691,0.74890497
-5.17758879,1.74353826,0.06737854,0.00213001,0.04540457,1.20408639,0.90570885,0.75609601
-5.17158579,1.76826455,0.07020264,0.00223746,0.04642743,1.20938081,0.91049597,0.75847865
-5.16558279,1.78266580,0.07271262,0.00233590,0.04715951,1.20708803,0.90949688,0.75603701
-5.15957979,1.78654537,0.07486485,0.00242360,0.04758405,1.19730413,0.90275501,0.74884937
-5.15357679,1.77989803,0.07662117,0.00249900,0.04769092,1.18026691,0.89042594,0.73708470
-5.14757379,1.76290753,0.07794994,0.00256068,0.04747696,1.15634640,0.87277134,0.72099621
-5.14157079,1.73593892,0.07882683,0.00260748,0.04694590,1.12603131,0.85014968,0.70091261
-5.13556778,1.69952615,0.07923551,0.00263851,0.04610823,1.08991237,0.82300433,0.67722726
-5.12956478,1.65435548,0.07916807,0.00265316,0.04498069,1.04866333,0.79184953,0.65038583
-5.12356178,1.60124560,0.07862526,0.00265117,0.04358570,1.00302033,0.75725496,0.62087306
-5.11755878,1.54112521,0.07761642,0.00263262,0.04195050,0.95376075,0.71982949,0.58919915
-5.11155578,1.47500916,0.07615923,0.00259791,0.04010627,0.90168225,0.68020488,0.55588638
-5.10555278,1.40397383,0.07427925,0.00254783,0.03808706,0.84758289,0.63902000,0.52145637
-5.09954977,1.32913283,0.07200919,0.00248346,0.03592876,0.79224296,0.59690620,0.48641858
-5.09354677,1.25161381,0.06938808,0.00240619,0.03366803,0.73640911,0.55447429,0.45126027
-5.08754377,1.17253696,0.06646024,0.00231771,0.03134128,0.68078117,0.51230349,0.41643822
-5.08154077,1.09299589,0.06327416,0.00221990,0.02898375,0.62600194,0.47093260,0.38237241
-5.07553777,1.01404132,0.05988138,0.00211486,0.02662867,0.57265008,0.43085359,0.34944163
-5.06953477,0.93666784,0.05633527,0.00200480,0.02430660,0.52123599,0.39250755,0.31798107
-5.06353177,0.86180391,0.05268990,0.00189205,0.02204489,0.47220065,0.35628292,0.28828175
-5.05752876,0.79030513,0.04899894,0.00177896,0.01986731,0.42591707,0.32251590,0.26059156
-5.05152576,0.72295068,0.04531471,0.00166786,0.01779385,0.38269405,0.29149267,0.23511776
-5.04552276,0.66044258,0.04168736,0.00156104,0.01584065,0.34278190,0.26345320,0.21203061
-5.03951976,0.60340769,0.03816413,0.00146071,0.01402009,0.30637967,0.23859617,0.19146782
-5.03351676,0.55240172,0.03478892,0.00136894,0.01234100,0.27364340,0.21708482,0.17353965
-5.02751376,0.50791503,0.03160191,0.00128764,0.01080894,0.24469508,0.19905315,0.15833420
-5.02151076,0.47037952,0.02863944,0.00121857,0.00942661,0.21963171,0.18461217,0.14592268
-5.01550775,0.44017620,0.02593397,0.00116330,0.00819423,0.19853422,0.17385587,0.13636446
-5.00950475,0.41764265,0.02351426,0.00112320,0.00711004,0.18147575,0.16686662,0.12971156
-5.00350175,0.40308004,0.02140558,0.00109943,0.00617074,0.16852895,0.16371956,0.12601241
-4.99749875,0.39675893,0.01963004,0.00109296,0.00537191,0.15977198,0.16448592,0.12531478
-4.99149575,0.39892357,0.01820691,0.00110457,0.00470848,0.15529296,0.16923498,0.12766757
-4.98549275,0.40979405,0.01715297,0.00113484,0.00417504,0.15519255,0.17803451,0.13312151
-4.97948974,0.42956609,0.01648279,0.00118414,0.00376618,0.15958454,0.19094972,0.14172868
-4.97348674,0.45840808,0.01620893,0.00125265,0.00347673,0.16859428,0.20804053,0.15354067
