energy_ev,total_up,Cu_p_up,Cu_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-1.14957479,2.86740966,1.09956514,0.49791072,0.70074745,0.16535262,0.00247150,0.63744102,0.08064668,0.98706716
-1.14357179,2.83164454,1.09184206,0.49016610,0.68740508,0.16433716,0.00253874,0.62185991,0.08198919,0.98033321
-1.13756878,2.78478764,1.07990850,0.48029114,0.67162481,0.16266966,0.00262349,0.60463776,0.08302300,0.96933163
-1.13156578,2.72737753,1.06381348,0.46838455,0.65361658,0.16036549,0.00272345,0.58605083,0.08372123,0.95415053
-1.12556278,2.66013260,1.04368818,0.45458536,0.63362365,0.15744994,0.00283727,0.56638079,0.08406226,0.93496015
-1.11955978,2.58393603,1.01974065,0.43906919,0.61191821,0.15395771,0.00296461,0.54591011,0.08403077,0.91200862
-1.11355678,2.49981741,0.99224921,0.42204364,0.58879662,0.14993232,0.00310616,0.52491819,0.08361857,0.88561571
-1.10755378,2.40893168,0.96155459,0.40374289,0.56457426,0.14542524,0.00326370,0.50367817,0.08282533,0.85616499
-1.10155078,2.31253591,0.92805120,0.38442180,0.53958030,0.14049494,0.00344015,0.48245446,0.08165895,0.82409436
-1.09554777,2.21196446,0.89217769,0.36434960,0.51415224,0.13520580,0.00363952,0.46150090,0.08013573,0.78988554
-1.08954477,2.10860313,0.85440710,0.34380338,0.48863048,0.12962696,0.00386698,0.44105935,0.07828032,0.75405264
-1.08354177,2.00386294,0.81523664,0.32306172,0.46335301,0.12383103,0.00412876,0.42135874,0.07612532,0.71713017
-1.07753877,1.89915397,0.77517755,0.30239844,0.43865008,0.11789286,0.00443212,0.40261426,0.07371071,0.67966095
-1.07153577,1.79585998,0.73474491,0.28207685,0.41483922,0.11188820,0.00478522,0.38502667,0.07108303,0.64218408
-1.06553277,1.69531407,0.69444788,0.26234451,0.39222045,0.10589246,0.00519698,0.36878151,0.06829440,0.60522341
-1.05952976,1.59877601,0.65478023,0.24342866,0.37107179,0.09997946,0.00567689,0.35404808,0.06540135,0.56927682
-1.05352676,1.50741150,0.61621155,0.22553248,0.35164516,0.09422022,0.00623474,0.34097818,0.06246357,0.53480637
-1.04752376,1.42227380,0.57917910,0.20883215,0.33416272,0.08868192,0.00688038,0.32970465,0.05954254,0.50222987
-1.04152076,1.34428789,0.54408053,0.19347478,0.31881364,0.08342685,0.00762332,0.32033946,0.05670020,0.47191363
-1.03551776,1.27423757,0.51126757,0.17957723,0.30575140,0.07851153,0.00847244,0.31297168,0.05399757,0.44416696
-1.02951476,1.21275552,0.48104083,0.16722573,0.29509169,0.07398596,0.00943554,0.30766537,0.05149338,0.41923812
-1.02351176,1.16031664,0.45364575,0.15647630,0.28691086,0.06989300,0.01051902,0.30445740,0.04924285,0.39731207
-1.01750875,1.11723456,0.42927001,0.14735592,0.28124510,0.06626788,0.01172740,0.30335548,0.04729648,0.37850978
