energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-5.06353177,4.67185410,3.12016933,0.78772264,0.00179832,1.65473439,0.01011052,1.68078068,0.99054111,0.47249284
-5.05752876,4.41656977,2.93983552,0.74449894,0.00163487,1.56359203,0.00956428,1.59058403,0.93619392,0.44772156
-5.05152576,4.15834619,2.75636619,0.70036123,0.00147726,1.46999988,0.00903184,1.50090940,0.88143764,0.42352874
-5.04552276,3.90111128,2.57248622,0.65596977,0.00132690,1.37541841,0.00852393,1.41309955,0.82709771,0.40028249
-5.03951976,3.64860501,2.39077924,0.61195959,0.00118490,1.28125328,0.00805088,1.32841535,0.77395637,0.37832315
-5.03351676,3.40428489,2.21362620,0.56892434,0.00105214,1.18882005,0.00762248,1.24800396,0.72273337,0.35795390
-5.02751376,3.17124404,2.04315356,0.52740213,0.00092921,1.09931352,0.00724776,1.17287142,0.67406929,0.33943273
-5.02151076,2.95214419,1.88119243,0.48786389,0.00081649,1.01378271,0.00693491,1.10386012,0.62851199,0.32296578
-5.01550775,2.74916493,1.72924926,0.45070445,0.00071411,0.93311177,0.00669108,1.04163176,0.58650633,0.30870245
-5.00950475,2.56397013,1.58848850,0.41623650,0.00062204,0.85800744,0.00652234,0.98665602,0.54838753,0.29673210
-5.00350175,2.39769161,1.45972684,0.38468744,0.00054006,0.78899272,0.00643348,0.93920516,0.51437803,0.28708272
-4.99749875,2.25092962,1.34343844,0.35619906,0.00046782,0.72640686,0.00642803,0.89935439,0.48458787,0.27972129
-4.99149575,2.12376912,1.23977021,0.33082993,0.00040486,0.67041082,0.00650807,0.86698772,0.45901821,0.27455599
-4.98549275,2.01581034,1.14856564,0.30856007,0.00035062,0.62099791,0.00667424,0.84180911,0.43756799,0.27144007
-4.97948974,1.92621176,1.06939589,0.28929771,0.00030451,0.57800856,0.00692565,0.82335820,0.42004296,0.27017730
-4.97348674,1.85374337,1.00159637,0.27288776,0.00026588,0.54114857,0.00725984,0.81103000,0.40616702,0.27052874
-4.96748374,1.79684798,0.94430723,0.25912144,0.00023405,0.51000973,0.00767276,0.80409799,0.39559507,0.27222071
-4.96148074,1.75370792,0.89651605,0.24774681,0.00020835,0.48409209,0.00815877,0.80173964,0.38792713,0.27495362
-4.95547774,1.72231507,0.85710119,0.23847980,0.00018812,0.46282688,0.00871068,0.80306363,0.38272307,0.27841146
-4.94947474,1.70054158,0.82487437,0.23101513,0.00017268,0.44559935,0.00931975,0.80713782,0.37951751,0.28227154
-4.94347174,1.68620921,0.79862119,0.22503707,0.00016143,0.43177078,0.00997586,0.81301729,0.37783450,0.28621425
-4.93746873,1.67715537,0.77713851,0.22022949,0.00015374,0.42069904,0.01066757,0.81977137,0.37720142,0.28993254
-4.93146573,1.67129388,0.75926785,0.21628505,0.00014906,0.41175721,0.01138232,0.82650913,0.37716191,0.29314075
-4.92546273,1.66666927,0.74392418,0.21291326,0.00014683,0.40434989,0.01210664,0.83240251,0.37728738,0.29558250
-4.91945973,1.66150317,0.73011955,0.20984737,0.00014658,0.39792698,0.01282638,0.83670650,0.37718691,0.29703753
-4.91345673,1.65423218,0.71698147,0.20684974,0.00014782,0.39199459,0.01352703,0.83877596,0.37651537,0.29732716
-4.90745373,1.64353656,0.70376603,0.20371596,0.00015013,0.38612335,0.01419405,0.83807859,0.37497966,0.29631819
-4.90145073,1.62835962,0.68986566,0.20027749,0.00015313,0.37995385,0.01481315,0.83420404,0.37234300,0.29392532
-4.89544772,1.60791793,0.67481224,0.19640289,0.00015647,0.37319952,0.01537073,0.82686888,0.36842724,0.29011192
-4.88944472,1.58170265,0.65827551,0.19199793,0.00015983,0.36564714,0.01585418,0.81591764,0.36311344,0.28488922
-4.88344172,1.54947283,0.64005776,0.18700438,0.00016294,0.35715510,0.01625226,0.80132009,0.35634063,0.27831403
-4.87743872,1.51124133,0.62008505,0.18139798,0.00016557,0.34764983,0.01655539,0.78316500,0.34810308,0.27048512
-4.87143572,1.46725455,0.59839579,0.17518542,0.00016754,0.33712068,0.01675594,0.76165094,0.33844628,0.26153849
-4.86543272,1.41796699,0.57512725,0.16840080,0.00016867,0.32561346,0.01684847,0.73707447,0.32746174,0.25164166
-4.85942971,1.36401199,0.55050068,0.16110160,0.00016888,0.31322311,0.01682986,0.70981634,0.31528105,0.24098740
-4.85342671,1.30616966,0.52480566,0.15336434,0.00016807,0.30008575,0.01669940,0.68032632,0.30206924,0.22978690
-4.84742371,1.24533349,0.49838415,0.14528014,0.00016621,0.28637035,0.01645880,0.64910709,0.28801791,0.21826293
-4.84142071,1.18247647,0.47161485,0.13695040,0.00016330,0.27227033,0.01611212,0.61669790,0.27333812,0.20664293
-4.83541771,1.11861792,0.44489821,0.12848254,0.00015936,0.25799535,0.01566564,0.58365844,0.25825352,0.19515254
-4.82941471,1.05479186,0.41864240,0.11998617,0.00015446,0.24376341,0.01512759,0.55055333,0.24299362,0.18400944
-4.82341171,0.99201761,0.39325058,0.11156956,0.00014868,0.22979350,0.01450792,0.51793770,0.22778764,0.17341794
-4.81740870,0.93127333,0.36910953,0.10333658,0.00014211,0.21629886,0.01381792,0.48634417,0.21285882,0.16356423
-4.81140570,0.87347277,0.34657978,0.09538419,0.00013487,0.20348100,0.01306991,0.45627131,0.19841941,0.15461246
-4.80540270,0.81944559,0.32598735,0.08780030,0.00012710,0.19152448,0.01227682,0.42817396,0.18466640,0.14670164
-4.79939970,0.76992142,0.30761687,0.08066232,0.00011892,0.18059255,0.01145182,0.40245533,0.17177796,0.13994343
-4.79339670,0.72551756,0.29170636,0.07403603,0.00011048,0.17082363,0.01060793,0.37946087,0.15991063,0.13442071
-4.78739370,0.68673040,0.27844318,0.06797496,0.00010191,0.16232862,0.00975772,0.35947411,0.14919723,0.13018702
-4.78139070,0.65393030,0.26796150,0.06252023,0.00009332,0.15518902,0.00891293,0.34271403,0.13974548,0.12726665
-4.77538769,0.62735974,0.26034082,0.05770060,0.00008485,0.14945589,0.00808428,0.32933423,0.13163725,0.12565552
-4.76938469,0.60713451,0.25560566,0.05353298,0.00007660,0.14514953,0.00728126,0.31942348,0.12492842,0.12532259
-4.76338169,0.59324769,0.25372636,0.05002304,0.00006865,0.14225985,0.00651193,0.31300768,0.11964928,0.12621189
-4.75737869,0.58557612,0.25462076,0.04716614,0.00006109,0.14074750,0.00578292,0.31005302,0.11580538,0.12824496
-4.75137569,0.58388898,0.25815690,0.04494823,0.00005397,0.14054549,0.00509934,0.31047019,0.11337884,0.13132376
-4.74537269,0.58785842,0.26415654,0.04334707,0.00004733,0.14156155,0.00446485,0.31411953,0.11233004,0.13533383
-4.73936968,0.59707165,0.27239961,0.04233328,0.00004122,0.14368083,0.00388169,0.32081701,0.11259960,0.14014777
