energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-4.56528264,4.18387915,0.03682681,1.27120251,1.00371233,0.00000000,2.84367717,1.16649016
-4.55927964,4.29782391,0.03810062,1.29583963,1.05033002,0.00000000,2.90736809,1.19654932
-4.55327664,4.40881693,0.03937079,1.31939833,1.09598265,0.00000000,2.96524683,1.22654899
-4.54727364,4.51472049,0.04061376,1.34131251,1.13999955,0.00000000,3.01604981,1.25585681
-4.54127064,4.61332260,0.04180473,1.36099945,1.18169210,0.00000000,3.05853701,1.28380201
-4.53526763,4.70242159,0.04291844,1.37788456,1.22037489,0.00000000,3.09154249,1.30970068
-4.52926463,4.77991323,0.04393005,1.39142640,1.25538840,0.00000000,3.11402509,1.33288191
-4.52326163,4.84387648,0.04481602,1.40114065,1.28612218,0.00000000,3.12511673,1.35271334
-4.51725863,4.89265339,0.04555496,1.40662185,1.31203748,0.00000000,3.12416583,1.36862524
-4.51125563,4.92491951,0.04612836,1.40756176,1.33268839,0.00000000,3.11077348,1.38013185
-4.50525263,4.93974132,0.04652131,1.40376359,1.34774022,0.00000000,3.08482039,1.38684917
-4.49924962,4.93661784,0.04672300,1.39515123,1.35698446,0.00000000,3.04648313,1.38850842
-4.49324662,4.91550455,0.04672712,1.38177328,1.36034930,0.00000000,2.99623864,1.38496474
-4.48724362,4.87681839,0.04653208,1.36380158,1.35790522,0.00000000,2.93485667,1.37620077
-4.48124062,4.82142381,0.04614108,1.34152449,1.34986531,0.00000000,2.86338036,1.36232515
-4.47523762,4.75060046,0.04556196,1.31533525,1.33658009,0.00000000,2.78309585,1.34356612
-4.46923462,4.66599440,0.04480689,1.28571615,1.31852702,0.00000000,2.69549224,1.32026072
-4.46323162,4.56955500,0.04389197,1.25321928,1.29629517,0.00000000,2.60221380,1.29284008
-4.45722861,4.46346080,0.04283658,1.21844488,1.27056554,0.00000000,2.50500662,1.26181174
-4.45122561,4.35003785,0.04166271,1.18201835,1.24208803,0.00000000,2.40566206,1.22773977
-4.44522261,4.23167426,0.04039417,1.14456704,1.21165592,0.00000000,2.30595959,1.19122371
-4.43921961,4.11073501,0.03905574,1.10669789,1.18007906,0.00000000,2.20761145,1.15287722
-4.43321661,3.98948071,0.03767230,1.06897693,1.14815690,0.00000000,2.11221137,1.11330750
-4.42721361,3.86999385,0.03626805,1.03191145,1.11665249,0.00000000,2.02118939,1.07309616
-4.42121061,3.75411542,0.03486566,0.99593558,1.08626851,0.00000000,1.93577438,1.03278255
-4.41520760,3.64339438,0.03348562,0.96139982,1.05762637,0.00000000,1.85696552,0.99284976
-4.40920460,3.53905159,0.03214564,0.92856468,1.03124894,0.00000000,1.78551332,0.95371410
-4.40320160,3.44195897,0.03086017,0.89759858,1.00754783,0.00000000,1.72191061,0.91571805
-4.39719860,3.35263424,0.02964014,0.86857981,0.98681520,0.00000000,1.66639312,0.87912681
-4.39119560,3.27125028,0.02849281,0.84150228,0.96922050,0.00000000,1.61894914,0.84412832
-4.38519260,3.19765815,0.02742173,0.81628450,0.95481193,0.00000000,1.57933733,0.81083650
-4.37918959,3.13142163,0.02642700,0.79278114,0.94352236,0.00000000,1.54711130,0.77929724
-4.37318659,3.07186120,0.02550548,0.77079652,0.93517918,0.00000000,1.52164973,0.74949668
-4.36718359,3.01810483,0.02465128,0.75009929,0.92951755,0.00000000,1.50219039,0.72137111
-4.36118059,2.96914293,0.02385626,0.73043749,0.92619632,0.00000000,1.48786657,0.69481806
-4.35517759,2.92388484,0.02311060,0.71155326,0.92481579,0.00000000,1.47774445,0.66970773
-4.34917459,2.88121445,0.02240344,0.69319674,0.92493659,0.00000000,1.47086005,0.64589441
-4.34317159,2.84004261,0.02172351,0.67513841,0.92609896,0.00000000,1.46625457,0.62322731
-4.33716858,2.79935468,0.02105971,0.65717958,0.92784159,0.00000000,1.46300706,0.60156036
-4.33116558,2.75825162,0.02040169,0.63916080,0.92971951,0.00000000,1.46026371,0.58076071
