energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Na_s_up,Se_s_up,Se_p_up
-3.68284142,1.68050404,0.13502617,0.11474989,0.56073771,0.23594047,0.22412093,0.15064853,0.78697027
-3.67683842,1.66376839,0.13276300,0.11634488,0.55398882,0.23705133,0.22309603,0.14729923,0.77334430
-3.67083542,1.64658988,0.13029982,0.11839020,0.54788689,0.23744683,0.22146925,0.14387318,0.75962533
-3.66483242,1.62874314,0.12762994,0.12087494,0.54238059,0.23704754,0.21915017,0.14035644,0.74574290
-3.65882941,1.61007542,0.12474814,0.12379614,0.53745037,0.23579880,0.21607177,0.13673104,0.73165049
-3.65282641,1.59052929,0.12165255,0.12715997,0.53311586,0.23367348,0.21219367,0.13297728,0.71733667
-3.64682341,1.57015999,0.11834638,0.13098221,0.52944092,0.23067361,0.20750412,0.12907619,0.70283438
-3.64082041,1.54914653,0.11483945,0.13528799,0.52653607,0.22683066,0.20202075,0.12501173,0.68822758
-3.63481741,1.52779592,0.11114928,0.14011087,0.52455814,0.22220461,0.19579003,0.12077276,0.67365485
-3.62881441,1.50654021,0.10730177,0.14549134,0.52370720,0.21688188,0.18888564,0.11635458,0.65930999
-3.62281141,1.48592639,0.10333141,0.15147463,0.52422075,0.21097211,0.18140569,0.11176007,0.64543921
-3.61680840,1.46659982,0.09928100,0.15810809,0.52636559,0.20460409,0.17346904,0.10700028,0.63233526
-3.61080540,1.44928166,0.09520084,0.16543825,0.53042759,0.19792099,0.16521089,0.10209448,0.62032863
-3.60480240,1.43474147,0.09114749,0.17350753,0.53669976,0.19107510,0.15677791,0.09706985,0.60977627
-3.59879940,1.42376624,0.08718215,0.18235098,0.54546924,0.18422234,0.14832298,0.09196052,0.60104823
-3.59279640,1.41712705,0.08336867,0.19199294,0.55700348,0.17751681,0.13999998,0.08680643,0.59451287
-3.58679340,1.41554480,0.07977141,0.20244390,0.57153640,0.17110542,0.13195855,0.08165179,0.59052121
-3.58079040,1.41965656,0.07645286,0.21369772,0.58925479,0.16512314,0.12433936,0.07654338,0.58939109
