energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
1.02951476,2.99389101,0.63587735,0.00000000,0.01182577,0.21851789,1.09817374,2.79136770
1.03551776,3.10267417,0.66613594,0.00000000,0.01263724,0.22539410,1.14550260,2.88110950
1.04152076,3.20788033,0.69596613,0.00000000,0.01352957,0.23236166,1.19150154,2.96667992
1.04752376,3.30791563,0.72506307,0.00000000,0.01449588,0.23933614,1.23558971,3.04659303
1.05352676,3.40126614,0.75313630,0.00000000,0.01552729,0.24622805,1.27720691,3.11945198
1.05952976,3.48654706,0.77991662,0.00000000,0.01661302,0.25294550,1.31582884,3.18399901
1.06553277,3.56254910,0.80516229,0.00000000,0.01774048,0.25939700,1.35098146,3.23916235
1.07153577,3.62827991,0.82866438,0.00000000,0.01889549,0.26549418,1.38225401,3.28409780
1.07753877,3.68299879,0.85025114,0.00000000,0.02006258,0.27115445,1.40931008,3.31822305
1.08354177,3.72624317,0.86979124,0.00000000,0.02122532,0.27630343,1.43189652,3.34124315
1.08954477,3.75784569,0.88719588,0.00000000,0.02236675,0.28087709,1.44984986,3.35316584
1.09554777,3.77794113,0.90241965,0.00000000,0.02346988,0.28482348,1.46310005,3.35430610
1.10155078,3.78696294,0.91546033,0.00000000,0.02451813,0.28810415,1.47167159,3.34527952
1.10755378,3.78562939,0.92635750,0.00000000,0.02549592,0.29069504,1.47568188,3.32698473
1.11355678,3.77491990,0.93519009,0.00000000,0.02638912,0.29258692,1.47533712,3.30057553
1.11955978,3.75604223,0.94207300,0.00000000,0.02718559,0.29378537,1.47092570,3.26742361
1.12556278,3.73039188,0.94715273,0.00000000,0.02787551,0.29431020,1.46280935,3.22907337
1.13156578,3.69950484,0.95060219,0.00000000,0.02845181,0.29419454,1.45141237,3.18719030
1.13756878,3.66500531,0.95261475,0.00000000,0.02891037,0.29348329,1.43720906,3.14350479
1.14357179,3.62855022,0.95339763,0.00000000,0.02925013,0.29223134,1.42070971,3.09975336
1.14957479,3.59177211,0.95316470,0.00000000,0.02947314,0.29050135,1.40244555,3.05761916
1.15557779,3.55622245,0.95212896,0.00000000,0.02958439,0.28836122,1.38295287,3.01867391
1.16158079,3.52331707,0.95049473,0.00000000,0.02959158,0.28588141,1.36275688,2.98432316
1.16758379,3.49428560,0.94844987,0.00000000,0.02950474,0.28313214,1.34235562,2.95575661
1.17358679,3.47012672,0.94615826,0.00000000,0.02933573,0.28018060,1.32220461,2.93390549
1.17958979,3.45157070,0.94375283,0.00000000,0.02909774,0.27708821,1.30270245,2.91940812
1.18559280,3.43905084,0.94132948,0.00000000,0.02880462,0.27390817,1.28417823,2.91258527
1.19159580,3.43268493,0.93894221,0.00000000,0.02847028,0.27068338,1.26688112,2.91342609
1.19759880,3.43226772,0.93659966,0.00000000,0.02810807,0.26744470,1.25097260,2.92158538
1.20360180,3.43727499,0.93426359,0.00000000,0.02773021,0.26420992,1.23652197,2.93639253
1.20960480,3.44687951,0.93184925,0.00000000,0.02734726,0.26098316,1.22350523,2.95687208
1.21560780,3.45997860,0.92922796,0.00000000,0.02696775,0.25775508,1.21180785,2.98177540
1.22161081,3.47523272,0.92623188,0.00000000,0.02659789,0.25450367,1.20123124,3.00962273
1.22761381,3.49111396,0.92266094,0.00000000,0.02624141,0.25119571,1.19150312,3.03875418
1.23361681,3.50596280,0.91829173,0.00000000,0.02589960,0.24778883,1.18229125,3.06738813
1.23961981,3.51805134,0.91288803,0.00000000,0.02557140,0.24423406,1.17322030,3.09368503
1.24562281,3.52565047,0.90621269,0.00000000,0.02525372,0.24047877,1.16389116,3.11581418
1.25162581,3.52709857,0.89804023,0.00000000,0.02494180,0.23646986,1.15390191,3.13202124
1.25762881,3.52086885,0.88816971,0.00000000,0.02462969,0.23215703,1.14286962,3.14069364
1.26363182,3.50563273,0.87643717,0.00000000,0.02431080,0.22749601,1.13045203,3.14042147
1.26963482,3.48031638,0.86272719,0.00000000,0.02397844,0.22245150,1.11636806,3.13005133
1.27563782,3.44414822,0.84698279,0.00000000,0.02362643,0.21699978,1.10041631,3.10873087
1.28164082,3.39669501,0.82921340,0.00000000,0.02324959,0.21113076,1.08249058,3.07594234
1.28764382,3.33788523,0.80950019,0.00000000,0.02284421,0.20484946,1.06259162,3.03152355
1.29364682,3.26801841,0.78799867,0.00000000,0.02240846,0.19817674,1.04083456,2.97567550
1.29964982,3.18776025,0.76493829,0.00000000,0.02194262,0.19114932,1.01745161,2.90895633
1.30565283,3.09812354,0.74061893,0.00000000,0.02144921,0.18381910,0.99278976,2.83226200
1.31165583,3.00043580,0.71540450,0.00000000,0.02093305,0.17625170,0.96730350,2.74679452
1.31765883,2.89629524,0.68971371,0.00000000,0.02040109,0.16852445,0.94154284,2.65401923
1.32366183,2.78751673,0.66400853,0.00000000,0.01986219,0.16072383,0.91613700,2.55561316
1.32966483,2.67607038,0.63878066,0.00000000,0.01932676,0.15294249,0.89177438,2.45340658
1.33566783,2.56401531,0.61453662,0.00000000,0.01880635,0.14527605,0.86917965,2.34932047
1.34167084,2.45343145,0.59178192,0.00000000,0.01831310,0.13781970,0.84908873,2.24530254
1.34767384,2.34635210,0.57100510,0.00000000,0.01785921,0.13066492,0.83222254,2.14326443
1.35367684,2.24470004,0.55266204,0.00000000,0.01745640,0.12389635,0.81926078,2.04502257
1.35967984,2.15022960,0.53716128,0.00000000,0.01711532,0.11758894,0.81081629,1.95224506
1.36568284,2.06447669,0.52485068,0.00000000,0.01684504,0.11180555,0.80741128,1.86640626
1.37168584,1.98871845,0.51600618,0.00000000,0.01665266,0.10659502,0.80945609,1.78875078
1.37768884,1.92394373,0.51082262,0.00000000,0.01654282,0.10199079,0.81723123,1.72026754
1.38369185,1.87083491,0.50940732,0.00000000,0.01651753,0.09801021,0.83087343,1.66167451
1.38969485,1.82976120,0.51177630,0.00000000,0.01657594,0.09465429,0.85036615,1.61341414
1.39569785,1.80078309,0.51785343,0.00000000,0.01671426,0.09190818,0.87553491,1.57565870
1.40170085,1.78366704,0.52747236,0.00000000,0.01692586,0.08974214,0.90604767,1.54832494
1.40770385,1.77790934,0.54038125,0.00000000,0.01720141,0.08811291,0.94142022,1.53109648
1.41370685,1.78276750,0.55625004,0.00000000,0.01752911,0.08696563,0.98102660,1.52345274
1.41970985,1.79729763,0.57468002,0.00000000,0.01789513,0.08623595,1.02411412,1.52470237
1.42571286,1.82039588,0.59521542,0.00000000,0.01828394,0.08585242,1.06982275,1.53401982
1.43171586,1.85084213,0.61735647,0.00000000,0.01867892,0.08573898,1.11720798,1.55048285
1.43771886,1.88734415,0.64057373,0.00000000,0.01906282,0.08581752,1.16526678,1.57310978
1.44372186,1.92858037,0.66432293,0.00000000,0.01941834,0.08601029,1.21296555,1.60089454
1.44972486,1.97323994,0.68806008,0.00000000,0.01972873,0.08624225,1.25926928,1.63283858
1.45572786,2.02005853,0.71125611,0.00000000,0.01997830,0.08644317,1.30317078,1.66797832
1.46173087,2.06784899,0.73341080,0.00000000,0.02015290,0.08654940,1.34371910,1.70540756
1.46773387,2.11552597,0.75406527,0.00000000,0.02024043,0.08650541,1.38004603,1.74429432
1.47373687,2.16212418,0.77281283,0.00000000,0.02023112,0.08626488,1.41138967,1.78389188
1.47973987,2.20680996,0.78930778,0.00000000,0.02011789,0.08579146,1.43711430,1.82354431
1.48574287,2.24888642,0.80327182,0.00000000,0.01989648,0.08505912,1.45672576,1.86268664
1.49174587,2.28779248,0.81449808,0.00000000,0.01956550,0.08405219,1.46988178,1.90084053
1.49774887,2.32309661,0.82285246,0.00000000,0.01912650,0.08276499,1.47639703,1.93760600
1.50375188,2.35448588,0.82827259,0.00000000,0.01858373,0.08120116,1.47624254,1.97265036
1.50975488,2.38175164,0.83076435,0.00000000,0.01794401,0.07937280,1.46953996,2.00569518
1.51575788,2.40477263,0.83039630,0.00000000,0.01721640,0.07729931,1.45655067,2.03650240
1.52176088,2.42349696,0.82729232,0.00000000,0.01641180,0.07500614,1.43766059,2.06486068
1.52776388,2.43792382,0.82162276,0.00000000,0.01554261,0.07252339,1.41336131,2.09057274
1.53376688,2.44808623,0.81359477,0.00000000,0.01462226,0.06988450,1.38422849,2.11344463
1.53976988,2.45403548,0.80344201,0.00000000,0.01366473,0.06712477,1.35089858,2.13327751
