energy_ev,total_up,Ag_p_up,Ag_d_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up
-4.95547774,8.19860241,1.73881876,1.27403169,1.65426238,4.26439491,0.12532282,0.14204292,1.65937876,0.00000000
-4.94947474,8.35302359,1.76084991,1.29591135,1.67378902,4.33006604,0.12933348,0.14454794,1.69919338,0.00000000
-4.94347174,8.50736303,1.77870775,1.31531593,1.69299043,4.40099752,0.13311286,0.14738614,1.73630145,0.00000000
-4.93746873,8.65864513,1.79190729,1.33180413,1.71129153,4.47566581,0.13657456,0.15051396,1.77008339,0.00000000
-4.93146573,8.80391676,1.80004012,1.34497034,1.72813798,4.55248124,0.13964004,0.15388373,1.79996953,0.00000000
-4.92546273,8.94031335,1.80278939,1.35445576,1.74301440,4.62981797,0.14224089,0.15744480,1.82545641,0.00000000
-4.91945973,9.06512219,1.79994206,1.35995863,1.75546094,4.70604421,0.14432078,0.16114449,1.84612124,0.00000000
-4.91345673,9.17584144,1.79139824,1.36124353,1.76508766,4.77955215,0.14583701,0.16492905,1.86163397,0.00000000
-4.90745373,9.27023328,1.77717690,1.35814900,1.77158643,4.84878708,0.14676151,0.16874457,1.87176660,0.00000000
-4.90145073,9.34636994,1.75741787,1.35059339,1.77473974,4.91227536,0.14708140,0.17253777,1.87639937,0.00000000
-4.89544772,9.40267193,1.73238005,1.33857854,1.77442647,4.96865080,0.14679904,0.17625693,1.87552376,0.00000000
-4.88944472,9.43793744,1.70243574,1.32219104,1.77062438,5.01667918,0.14593143,0.17985266,1.86924209,0.00000000
-4.88344172,9.45136294,1.66806137,1.30160107,1.76340951,5.05528055,0.14450930,0.18327883,1.85776396,0.00000000
-4.87743872,9.44255444,1.62982501,1.27705873,1.75295246,5.08354913,0.14257564,0.18649343,1.84139964,0.00000000
-4.87143572,9.41152957,1.58837101,1.24888795,1.73951192,5.10077014,0.14018389,0.18945946,1.82055068,0.00000000
-4.86543272,9.35871041,1.54440241,1.21747817,1.72342566,5.10643340,0.13739595,0.19214584,1.79569807,0.00000000
-4.85942971,9.28490730,1.49866173,1.18327412,1.70509924,5.10024299,0.13427985,0.19452824,1.76738847,0.00000000
-4.85342671,9.19129377,1.45191064,1.14676395,1.68499285,5.08212248,0.13090751,0.19658973,1.73621873,0.00000000
-4.84742371,9.07937278,1.40490943,1.10846617,1.66360661,5.05221510,0.12735233,0.19832131,1.70281946,0.00000000
-4.84142071,8.95093479,1.35839672,1.06891587,1.64146460,5.01087836,0.12368706,0.19972221,1.66783770,0.00000000
-4.83541771,8.80800797,1.31307004,1.02865052,1.61909813,4.95867265,0.11998168,0.20079982,1.63191960,0.00000000
-4.82941471,8.65280135,1.26956801,0.98819603,1.59702851,4.89634361,0.11630158,0.20156927,1.59569315,0.00000000
-4.82341171,8.48764196,1.22845441,0.94805329,1.57574980,4.82479822,0.11270606,0.20205270,1.55975162,0.00000000
-4.81740870,8.31490719,1.19020471,0.90868574,1.55571194,4.74507495,0.10924703,0.20227804,1.52463810,0.00000000
-4.81140570,8.13695413,1.15519539,0.87050827,1.53730490,4.65830879,0.10596812,0.20227753,1.49083147,0.00000000
-4.80540270,7.95604806,1.12369626,0.83387780,1.52084415,4.56569191,0.10290409,0.20208585,1.45873430,0.00000000
-4.79939970,7.77429252,1.09586616,0.79908576,1.50655824,4.46843176,0.10008057,0.20173812,1.42866298,0.00000000
-4.79339670,7.59356378,1.07175191,0.76635275,1.49457899,4.36770808,0.09751403,0.20126773,1.40084051,0.00000000
-4.78739370,7.41545257,1.05129078,0.73582544,1.48493488,4.26463096,0.09521217,0.20070430,1.37539216,0.00000000
