energy_ev,total_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-4.63731866,0.59565875,0.20156738,0.00000000,0.17850936,0.00000000,0.13140308,0.27956945
-4.63131566,0.56203385,0.18717787,0.00000000,0.17123096,0.00000000,0.11977421,0.26539747
-4.62531266,0.53143962,0.17363736,0.00000000,0.16503243,0.00000000,0.10858209,0.25272787
-4.61930965,0.50433204,0.16111919,0.00000000,0.16002990,0.00000000,0.09794120,0.24177625
-4.61330665,0.48104797,0.14975709,0.00000000,0.15630402,0.00000000,0.08794440,0.23269861
-4.60730365,0.46179900,0.13964405,0.00000000,0.15389708,0.00000000,0.07866219,0.22558871
-4.60130065,0.44666960,0.13083254,0.00000000,0.15281166,0.00000000,0.07014280,0.22047725
-4.59529765,0.43561937,0.12333599,0.00000000,0.15301044,0.00000000,0.06241317,0.21733315
-4.58929465,0.42848911,0.11713139,0.00000000,0.15441755,0.00000000,0.05548047,0.21606659
-4.58329165,0.42501039,0.11216286,0.00000000,0.15692104,0.00000000,0.04933426,0.21653383
-4.57728864,0.42481814,0.10834598,0.00000000,0.16037661,0.00000000,0.04394896,0.21854345
-4.57128564,0.42746591,0.10557279,0.00000000,0.16461234,0.00000000,0.03928661,0.22186401
-4.56528264,0.43244305,0.10371708,0.00000000,0.16943435,0.00000000,0.03529978,0.22623266
-4.55927964,0.43919349,0.10264008,0.00000000,0.17463313,0.00000000,0.03193449,0.23136468
-4.55327664,0.44713539,0.10219608,0.00000000,0.17999049,0.00000000,0.02913311,0.23696338
-4.54727364,0.45568111,0.10223803,0.00000000,0.18528670,0.00000000,0.02683705,0.24273041
-4.54127064,0.46425700,0.10262291,0.00000000,0.19030782,0.00000000,0.02498934,0.24837583
-4.53526763,0.47232228,0.10321665,0.00000000,0.19485288,0.00000000,0.02353697,0.25362793
-4.52926463,0.47938672,0.10389866,0.00000000,0.19874068,0.00000000,0.02243300,0.25824236
-4.52326163,0.48502642,0.10456569,0.00000000,0.20181609,0.00000000,0.02163843,0.26201028
-4.51725863,0.48889732,0.10513505,0.00000000,0.20395557,0.00000000,0.02112384,0.26476541
-4.51125563,0.49074625,0.10554709,0.00000000,0.20507184,0.00000000,0.02087086,0.26638967
-4.50525263,0.49041902,0.10576687,0.00000000,0.20511745,0.00000000,0.02087342,0.26681732
-4.49924962,0.48786557,0.10578504,0.00000000,0.20408736,0.00000000,0.02113885,0.26603740
-4.49324662,0.48314210,0.10561795,0.00000000,0.20202030,0.00000000,0.02168885,0.26409454
-4.48724362,0.47641020,0.10530693,0.00000000,0.19899900,0.00000000,0.02256035,0.26108815
-4.48124062,0.46793320,0.10491689,0.00000000,0.19514941,0.00000000,0.02380623,0.25716990
-4.47523762,0.45806988,0.10453420,0.00000000,0.19063879,0.00000000,0.02549602,0.25253987
-4.46923462,0.44726607,0.10426405,0.00000000,0.18567302,0.00000000,0.02771636,0.24744140
-4.46323162,0.43604432,0.10422736,0.00000000,0.18049307,0.00000000,0.03057144,0.24215480
-4.45722861,0.42499220,0.10455727,0.00000000,0.17537083,0.00000000,0.03418325,0.23699037
-4.45122561,0.41474948,0.10539549,0.00000000,0.17060450,0.00000000,0.03869158,0.23228080
-4.44522261,0.40599484,0.10688847,0.00000000,0.16651350,0.00000000,0.04425379,0.22837318
-4.43921961,0.39943214,0.10918367,0.00000000,0.16343318,0.00000000,0.05104424,0.22562109
-4.43321661,0.39577684,0.11242588,0.00000000,0.16170926,0.00000000,0.05925334,0.22437664
-4.42721361,0.39574263,0.11675386,0.00000000,0.16169208,0.00000000,0.06908602,0.22498290
-4.42121061,0.40002845,0.12229725,0.00000000,0.16373076,0.00000000,0.08075980,0.22776671
-4.41520760,0.40930604,0.12917385,0.00000000,0.16816717,0.00000000,0.09450212,0.23303204
-4.40920460,0.42420804,0.13748733,0.00000000,0.17532979,0.00000000,0.11054710,0.24105386
-4.40320160,0.44531664,0.14732546,0.00000000,0.18552735,0.00000000,0.12913156,0.25207268
