energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
4.32516258,1.87860339,0.05836039,0.41855961,0.45354377,0.01542077,0.05560337,0.20576975,0.68201096,1.00953777
4.33116558,1.84164741,0.06034718,0.40260219,0.44794108,0.01475183,0.05568892,0.20132371,0.65524187,0.99784435
4.33716858,1.81196093,0.06271975,0.38790138,0.44385862,0.01413518,0.05587472,0.19723725,0.63113922,0.99041206
4.34317159,1.78871346,0.06540891,0.37441888,0.44111772,0.01356903,0.05613407,0.19346295,0.60951633,0.98661171
4.34917459,1.77092692,0.06833878,0.36207513,0.43951684,0.01305107,0.05644106,0.18994638,0.59013930,0.98572035
4.35517759,1.75751498,0.07142869,0.35075555,0.43883992,0.01257870,0.05677160,0.18662851,0.57273873,0.98694729
4.36118059,1.74732592,0.07459522,0.34031776,0.43886564,0.01214918,0.05710459,0.18344843,0.55702200,0.98946229
4.36718359,1.73918773,0.07775436,0.33059951,0.43937724,0.01175989,0.05742295,0.18034620,0.54268597,0.99242479
4.37318659,1.73195371,0.08082388,0.32142703,0.44017259,0.01140853,0.05771482,0.17726577,0.52942959,0.99501329
4.37918959,1.72454703,0.08372564,0.31262333,0.44107416,0.01109325,0.05797447,0.17415793,0.51696592,0.99645384
4.38519260,1.71600243,0.08638788,0.30401623,0.44193834,0.01081290,0.05820328,0.17098296,0.50503331,0.99604642
4.39119560,1.70550345,0.08874741,0.29544573,0.44266383,0.01056711,0.05841045,0.16771305,0.49340534,0.99318841
4.39719860,1.69241361,0.09075153,0.28677046,0.44319845,0.01035644,0.05861340,0.16433419,0.48189893,0.98739411
4.40320160,1.67630017,0.09235969,0.27787300,0.44354415,0.01018239,0.05883806,0.16084761,0.47038064,0.97830968
4.40920460,1.65694939,0.09354474,0.26866382,0.44375979,0.01004748,0.05911862,0.15727043,0.45877065,0.96572281
4.41520760,1.63437261,0.09429369,0.25908385,0.44396131,0.00995512,0.05949708,0.15363568,0.44704443,0.94956689
4.42121061,1.60880265,0.09460805,0.24910554,0.44431924,0.00990960,0.06002228,0.14999156,0.43523191,0.92991954
4.42721361,1.58068081,0.09450352,0.23873247,0.44505351,0.00991586,0.06074860,0.14639991,0.42341430,0.90699564
4.43321661,1.55063474,0.09400923,0.22799766,0.44642538,0.00997931,0.06173427,0.14293398,0.41171866,0.88113527
4.43921961,1.51944835,0.09316636,0.21696060,0.44872705,0.01010555,0.06303934,0.13967566,0.40031039,0.85278711
4.44522261,1.48802490,0.09202637,0.20570340,0.45226892,0.01030008,0.06472331,0.13671214,0.38938418,0.82248822
4.45122561,1.45734496,0.09064879,0.19432607,0.45736528,0.01056794,0.06684259,0.13413221,0.37915365,0.79084101
4.45722861,1.42842123,0.08909866,0.18294144,0.46431873,0.01091339,0.06944783,0.13202244,0.36984023,0.75848860
4.46323162,1.40225210,0.08744384,0.17166977,0.47340423,0.01133952,0.07258120,0.13046331,0.36166185,0.72608955
4.46923462,1.37977627,0.08575219,0.16063349,0.48485334,0.01184798,0.07627376,0.12952560,0.35482193,0.69429314
4.47523762,1.36183035,0.08408881,0.14995218,0.49883943,0.01243862,0.08054309,0.12926709,0.34949913,0.66371622
4.48124062,1.34911147,0.08251344,0.13973812,0.51546467,0.01310931,0.08539118,0.12972982,0.34583848,0.63492252
4.48724362,1.34214655,0.08107817,0.13009252,0.53474943,0.01385570,0.09080285,0.13093810,0.34394414,0.60840526
4.49324662,1.34126971,0.07982551,0.12110261,0.55662472,0.01467122,0.09674471,0.13289727,0.34387424,0.58457364
4.49924962,1.34660867,0.07878694,0.11283954,0.58092819,0.01554698,0.10316467,0.13559332,0.34563803,0.56374355
4.50525263,1.35808076,0.07798198,0.10535740,0.60740402,0.01647198,0.10999235,0.13899347,0.34919529,0.54613283
4.51125563,1.37539876,0.07741778,0.09869295,0.63570683,0.01743322,0.11714005,0.14304759,0.35445825,0.53186087
4.51725863,1.39808599,0.07708931,0.09286635,0.66540968,0.01841606,0.12450461,0.14769049,0.36129568,0.52095247
4.52326163,1.42549997,0.07698005,0.08788256,0.69601590,0.01940457,0.13196990,0.15284489,0.36953910,0.51334552
4.52926463,1.45686340,0.07706313,0.08373342,0.72697433,0.02038199,0.13941007,0.15842501,0.37899059,0.50890190
4.53526763,1.49130094,0.07730291,0.08040010,0.75769738,0.02133124,0.14669324,0.16434054,0.38943194,0.50742094
4.54127064,1.52787978,0.07765686,0.07785593,0.78758121,0.02223546,0.15368572,0.17050080,0.40063462,0.50865465
4.54727364,1.56565221,0.07807764,0.07606922,0.81602709,0.02307855,0.16025640,0.17681897,0.41237004,0.51232399
4.55327664,1.60369787,0.07851526,0.07500617,0.84246302,0.02384572,0.16628130,0.18321603,0.42441953,0.51813522
4.55927964,1.64116381,0.07891930,0.07463344,0.86636464,0.02452393,0.17164791,0.18962425,0.43658358,0.52579561
4.56528264,1.67730020,0.07924098,0.07492036,0.88727437,0.02510235,0.17625929,0.19599022,0.44868996,0.53502773
4.57128564,1.71149009,0.07943503,0.07584077,0.90481792,0.02557270,0.18003761,0.20227688,0.46060003,0.54558169
4.57728864,1.74327180,0.07946133,0.07737414,0.91871747,0.02592944,0.18292701,0.20846489,0.47221325,0.55724483
4.58329165,1.77235284,0.07928620,0.07950617,0.92880066,0.02616993,0.18489566,0.21455283,0.48346945,0.56984835
4.58929465,1.79861475,0.07888335,0.08222865,0.93500524,0.02629441,0.18593681,0.22055657,0.49434878,0.58327078
4.59529765,1.82210884,0.07823445,0.08553873,0.93737895,0.02630591,0.18606888,0.22650753,0.50486944,0.59743812
4.60130065,1.84304303,0.07732937,0.08943753,0.93607479,0.02621001,0.18533451,0.23245014,0.51508326,0.61232079
4.60730365,1.86176058,0.07616602,0.09392824,0.93134190,0.02601453,0.18379863,0.23843847,0.52506937,0.62792753
4.61330665,1.87871200,0.07475000,0.09901374,0.92351261,0.02572917,0.18154554,0.24453224,0.53492629,0.64429682
4.61930965,1.89442158,0.07309389,0.10469395,0.91298623,0.02536499,0.17867536,0.25079244,0.54476295,0.66148610
4.62531266,1.90945038,0.07121649,0.11096295,0.90021059,0.02493402,0.17529970,0.25727675,0.55468900,0.67955968
4.63131566,1.92435769,0.06914185,0.11780614,0.88566212,0.02444869,0.17153702,0.26403494,0.56480503,0.69857575
4.63731866,1.93966294,0.06689827,0.12519753,0.86982562,0.02392143,0.16750777,0.27110463,0.57519324,0.71857346
4.64332166,1.95581019,0.06451733,0.13309736,0.85317462,0.02336415,0.16332955,0.27850754,0.58590901,0.73956066
4.64932466,1.97313698,0.06203294,0.14145019,0.83615339,0.02278794,0.15911258,0.28624636,0.59697389,0.76150312
4.65532766,1.99184928,0.05948053,0.15018364,0.81916134,0.02220271,0.15495558,0.29430267,0.60837044,0.78431580
4.66133067,2.01200383,0.05689624,0.15920791,0.80254059,0.02161697,0.15094234,0.30263575,0.62003921,0.80785682
4.66733367,2.03349882,0.05431638,0.16841602,0.78656713,0.02103771,0.14713911,0.31118262,0.63187816,0.83192441
4.67333667,2.05607357,0.05177690,0.17768515,0.77144592,0.02047033,0.14359284,0.31985917,0.64374449,0.85625731
4.67933967,2.07931703,0.04931301,0.18687867,0.75731001,0.01991868,0.14033044,0.32856251,0.65545903,0.88053856
