energy_ev,total_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
3.02851426,3.02515674,0.08367145,0.00000000,0.55821999,0.00000000,0.79296197,2.51296676
3.03451726,2.96952417,0.07888852,0.00000000,0.54574595,0.00000000,0.77306541,2.47036572
3.04052026,2.91374711,0.07437074,0.00000000,0.53387658,0.00000000,0.75390362,2.42765477
3.04652326,2.85826759,0.07016174,0.00000000,0.52272303,0.00000000,0.73564688,2.38516359
3.05252626,2.80345815,0.06629654,0.00000000,0.51236381,0.00000000,0.71842055,2.34316420
3.05852926,2.74960624,0.06280094,0.00000000,0.50284318,0.00000000,0.70230053,2.30185838
3.06453227,2.69690323,0.05969131,0.00000000,0.49417084,0.00000000,0.68731082,2.26136884
3.07053527,2.64543870,0.05697459,0.00000000,0.48632304,0.00000000,0.67342336,2.22173480
3.07653827,2.59520019,0.05464862,0.00000000,0.47924490,0.00000000,0.66056003,2.18291227
3.08254127,2.54607850,0.05270271,0.00000000,0.47285386,0.00000000,0.64859688,2.14477895
3.08854427,2.49787823,0.05111847,0.00000000,0.46704410,0.00000000,0.63737029,2.10714362
3.09454727,2.45033271,0.04987081,0.00000000,0.46169159,0.00000000,0.62668485,2.06975929
3.10055028,2.40312269,0.04892905,0.00000000,0.45665974,0.00000000,0.61632244,2.03233957
3.10655328,2.35589756,0.04825817,0.00000000,0.45180520,0.00000000,0.60605225,1.99457705
3.11255628,2.30829779,0.04782012,0.00000000,0.44698377,0.00000000,0.59564109,1.95616281
3.11855928,2.25997751,0.04757508,0.00000000,0.44205600,0.00000000,0.58486369,1.91680580
3.12456228,2.21062574,0.04748279,0.00000000,0.43689244,0.00000000,0.57351227,1.87625094
3.13056528,2.15998526,0.04750368,0.00000000,0.43137825,0.00000000,0.56140517,1.83429505
3.13656828,2.10786794,0.04759999,0.00000000,0.42541702,0.00000000,0.54839407,1.79079946
3.14257129,2.05416597,0.04773667,0.00000000,0.41893367,0.00000000,0.53436950,1.74569887
3.14857429,1.99885820,0.04788220,0.00000000,0.41187641,0.00000000,0.51926448,1.69900592
3.15457729,1.94201161,0.04800912,0.00000000,0.40421756,0.00000000,0.50305628,1.65081122
3.16058029,1.88377786,0.04809443,0.00000000,0.39595347,0.00000000,0.48576614,1.60127915
3.16658329,1.82438531,0.04811976,0.00000000,0.38710327,0.00000000,0.46745731,1.55063961
3.17258629,1.76412726,0.04807135,0.00000000,0.37770681,0.00000000,0.44823141,1.49917650
3.17858929,1.70334713,0.04793985,0.00000000,0.36782181,0.00000000,0.42822354,1.44721365
