energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-4.63131566,2.49275841,1.71539338,0.52932009,0.00137675,0.86269201,0.02191955,0.75102219
-4.62531266,2.38735964,1.66632043,0.49376864,0.00136246,0.79911173,0.02189447,0.74724085
-4.61930965,2.29007629,1.62117995,0.46110324,0.00134269,0.74115190,0.02180017,0.74301264
-4.61330665,2.20074679,1.57971176,0.43131966,0.00131722,0.68882873,0.02163450,0.73823077
-4.60730365,2.11909878,1.54156431,0.40437168,0.00128606,0.64205524,0.02139756,0.73282279
-4.60130065,2.04479285,1.50632792,0.38018105,0.00124940,0.60066050,0.02109169,0.72675946
-4.59529765,1.97746547,1.47356922,0.35864757,0.00120762,0.56441001,0.02072154,0.72006181
-4.58929465,1.91676868,1.44286464,0.33965858,0.00116126,0.53302602,0.02029390,0.71280608
-4.58329165,1.86240433,1.41383109,0.32309749,0.00111100,0.50620686,0.01981752,0.70512589
-4.57728864,1.81415096,1.38615230,0.30885097,0.00105760,0.48364436,0.01930293,0.69721172
-4.57128564,1.77188185,1.35959924,0.29681433,0.00100194,0.46503848,0.01876203,0.68930712
-4.56528264,1.73557340,1.33404360,0.28689513,0.00094492,0.45010868,0.01820775,0.68170203
-4.55927964,1.70530345,1.30946383,0.27901473,0.00088746,0.43860167,0.01765365,0.67472314
-4.55327664,1.68123965,1.28594332,0.27310797,0.00083047,0.43029539,0.01711345,0.66872158
-4.54727364,1.66361878,1.26366113,0.26912096,0.00077482,0.42499922,0.01660060,0.66405847
-4.54127064,1.65271822,1.24287593,0.26700741,0.00072134,0.42255087,0.01612780,0.66108882
-4.53526763,1.64882128,1.22390408,0.26672364,0.00067073,0.42281031,0.01570659,0.66014448
-4.52926463,1.65217853,1.20709335,0.26822277,0.00062365,0.42565138,0.01534697,0.66151685
-4.52326163,1.66296742,1.19279391,0.27144848,0.00058059,0.43095182,0.01505701,0.66544026
-4.51725863,1.68125268,1.18132818,0.27632879,0.00054197,0.43858258,0.01484263,0.67207665
-4.51125563,1.70694999,1.17296160,0.28277030,0.00050805,0.44839714,0.01470733,0.68150259
-4.50525263,1.73979526,1.16787588,0.29065338,0.00047899,0.46022171,0.01465212,0.69369913
-4.49924962,1.77932160,1.16614648,0.29982854,0.00045481,0.47384708,0.01467545,0.70854535
-4.49324662,1.82484573,1.16772553,0.31011450,0.00043543,0.48902267,0.01477329,0.72581587
-4.48724362,1.87546508,1.17243145,0.32129794,0.00042064,0.50545333,0.01493928,0.74518283
-4.48124062,1.93006631,1.17994578,0.33313522,0.00041017,0.52279917,0.01516497,0.76622245
-4.47523762,1.98734536,1.18981760,0.34535611,0.00040362,0.54067866,0.01544014,0.78842590
