energy_ev,total_up,Ga_p_up,Ga_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-4.63131566,6.62268277,0.32565571,0.00000000,4.27652177,2.41243289,0.13490983,3.67124477
-4.62531266,6.72051857,0.32146398,0.00000000,4.23743319,2.45626803,0.13921722,3.73241941
-4.61930965,6.81215263,0.31651864,0.00000000,4.18700498,2.50143616,0.14375172,3.78808199
-4.61330665,6.89374918,0.31079213,0.00000000,4.12482941,2.54612766,0.14838122,3.83619429
-4.60730365,6.96155606,0.30427065,0.00000000,4.05073930,2.58849110,0.15296739,3.87481081
-4.60130065,7.01203297,0.29695557,0.00000000,3.96482536,2.62669303,0.15737010,3.90214632
-4.59529765,7.04197454,0.28886434,0.00000000,3.86744478,2.65897781,0.16145203,3.91663933
-4.58929465,7.04862354,0.28003080,0.00000000,3.75922095,2.68372538,0.16508319,3.91700917
-4.58329165,7.02977006,0.27050484,0.00000000,3.64103463,2.69950471,0.16814528,3.90230441
-4.57728864,6.98383274,0.26035161,0.00000000,3.51400709,2.70512113,0.17053563,3.87194072
-4.57128564,6.90991887,0.24965009,0.00000000,3.37947606,2.69965554,0.17217062,3.82572658
-4.56528264,6.80786087,0.23849130,0.00000000,3.23896543,2.68249391,0.17298834,3.76387576
-4.55927964,6.67822754,0.22697611,0.00000000,3.09414971,2.65334609,0.17295058,3.68700583
-4.55327664,6.52230947,0.21521273,0.00000000,2.94681444,2.61225297,0.17204378,3.59612278
-4.54727364,6.34207924,0.20331403,0.00000000,2.79881383,2.55958173,0.17027919,3.49259207
-4.54127064,6.14012768,0.19139471,0.00000000,2.65202670,2.49600955,0.16769198,3.37809731
-4.53526763,5.91957895,0.17956847,0.00000000,2.50831199,2.42249636,0.16433957,3.25458800
-4.52926463,5.68398770,0.16794527,0.00000000,2.36946505,2.34024788,0.16029911,3.12421846
-4.52326163,5.43722267,0.15662866,0.00000000,2.23717573,2.25067066,0.15566427,2.98928026
-4.51725863,5.18334117,0.14571343,0.00000000,2.11298937,2.15532095,0.15054149,2.85213071
-4.51125563,4.92645970,0.13528348,0.00000000,1.99827168,2.05584978,0.14504591,2.71512035
-4.50525263,4.67062579,0.12541018,0.00000000,1.89417824,1.95394642,0.13929705,2.58052194
-4.49924962,4.41969579,0.11615093,0.00000000,1.80162947,1.85128266,0.13341457,2.45046379
-4.49324662,4.17722343,0.10754839,0.00000000,1.72129163,1.74946006,0.12751410,2.32686963
-4.48724362,3.94636284,0.09963001,0.00000000,1.65356422,1.64996235,0.12170358,2.21140712
-4.48124062,3.72978927,0.09240813,0.00000000,1.59857411,1.55411438,0.11607991,2.10544663
-4.47523762,3.52963984,0.08588046,0.00000000,1.55617655,1.46304918,0.11072632,2.01003127
