energy_ev,total_up,Bi_p_up,Bi_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-4.58329165,1.33402417,0.14870529,0.00721231,0.20322878,0.90537813,0.52220408,0.00000000
-4.57728864,1.31381534,0.15465911,0.00719907,0.22234376,0.87219982,0.51375100,0.00000000
-4.57128564,1.31461985,0.16369676,0.00731852,0.24733892,0.85074537,0.51321170,0.00000000
-4.56528264,1.33729378,0.17604004,0.00757096,0.27858442,0.84138410,0.52094797,0.00000000
-4.55927964,1.38258885,0.19189622,0.00795616,0.31644516,0.84440473,0.53728429,0.00000000
-4.55327664,1.45112814,0.21145041,0.00847334,0.36126892,0.86000676,0.56249946,0.00000000
-4.54727364,1.54338101,0.23485732,0.00912114,0.41337295,0.88829315,0.59681849,0.00000000
-4.54127064,1.65963873,0.26223260,0.00989753,0.47302915,0.92926454,0.64040513,0.00000000
-4.53526763,1.79999150,0.29364415,0.01079981,0.54044870,0.98281563,0.69335531,0.00000000
-4.52926463,1.96430834,0.32910369,0.01182454,0.61576639,1.04873379,0.75569187,0.00000000
-4.52326163,2.15222084,0.36855898,0.01296755,0.69902565,1.12670035,0.82736084,0.00000000
-4.51725863,2.36311163,0.41188707,0.01422393,0.79016476,1.21629447,0.90822951,0.00000000
-4.51125563,2.59610866,0.45888901,0.01558808,0.88900499,1.31699978,0.99808641,0.00000000
-4.50525263,2.85008576,0.50928643,0.01705371,0.99524136,1.42821340,1.09664332,0.00000000
-4.49924962,3.12366988,0.56272015,0.01861391,1.10843649,1.54925725,1.20353918,0.00000000
-4.49324662,3.41525517,0.61875135,0.02026128,1.22801808,1.67939119,1.31834582,0.00000000
-4.48724362,3.72302346,0.67686529,0.02198795,1.35328025,1.81782730,1.44057516,0.00000000
-4.48124062,4.04497066,0.73647771,0.02378568,1.48338907,1.96374477,1.56968750,0.00000000
-4.47523762,4.37893800,0.79694389,0.02564598,1.61739196,2.11630459,1.70510045,0.00000000
-4.46923462,4.72264679,0.85757020,0.02756016,1.75423108,2.27466314,1.84619778,0.00000000
-4.46323162,5.07373523,0.91762779,0.02951939,1.89276009,2.43798398,1.99233775,0.00000000
-4.45722861,5.42979544,0.97636818,0.03151474,2.03176387,2.60544698,2.14286005,0.00000000
-4.45122561,5.78840909,1.03303999,0.03353721,2.16998051,2.77625416,2.29709104,0.00000000
-4.44522261,6.14717984,1.08690648,0.03557769,2.30612480,2.94963175,2.45434653,0.00000000
-4.43921961,6.50376112,1.13726314,0.03762694,2.43891248,3.12482819,2.61393200,0.00000000
-4.43321661,6.85587813,1.18345470,0.03967554,2.56708431,3.30110808,2.77513993,0.00000000
