energy_ev,total_up,Cd_p_up,Cd_d_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up
-4.66733367,1.31776590,0.19325627,0.14335664,0.09607496,0.03935747,0.02871768,0.01306870,0.64372816
-4.66133067,1.16142329,0.16951292,0.12841179,0.08974610,0.03515920,0.02437097,0.01197140,0.56793537
-4.65532766,1.02360720,0.14869089,0.11540656,0.08468880,0.03142364,0.02055353,0.01113282,0.50102795
-4.64932466,0.90378796,0.13067261,0.10430834,0.08091437,0.02815078,0.01723099,0.01054022,0.44277178
-4.64332166,0.80121868,0.11531301,0.09505671,0.07841323,0.02533224,0.01436636,0.01017954,0.39282596
-4.63731866,0.71497562,0.10244571,0.08756709,0.07715625,0.02295220,0.01192154,0.01003577,0.35076180
-4.63131566,0.64399848,0.09188902,0.08173450,0.07709658,0.02098846,0.00985868,0.01009332,0.31608186
-4.62531266,0.58712950,0.08345164,0.07743739,0.07817163,0.01941345,0.00814142,0.01033638,0.28823874
-4.61930965,0.54315064,0.07693802,0.07454135,0.08030550,0.01819529,0.00673589,0.01074929,0.26665292
-4.61330665,0.51081811,0.07215315,0.07290284,0.08341148,0.01729879,0.00561158,0.01131690,0.25072960
-4.60730365,0.48889406,0.06890704,0.07237259,0.08739497,0.01668643,0.00474208,0.01202503,0.23987404
-4.60130065,0.47617502,0.06701862,0.07279900,0.09215650,0.01631926,0.00410560,0.01286085,0.23350565
-4.59529765,0.47151743,0.06631932,0.07403121,0.09759491,0.01615776,0.00368544,0.01381337,0.23107041
-4.58929465,0.47385999,0.06665620,0.07592214,0.10361073,0.01616256,0.00347031,0.01487397,0.23205192
-4.58329165,0.48224306,0.06789476,0.07833121,0.11010952,0.01629521,0.00345456,0.01603689,0.23598100
-4.57728864,0.49582523,0.06992145,0.08112697,0.11700521,0.01651875,0.00363834,0.01729977,0.24244373
-4.57128564,0.51389685,0.07264583,0.08418941,0.12422325,0.01679834,0.00402771,0.01866420,0.25108813
-4.56528264,0.53589065,0.07600247,0.08741218,0.13170349,0.01710174,0.00463461,0.02013614,0.26162924
-4.55927964,0.56138910,0.07995246,0.09070434,0.13940257,0.01739974,0.00547686,0.02172638,0.27385263
-4.55327664,0.59012834,0.08448463,0.09399191,0.14729577,0.01766655,0.00657800,0.02345076,0.28761616
-4.54727364,0.62199840,0.08961620,0.09721892,0.15537809,0.01788011,0.00796713,0.02533032,0.30284988
-4.54127064,0.65703936,0.09539310,0.10034809,0.16366449,0.01802230,0.00967857,0.02739120,0.31955393
-4.53526763,0.69543315,0.10188960,0.10336095,0.17218917,0.01807911,0.01175152,0.02966436,0.33779435
-4.52926463,0.73749102,0.10920739,0.10625738,0.18100383,0.01804069,0.01422950,0.03218498,0.35769668
-4.52326163,0.78363640,0.11747391,0.10905471,0.19017496,0.01790135,0.01715975,0.03499162,0.37943756
-4.51725863,0.83438365,0.12684008,0.11178614,0.19978018,0.01765948,0.02059246,0.03812509,0.40323416
