energy_ev,total_up,Ga_p_up,Ga_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-1.25762881,1.57451008,0.34836259,0.00000000,0.57010418,0.96292977,0.02298910,0.28350946
-1.25162581,1.50418107,0.33284843,0.00000000,0.55087910,0.91866615,0.02093843,0.27392057
-1.24562281,1.43121944,0.31657974,0.00000000,0.52963290,0.87297855,0.01907970,0.26357858
-1.23961981,1.35622142,0.29967145,0.00000000,0.50654728,0.82623992,0.01741775,0.25259850
-1.23361681,1.27988096,0.28225614,0.00000000,0.48184904,0.77888219,0.01595688,0.24112248
-1.22761381,1.20296988,0.26448078,0.00000000,0.45580399,0.73138360,0.01470098,0.22931533
-1.22161081,1.12631500,0.24650273,0.00000000,0.42870912,0.68425432,0.01365355,0.21735934
-1.21560780,1.05077351,0.22848539,0.00000000,0.40088371,0.63802112,0.01281768,0.20544856
-1.20960480,0.97720768,0.21059356,0.00000000,0.37265974,0.59321180,0.01219601,0.19378271
-1.20360180,0.90645997,0.19298885,0.00000000,0.34437215,0.55034013,0.01179058,0.18256107
-1.19759880,0.83932960,0.17582543,0.00000000,0.31634938,0.50989172,0.01160267,0.17197659
-1.19159580,0.77655156,0.15924611,0.00000000,0.28890471,0.47231155,0.01163256,0.16221027
-1.18559280,0.71877869,0.14337919,0.00000000,0.26232869,0.43799349,0.01187923,0.15342626
-1.17958979,0.66656736,0.12833594,0.00000000,0.23688296,0.40727211,0.01234012,0.14576759
-1.17358679,0.62036724,0.11420897,0.00000000,0.21279575,0.38041701,0.01301079,0.13935275
-1.16758379,0.58051517,0.10107137,0.00000000,0.19025890,0.35762977,0.01388463,0.13427320
-1.16158079,0.54723329,0.08897670,0.00000000,0.16942675,0.33904340,0.01495254,0.13059181
-1.15557779,0.52063111,0.07795971,0.00000000,0.15041646,0.32472441,0.01620278,0.12834228
-1.14957479,0.50071126,0.06803763,0.00000000,0.13330979,0.31467703,0.01762070,0.12752946
-1.14357179,0.48737870,0.05921211,0.00000000,0.11815607,0.30884956,0.01918876,0.12813057
-1.13756878,0.48045254,0.05147138,0.00000000,0.10497608,0.30714240,0.02088646,0.13009720
-1.13156578,0.47968035,0.04479271,0.00000000,0.09376655,0.30941762,0.02269052,0.13335800
