energy_ev,total_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-2.81840920,2.43292853,1.05385163,0.00207264,0.00960990,0.19351960,0.62016043,1.32741174
-2.81240620,2.42246809,1.03878648,0.00207804,0.00971099,0.18782583,0.60287421,1.33430956
-2.80640320,2.41168117,1.02559063,0.00208199,0.00983637,0.18284458,0.58749403,1.33925982
-2.80040020,2.40153790,1.01469389,0.00208494,0.00999134,0.17863555,0.57447964,1.34276413
-2.79439720,2.39297068,1.00646704,0.00208733,0.01017999,0.17523308,0.56425411,1.34534443
-2.78839420,2.38684951,1.00121782,0.00208950,0.01040493,0.17264676,0.55719878,1.34752360
-2.78239120,2.38395777,0.99918833,0.00209176,0.01066717,0.17086273,0.55364897,1.34980537
-2.77638819,2.38496913,1.00055341,0.00209430,0.01096601,0.16984543,0.55389024,1.35265397
-2.77038519,2.39042652,1.00542015,0.00209720,0.01129899,0.16953994,0.55815525,1.35647476
-2.76438219,2.40072380,1.01382839,0.00210047,0.01166199,0.16987457,0.56662120,1.36159637
-2.75837919,2.41609131,1.02575215,0.00210396,0.01204928,0.17076375,0.57940781,1.36825546
-2.75237619,2.43658603,1.04110209,0.00210743,0.01245371,0.17211116,0.59657606,1.37658492
-2.74637319,2.46208722,1.05972905,0.00211054,0.01286698,0.17381293,0.61812765,1.38660600
-2.74037019,2.49229816,1.08142865,0.00211283,0.01327990,0.17576092,0.64400545,1.39822536
-2.73436718,2.52675442,1.10594719,0.00211377,0.01368268,0.17784599,0.67409499,1.41123695
-2.72836418,2.56483900,1.13298879,0.00211276,0.01406531,0.17996117,0.70822721,1.42532930
-2.72236118,2.60580391,1.16222379,0.00210915,0.01441792,0.18200482,0.74618252,1.44009783
-2.71635818,2.64879805,1.19329843,0.00210228,0.01473106,0.18388346,0.78769624,1.45506195
-2.71035518,2.69290035,1.22584565,0.00209153,0.01499609,0.18551458,0.83246549,1.46968631
-2.70435218,2.73715718,1.25949679,0.00207628,0.01520543,0.18682898,0.88015730,1.48340536
-2.69834917,2.78062249,1.29389396,0.00205601,0.01535284,0.18777298,0.93041790,1.49565009
-2.69234617,2.82239913,1.32870263,0.00203031,0.01543362,0.18831010,0.98288282,1.50587586
-2.68634317,2.86167943,1.36362401,0.00199888,0.01544473,0.18842247,1.03718754,1.51358990
-2.68034017,2.89778324,1.39840677,0.00196158,0.01538492,0.18811167,1.09297813,1.51837724
-2.67433717,2.93019156,1.43285736,0.00191845,0.01525474,0.18739910,1.14992147,1.51992377
-2.66833417,2.95857397,1.46684861,0.00186967,0.01505651,0.18632588,1.20771451,1.51803521
-2.66233117,2.98280845,1.50032595,0.00181565,0.01479427,0.18495205,1.26609201,1.51265112
-2.65632816,3.00299242,1.53331066,0.00175692,0.01447362,0.18335537,1.32483225,1.50385315
-2.65032516,3.01944406,1.56590008,0.00169424,0.01410158,0.18162943,1.38376036,1.49186694
-2.64432216,3.03269374,1.59826412,0.00162846,0.01368635,0.17988129,1.44274882,1.47705777
-2.63831916,3.04346556,1.63063837,0.00156060,0.01323715,0.17822858,1.50171504,1.45991980
-2.63231616,3.05264956,1.66331348,0.00149176,0.01276390,0.17679617,1.56061587,1.44105949
