energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Li_s_up,Te_p_up,Te_d_up
-4.57728864,1.56783705,0.02191105,0.39441590,0.63057924,0.66442518,0.13445922,0.61381007,0.00000000
-4.57128564,1.58395568,0.02284603,0.40443395,0.66415672,0.66984562,0.13822348,0.61365033,0.00000000
-4.56528264,1.61028720,0.02394275,0.41730649,0.70363493,0.67890638,0.14272831,0.61770397,0.00000000
-4.55927964,1.64722422,0.02520253,0.43322641,0.74937385,0.69177941,0.14795100,0.62605586,0.00000000
-4.55327664,1.69515379,0.02662776,0.45236916,0.80171910,0.70862343,0.15387800,0.63880269,0.00000000
-4.54727364,1.75444460,0.02822179,0.47488457,0.86098587,0.72957753,0.16050533,0.65605248,0.00000000
-4.54127064,1.82542841,0.02998866,0.50088773,0.92743969,0.75475313,0.16783807,0.67792120,0.00000000
-4.53526763,1.90837595,0.03193263,0.53044909,1.00127484,0.78422452,0.17588900,0.70452655,0.00000000
-4.52926463,2.00346822,0.03405765,0.56358433,1.08259106,0.81801821,0.18467625,0.73597886,0.00000000
-4.52326163,2.11076436,0.03636663,0.60024427,1.17136972,0.85610162,0.19422026,0.77236984,0.00000000
-4.51725863,2.23016777,0.03886070,0.64030553,1.26745069,0.89837171,0.20454001,0.81375936,0.00000000
