energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-5.48374187,6.73005348,-6.12267284,0.08306524,-0.04153513,1.10294365,-1.14230612,3.93039595,-4.21186140,1.78306785,-0.93435465,0.08747327,-0.11876207,2.34867787,-2.00749884,1.05626240,-0.86095228,0.12008899,-0.19785047
-5.47773887,6.68534519,-6.07619435,0.08214785,-0.04202621,1.07970483,-1.12777211,3.92257091,-4.16475499,1.76373504,-0.93753945,0.08718880,-0.11646357,2.36559074,-2.00762076,1.06430280,-0.86549754,0.11635647,-0.19268516
-5.47173587,6.64787663,-6.02866925,0.08095886,-0.04253377,1.05645181,-1.11202746,3.92886966,-4.11810141,1.74163838,-0.94097288,0.08704925,-0.11402447,2.38704278,-2.00958537,1.07444952,-0.87076290,0.11312678,-0.18728052
-5.46573287,6.61741368,-5.98355139,0.07951540,-0.04307494,1.03335219,-1.09576877,3.94884732,-4.07465669,1.71702132,-0.94519099,0.08703688,-0.11149643,2.41258884,-2.01446332,1.08651220,-0.87719670,0.11039370,-0.18174726
-5.45972986,6.59333538,-5.94422699,0.07783646,-0.04366764,1.01054778,-1.07970031,3.98163147,-4.03710655,1.69012251,-0.95072427,0.08712912,-0.10893129,2.44157973,-2.02326919,1.10020768,-0.88522853,0.10813833,-0.17619337
-5.45372686,6.57465375,-5.91391132,0.07594230,-0.04433022,0.98814919,-1.06451361,4.02593493,-4.00799072,1.66116993,-0.95807912,0.08729928,-0.10638001,2.47318336,-2.03692829,1.11516928,-0.89525423,0.10632971,-0.17072138
-5.44772386,6.56004882,-5.89554556,0.07385407,-0.04508099,0.96623193,-1.05086686,4.08008154,-3.98962776,1.63037712,-0.96771902,0.08751756,-0.10389147,2.50641300,-2.05624367,1.13095934,-0.90762065,0.10492576,-0.16542584
-5.44172086,6.54791781,-5.89169683,0.07159338,-0.04593762,0.94483422,-1.03936461,4.14204472,-3.98404221,1.59794148,-0.98004604,0.08775213,-0.10151130,2.54016162,-2.08186438,1.14708440,-0.92261083,0.10387467,-0.16039092
-5.43571786,6.53643654,-5.90446493,0.06918203,-0.04691660,0.92395676,-1.03053855,4.20949828,-3.99289623,1.56404463,-0.99538338,0.08797032,-0.09928071,2.57324085,-2.11425596,1.16301254,-0.94042996,0.10311660,-0.15568839
-5.42971486,6.52363064,-5.93539918,0.06664173,-0.04803254,0.90356442,-1.02483004,4.27987809,-4.01742817,1.52885469,-1.01395987,0.08813988,-0.09723540,2.60442303,-2.15367447,1.17819205,-0.96119288,0.10258564,-0.15137594
-5.42371186,6.50745355,-5.98542910,0.06399397,-0.04929758,0.88358983,-1.02257499,4.35045307,-4.05840008,1.49252996,-1.03589696,0.08823014,-0.09540446,2.63248455,-2.20014525,1.19207073,-0.98491360,0.10221198,-0.14749584
-5.41770885,6.48586772,-6.05481215,0.06125983,-0.05072071,0.86393868,-1.02399184,4.41840324,-4.11605684,1.45522364,-1.06119900,0.08821323,-0.09380951,2.65624868,-2.25344769,1.20411501,-1.01149760,0.10192426,-0.14407414
-5.41170585,6.45692542,-6.14310156,0.05845993,-0.05230727,0.84449636,-1.02917299,4.48090225,-4.19009860,1.41708898,-1.08974734,0.08806500,-0.09246396,2.67462605,-2.31310710,1.21382810,-1.04073733,0.10165188,-0.14112027
-5.40570285,6.41884541,-6.24913658,0.05561435,-0.05405842,0.82513564,-1.03808023,4.53520150,-4.27966865,1.37828426,-1.12129870,0.08776590,-0.09137249,2.68665124,-2.37839464,1.22076639,-1.07231144,0.10132737,-0.13862723
-5.39969985,6.37008191,-6.37105681,0.05274257,-0.05597079,0.80572489,-1.05054435,4.57871287,-4.38335802,1.33897710,-1.15548806,0.08730153,-0.09053085,2.69151373,-2.44833602,1.22455347,-1.10578805,0.10088851,-0.13657215
-5.39369685,6.30938284,-6.50634109,0.04986341,-0.05803623,0.78613641,-1.06626914,4.60908682,-4.49922748,1.29934755,-1.19183610,0.08666304,-0.08992590,2.68858233,-2.52172924,1.22489124,-1.14063229,0.10028030,-0.13491754
-5.38769385,6.23583468,-6.65187066,0.04699493,-0.06024175,0.76625439,-1.08483961,4.62428302,-4.62484740,1.25958966,-1.22976107,0.08584721,-0.08953599,2.67742193,-2.59717129,1.22156766,-1.17621795,0.09945660,-0.13361280
-5.38169085,6.14889211,-6.80401498,0.04415440,-0.06256958,0.74598208,-1.10573417,4.62263066,-4.75735467,1.21991116,-1.26859470,0.08485630,-0.08933169,2.65780216,-2.67309333,1.21446102,-1.21184315,0.09838141,-0.13259626
-5.37568784,6.04839141,-6.95873762,0.04135808,-0.06499743,0.72524773,-1.12834057,4.60287620,-4.89352568,1.18053125,-1.30760153,0.08369764,-0.08927673,2.62969801,-2.74780341,1.20354057,-1.24674949,0.09702969,-0.13179753
-5.36968484,5.93454733,-7.11171850,0.03862119,-0.06749887,0.70400911,-1.15197469,4.56421658,-5.02986306,1.14167662,-1.34600107,0.08238306,-0.08932931,2.59328241,-2.81953527,1.18886364,-1.28014417,0.09538782,-0.13114006
