energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
5.21960980,1.32396892,-0.39007636,1.16607937,-0.47605093,0.11211496,-0.02394680,0.03943298,-0.03618487,0.11010527,-0.01475825,0.06705445,-0.04507578,0.25533982,-0.02294871
5.22561281,1.35600300,-0.39257313,1.19562680,-0.48875781,0.11477731,-0.02368474,0.04041725,-0.03873177,0.11281643,-0.01573859,0.06912599,-0.04472387,0.26337015,-0.02340578
5.23161581,1.38291272,-0.39664493,1.22180834,-0.50250708,0.11688289,-0.02361054,0.04130861,-0.04145305,0.11505651,-0.01698601,0.07113296,-0.04431076,0.27050072,-0.02428746
5.23761881,1.40479309,-0.40213863,1.24474102,-0.51715271,0.11843123,-0.02371218,0.04210517,-0.04434531,0.11684273,-0.01850268,0.07308212,-0.04382528,0.27677033,-0.02558837
5.24362181,1.42191655,-0.40890058,1.26469297,-0.53255683,0.11943755,-0.02397646,0.04281036,-0.04740272,0.11820683,-0.02028561,0.07498817,-0.04325901,0.28225064,-0.02729648
5.24962481,1.43472073,-0.41677651,1.28207088,-0.54858663,0.11993208,-0.02438911,0.04343272,-0.05061628,0.11919376,-0.02232615,0.07687295,-0.04260655,0.28704312,-0.02939294
5.25562781,1.44378799,-0.42561010,1.29739974,-0.56510978,0.11995871,-0.02493482,0.04398533,-0.05397291,0.11985967,-0.02460975,0.07876411,-0.04186570,0.29127445,-0.03185179
5.26163082,1.44981740,-0.43524049,1.31129581,-0.58198874,0.11957304,-0.02559719,0.04448503,-0.05745472,0.12026934,-0.02711571,0.08069343,-0.04103738,0.29509035,-0.03463992
5.26763382,1.45359057,-0.44549926,1.32443402,-0.59907470,0.11883982,-0.02635865,0.04495142,-0.06103828,0.12049312,-0.02981713,0.08269467,-0.04012542,0.29864818,-0.03771709
5.27363682,1.45593280,-0.45620729,1.33751125,-0.61620155,0.11783003,-0.02720047,0.04540571,-0.06469416,0.12060350,-0.03268101,0.08480131,-0.03913614,0.30210872,-0.04103609
5.27963982,1.45767157,-0.46717190,1.35120742,-0.63318078,0.11661768,-0.02810264,0.04586947,-0.06838662,0.12067156,-0.03566855,0.08704399,-0.03807788,0.30562730,-0.04454322
5.28564282,1.45959444,-0.47818480,1.36614640,-0.64979764,0.11527647,-0.02904395,0.04636327,-0.07207368,0.12076336,-0.03873565,0.08944813,-0.03696041,0.30934506,-0.04817890
5.29164582,1.46240856,-0.48902122,1.38285876,-0.66580929,0.11387654,-0.03000206,0.04690549,-0.07570744,0.12093654,-0.04183365,0.09203153,-0.03579437,0.31338042,-0.05187857
5.29764882,1.46670409,-0.49944057,1.40174861,-0.68094515,0.11248141,-0.03095374,0.04751109,-0.07923479,0.12123727,-0.04491026,0.09480239,-0.03459063,0.31782158,-0.05557389
5.30365183,1.47292329,-0.50918874,1.42306624,-0.69490989,0.11114532,-0.03187509,0.04819068,-0.08259849,0.12169773,-0.04791077,0.09775762,-0.03335977,0.32272027,-0.05919413
5.30965483,1.48133726,-0.51800223,1.44688828,-0.70738887,0.10991110,-0.03274205,0.04894973,-0.08573850,0.12233424,-0.05077931,0.10088174,-0.03211164,0.32808716,-0.06266780
5.31565783,1.49203146,-0.52561395,1.47310667,-0.71805613,0.10880860,-0.03353082,0.04978810,-0.08859370,0.12314616,-0.05346040,0.10414641,-0.03085500,0.33388932,-0.06592446
5.32166083,1.50490091,-0.53176057,1.50142709,-0.72658451,0.10785392,-0.03421853,0.05069989,-0.09110374,0.12411560,-0.05590049,0.10751053,-0.02959728,0.34004977,-0.06889662
5.32766383,1.51965540,-0.53619109,1.53137721,-0.73265738,0.10704928,-0.03478384,0.05167360,-0.09321108,0.12520805,-0.05804956,0.11092111,-0.02834450,0.34644936,-0.07152178
5.33366683,1.53583445,-0.53867610,1.56232445,-0.73598157,0.10638362,-0.03520768,0.05269259,-0.09486305,0.12637374,-0.05986271,0.11431475,-0.02710128,0.35293077,-0.07374430
5.33966983,1.55283123,-0.53901751,1.59350240,-0.73630056,0.10583394,-0.03547396,0.05373586,-0.09601385,0.12754985,-0.06130164,0.11761974,-0.02587097,0.35930464,-0.07551735
5.34567284,1.56992408,-0.53705795,1.62404456,-0.73340742,0.10536714,-0.03557018,0.05477910,-0.09662643,0.12866334,-0.06233595,0.12075866,-0.02465592,0.36535740,-0.07680451
5.35167584,1.58631408,-0.53268952,1.65302375,-0.72715666,0.10494241,-0.03548814,0.05579592,-0.09667408,0.12963424,-0.06294427,0.12365137,-0.02345772,0.37086045,-0.07758126
5.35767884,1.60116640,-0.52586135,1.67949498,-0.71747434,0.10451391,-0.03522439,0.05675919,-0.09614166,0.13037940,-0.06311508,0.12621824,-0.02227760,0.37558036,-0.07783611
5.36368184,1.61365340,-0.51658554,1.70253953,-0.70436591,0.10403364,-0.03478070,0.05764248,-0.09502647,0.13081627,-0.06284724,0.12838344,-0.02111679,0.37928938,-0.07757140
5.36968484,1.62299688,-0.50494133,1.72130794,-0.68792135,0.10345433,-0.03416428,0.05842143,-0.09333868,0.13086670,-0.06215020,0.13007814,-0.01997687,0.38177587,-0.07680375
