energy_ev,total_up,Co_p_up,Co_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-5.77188594,3.77895400,0.63947599,0.19258014,2.57544604,0.82887996,0.00054623,1.46680055,0.04909095,1.04728467
-5.76588294,3.98021682,0.64833863,0.20049405,2.78228556,0.88499978,0.00058503,1.57541264,0.05165035,1.07672554
-5.75987994,4.18941798,0.65735515,0.20860937,2.99688539,0.94336786,0.00063644,1.68756979,0.05460786,1.10798832
-5.75387694,4.40525971,0.66658937,0.21691970,3.21747306,1.00345423,0.00070158,1.80219370,0.05801302,1.14125244
-5.74787394,4.62640458,0.67609773,0.22542836,3.44213060,1.06468514,0.00078176,1.91814720,0.06191820,1.17672083
-5.74187094,4.85149219,0.68592638,0.23414920,3.66881837,1.12644858,0.00087835,2.03425093,0.06637738,1.21461472
-5.73586793,5.07915658,0.69610909,0.24310718,3.89540233,1.18810145,0.00099281,2.14930129,0.07144473,1.25516793
-5.72986493,5.30804355,0.70666605,0.25233840,4.11968408,1.24897814,0.00112661,2.26208937,0.07717291,1.29862029
-5.72386193,5.53682653,0.71760345,0.26188963,4.33943328,1.30840052,0.00128115,2.37142044,0.08361130,1.34520979
-5.71785893,5.76422036,0.72891346,0.27181715,4.55242185,1.36568908,0.00145775,2.47613350,0.09080393,1.39516344
-5.71185593,5.98899190,0.74057482,0.28218497,4.75645918,1.42017496,0.00165756,2.57512055,0.09878731,1.44868668
-5.70585293,6.20996727,0.75255354,0.29306229,4.94942797,1.47121259,0.00188151,2.66734507,0.10758815,1.50595131
