energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
2.42821411,2.41515743,0.00510461,0.37646539,0.36492524,0.35810426,1.02278768,0.02341025,1.62944204,0.00000000
2.43421711,2.60019862,0.00569119,0.40232782,0.40092779,0.38037280,1.12463202,0.02503935,1.74089207,0.00000000
2.44022011,2.78602433,0.00629974,0.42794392,0.43776920,0.40216293,1.22941554,0.02666672,1.85161861,0.00000000
2.44622311,2.97087286,0.00692348,0.45306562,0.47502630,0.42328099,1.33606109,0.02827978,1.96068918,0.00000000
2.45222611,3.15287165,0.00755463,0.47743838,0.51222601,0.44353828,1.44334725,0.02986558,2.06715337,0.00000000
2.45822911,3.33006739,0.00818454,0.50080565,0.54885391,0.46275444,1.54992762,0.03141092,2.17005643,0.00000000
2.46423212,3.50046111,0.00880391,0.52291380,0.58436520,0.48076048,1.65435637,0.03290256,2.26845329,0.00000000
2.47023512,3.66204743,0.00940303,0.54351734,0.61819771,0.49740162,1.75511960,0.03432741,2.36142286,0.00000000
2.47623812,3.81285706,0.00997208,0.56238421,0.64978656,0.51253984,1.85067176,0.03567273,2.44808248,0.00000000
2.48224112,3.95100130,0.01050144,0.57930111,0.67857996,0.52605598,1.93947572,0.03692634,2.52760206,0.00000000
2.48824412,4.07471712,0.01098203,0.59407863,0.70405560,0.53785140,2.02004542,0.03807682,2.59921784,0.00000000
2.49424712,4.18241110,0.01140575,0.60655597,0.72573686,0.54784922,2.09098912,0.03911373,2.66224528,0.00000000
2.50025013,4.27270073,0.01176575,0.61660501,0.74320817,0.55599502,2.15105164,0.04002777,2.71609098,0.00000000
2.50625313,4.34445129,0.01205687,0.62413363,0.75612888,0.56225699,2.19915374,0.04081097,2.76026313,0.00000000
2.51225613,4.39680676,0.01227597,0.62908808,0.76424481,0.56662567,2.23442681,0.04145688,2.79438039,0.00000000
2.51825913,4.42921348,0.01242224,0.63145428,0.76739717,0.56911315,2.25624128,0.04196061,2.81817878,0.00000000
2.52426213,4.44143553,0.01249748,0.63125792,0.76552812,0.56975182,2.26422755,0.04231901,2.83151656,0.00000000
2.53026513,4.43356107,0.01250636,0.62856343,0.75868293,0.56859287,2.25828823,0.04253065,2.83437685,0.00000000
2.53626813,4.40599948,0.01245660,0.62347184,0.74700845,0.56570439,2.23860133,0.04259589,2.82686790,0.00000000
2.54227114,4.35946949,0.01235912,0.61611756,0.73074806,0.56116936,2.20561411,0.04251682,2.80922120,0.00000000
