energy_ev,total_up,Hg_p_up,Hg_d_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-1.17958979,1.59454509,0.38467308,0.11049490,0.06625244,0.02555116,0.39532310,0.03321474,0.91580908
-1.17358679,1.64039049,0.39072611,0.11323499,0.07013751,0.02789658,0.40619056,0.03482663,0.94072876
-1.16758379,1.68946527,0.39754916,0.11622758,0.07450492,0.03031489,0.41765622,0.03649844,0.96785324
-1.16158079,1.74103374,0.40501535,0.11941688,0.07926766,0.03277782,0.42951482,0.03819907,0.99688184
-1.15557779,1.79431531,0.41298496,0.12274513,0.08434297,0.03525590,0.44154387,0.03989584,1.02748515
-1.14957479,1.84850228,0.42130852,0.12615419,0.08965338,0.03771897,0.45350901,0.04155537,1.05931147
-1.14357179,1.90278034,0.42983065,0.12958731,0.09512765,0.04013676,0.46517047,0.04314457,1.09199444
-1.13756878,1.95635036,0.43839453,0.13299083,0.10070168,0.04247945,0.47629035,0.04463170,1.12516159
-1.13156578,2.00845043,0.44684667,0.13631590,0.10631920,0.04471820,0.48664030,0.04598740,1.15844297
-1.12556278,2.05837662,0.45504164,0.13951996,0.11193236,0.04682577,0.49600930,0.04718569,1.19147939
-1.11955978,2.10550119,0.46284651,0.14256783,0.11750196,0.04877696,0.50421092,0.04820480,1.22392976
-1.11355678,2.14928719,0.47014455,0.14543258,0.12299734,0.05054907,0.51108975,0.04902790,1.25547693
-1.10755378,2.18929845,0.47683814,0.14809582,0.12839600,0.05212225,0.51652661,0.04964362,1.28583181
-1.10155078,2.22520442,0.48285055,0.15054753,0.13368274,0.05347973,0.52044213,0.05004633,1.31473558
-1.09554777,2.25677964,0.48812650,0.15278546,0.13884844,0.05460797,0.52279855,0.05023614,1.34196001
-1.08954477,2.28389804,0.49263159,0.15481403,0.14388853,0.05549677,0.52359964,0.05021872,1.36730596
-1.08354177,2.30652247,0.49635052,0.15664283,0.14880115,0.05613921,0.52288868,0.05000484,1.39060051
-1.07753877,2.32469050,0.49928436,0.15828488,0.15358507,0.05653152,0.52074464,0.04960963,1.41169312
-1.07153577,2.33849747,0.50144710,0.15975465,0.15823765,0.05667302,0.51727689,0.04905180,1.43045135
-1.06553277,2.34807806,0.50286158,0.16106607,0.16275269,0.05656582,0.51261857,0.04835259,1.44675660
-1.05952976,2.35358787,0.50355545,0.16223059,0.16711856,0.05621467,0.50691925,0.04753474,1.46050057
-1.05352676,2.35518621,0.50355706,0.16325546,0.17131660,0.05562673,0.50033712,0.04662135,1.47158278
-1.04752376,2.35302132,0.50289195,0.16414236,0.17531991,0.05481132,0.49303134,0.04563489,1.47990953
-1.04152076,2.34721906,0.50157992,0.16488641,0.17909273,0.05377976,0.48515484,0.04459621,1.48539442
-1.03551776,2.33787572,0.49963304,0.16547571,0.18259039,0.05254517,0.47684808,0.04352375,1.48796070
-1.02951476,2.32505533,0.49705471,0.16589139,0.18575985,0.05112231,0.46823405,0.04243289,1.48754495
-1.02351176,2.30879144,0.49383974,0.16610822,0.18854101,0.04952748,0.45941473,0.04133558,1.48410214
-1.01750875,2.28909305,0.48997548,0.16609570,0.19086846,0.04777838,0.45046918,0.04024011,1.47761142
