energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
0.77138569,7.93692998,-5.48290028,0.08714181,-0.04528678,1.28606834,-0.74590013,1.43848708,-1.05165103,1.60935288,-1.20287765,0.07856001,-0.06509810,4.29607115,-3.09377381
0.77738869,7.94862652,-5.34432488,0.08657170,-0.04471123,1.28628540,-0.73042530,1.44583622,-1.02688285,1.60188207,-1.16266297,0.07828237,-0.06317623,4.32184542,-3.02333625
0.78339170,7.94671371,-5.20352854,0.08586323,-0.04409864,1.28531028,-0.71565146,1.45034125,-1.00113228,1.59195670,-1.12226882,0.07824108,-0.06145709,4.33763777,-2.94932219
0.78939470,7.93292955,-5.06326132,0.08505764,-0.04347226,1.28370944,-0.70209703,1.45213458,-0.97483675,1.58004503,-1.08238403,0.07846872,-0.05996266,4.34370992,-2.87294844
0.79539770,7.90907135,-4.92606498,0.08419315,-0.04285243,1.28205299,-0.69023643,1.45136117,-0.94839987,1.56662097,-1.04364746,0.07898853,-0.05870891,4.34039250,-2.79535179
0.80140070,7.87692011,-4.79419745,0.08330341,-0.04225583,1.28089166,-0.68048283,1.44817036,-0.92218040,1.55214568,-1.00662983,0.07981333,-0.05770519,4.32806830,-2.71755958
0.80740370,7.83816733,-4.66957254,0.08241616,-0.04169503,1.28073375,-0.67317330,1.44270850,-0.89648417,1.53704987,-0.97181923,0.08094483,-0.05695384,4.30715624,-2.64046776
0.81340670,7.79434782,-4.55371709,0.08155222,-0.04117824,1.28202324,-0.66855688,1.43511245,-0.87155906,1.52171782,-0.93961075,0.08237329,-0.05645005,4.27809688,-2.56482697
0.81940970,7.74678146,-4.44774716,0.08072483,-0.04070931,1.28512003,-0.66678626,1.42550462,-0.84759327,1.50647366,-0.91030067,0.08407765,-0.05618202,4.24133998,-2.49123695
0.82541271,7.69652670,-4.35236344,0.07993945,-0.04028807,1.29028324,-0.66791345,1.41398944,-0.82471658,1.49157068,-0.88408529,0.08602597,-0.05613139,4.19733453,-2.42014879
0.83141571,7.64434757,-4.26786552,0.07919388,-0.03991082,1.29765846,-0.67188958,1.40065155,-0.80300449,1.47718403,-0.86106416,0.08817637,-0.05627391,4.14652140,-2.35187450
0.83741871,7.59069557,-4.19418357,0.07847886,-0.03957107,1.30726952,-0.67856892,1.38555569,-0.78248481,1.46340725,-0.84124756,0.09047827,-0.05658043,4.08932863,-2.28660284
0.84342171,7.53570712,-4.13092534,0.07777891,-0.03926045,1.31901538,-0.68771699,1.36874819,-0.76314621,1.45025251,-0.82456744,0.09287397,-0.05701795,4.02616931,-2.22442028
0.84942471,7.47921622,-4.07743575,0.07707361,-0.03896972,1.33267216,-0.69902228,1.35025982,-0.74494813,1.43765472,-0.81089142,0.09530053,-0.05755101,3.95744172,-2.16533556
0.85542771,7.42078164,-4.03286584,0.07633898,-0.03868985,1.34790047,-0.71211125,1.33010989,-0.72783168,1.42547908,-0.80003883,0.09769182,-0.05814298,3.88353154,-2.10930661
0.86143072,7.35972724,-3.99624792,0.07554912,-0.03841312,1.36425776,-0.72656582,1.30831127,-0.71173061,1.41353181,-0.79179817,0.09998072,-0.05875755,3.80481568,-2.05626840
