energy_ev,total_up,B_p_up,B_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-4.70335168,2.87206579,0.46715597,0.00000000,1.64009915,1.85408730,0.69261181,0.00000000
-4.69734867,2.86977268,0.46917170,0.00000000,1.64330489,1.84728921,0.69898751,0.00000000
-4.69134567,2.86234897,0.47005306,0.00000000,1.64367311,1.83673527,0.70478311,0.00000000
-4.68534267,2.84949735,0.46971183,0.00000000,1.64094405,1.82232804,0.70981185,0.00000000
-4.67933967,2.83095403,0.46807232,0.00000000,1.63486480,1.80400096,0.71388638,0.00000000
-4.67333667,2.80649971,0.46507380,0.00000000,1.62519634,1.78172422,0.71682407,0.00000000
-4.66733367,2.77597102,0.46067288,0.00000000,1.61172157,1.75551059,0.71845260,0.00000000
-4.66133067,2.73927207,0.45484540,0.00000000,1.59425412,1.72542095,0.71861572,0.00000000
-4.65532766,2.69638538,0.44758812,0.00000000,1.57264747,1.69156905,0.71717881,0.00000000
-4.64932466,2.64738153,0.43891984,0.00000000,1.54680405,1.65412515,0.71403415,0.00000000
-4.64332166,2.59242690,0.42888198,0.00000000,1.51668372,1.61331812,0.70910550,0.00000000
-4.63731866,2.53178872,0.41753865,0.00000000,1.48231122,1.56943563,0.70235190,0.00000000
-4.63131566,2.46583704,0.40497601,0.00000000,1.44378204,1.52282225,0.69377025,0.00000000
-4.62531266,2.39504308,0.39130106,0.00000000,1.40126634,1.47387532,0.68339670,0.00000000
-4.61930965,2.31997385,0.37663980,0.00000000,1.35501060,1.42303845,0.67130666,0.00000000
-4.61330665,2.24128299,0.36113482,0.00000000,1.30533677,1.37079305,0.65761332,0.00000000
-4.60730365,2.15969806,0.34494240,0.00000000,1.25263884,1.31764791,0.64246480,0.00000000
-4.60130065,2.07600472,0.32822925,0.00000000,1.19737683,1.26412740,0.62603995,0.00000000
-4.59529765,1.99102846,0.31116895,0.00000000,1.14006860,1.21075869,0.60854307,0.00000000
-4.58929465,1.90561468,0.29393826,0.00000000,1.08127943,1.15805873,0.59019769,0.00000000
-4.58329165,1.82060795,0.27671346,0.00000000,1.02161016,1.10652140,0.57123979,0.00000000
-4.57728864,1.73683148,0.25966682,0.00000000,0.96168412,1.05660564,0.55191070,0.00000000
-4.57128564,1.65506771,0.24296333,0.00000000,0.90213347,1.00872489,0.53245007,0.00000000
-4.56528264,1.57604086,0.22675782,0.00000000,0.84358551,0.96323864,0.51308923,0.00000000
-4.55927964,1.50040216,0.21119261,0.00000000,0.78664945,0.92044611,0.49404516,0.00000000
-4.55327664,1.42871843,0.19639561,0.00000000,0.73190416,0.88058252,0.47551541,0.00000000
-4.54727364,1.36146429,0.18247906,0.00000000,0.67988731,0.84381803,0.45767406,0.00000000
-4.54127064,1.29901814,0.16953885,0.00000000,0.63108613,0.81025913,0.44066895,0.00000000
-4.53526763,1.24166198,0.15765438,0.00000000,0.58593014,0.77995249,0.42462009,0.00000000
-4.52926463,1.18958468,0.14688892,0.00000000,0.54478592,0.75289075,0.40961931,0.00000000
-4.52326163,1.14288835,0.13729043,0.00000000,0.50795388,0.72902008,0.39573103,0.00000000
-4.51725863,1.10159725,0.12889275,0.00000000,0.47566704,0.70824875,0.38299396,0.00000000
-4.51125563,1.06566858,0.12171699,0.00000000,0.44809157,0.69045653,0.37142363,0.00000000
-4.50525263,1.03500445,0.11577316,0.00000000,0.42532904,0.67550413,0.36101541,0.00000000
-4.49924962,1.00946433,0.11106175,0.00000000,0.40741988,0.66324239,0.35174791,0.00000000
-4.49324662,0.98887744,0.10757544,0.00000000,0.39434799,0.65352079,0.34358651,0.00000000
