energy_ev,total_up,Al_p_up,Al_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
0.92146073,1.29654281,0.45109736,0.00000000,1.03886635,0.52144408,0.61429968,0.00000000
0.92746373,1.26805063,0.43749502,0.00000000,1.00874150,0.51182568,0.59935025,0.00000000
0.93346673,1.23252336,0.42173248,0.00000000,0.97332016,0.49928598,0.58112190,0.00000000
0.93946973,1.19059637,0.40408647,0.00000000,0.93326018,0.48404290,0.55993481,0.00000000
0.94547274,1.14301249,0.38486056,0.00000000,0.88928272,0.46636263,0.53615661,0.00000000
0.95147574,1.09059945,0.36437611,0.00000000,0.84215160,0.44655129,0.51019110,0.00000000
0.95747874,1.03424567,0.34296330,0.00000000,0.79265225,0.42494576,0.48246643,0.00000000
0.96348174,0.97487530,0.32095237,0.00000000,0.74157121,0.40190393,0.45342317,0.00000000
0.96948474,0.91342351,0.29866552,0.00000000,0.68967683,0.37779473,0.42350265,0.00000000
0.97548774,0.85081270,0.27640955,0.00000000,0.63770168,0.35298838,0.39313597,0.00000000
0.98149075,0.78793060,0.25446951,0.00000000,0.58632734,0.32784708,0.36273413,0.00000000
0.98749375,0.72561070,0.23310348,0.00000000,0.53617171,0.30271653,0.33267933,0.00000000
0.99349675,0.66461569,0.21253850,0.00000000,0.48777930,0.27791845,0.30331795,0.00000000
0.99949975,0.60562412,0.19296775,0.00000000,0.44161429,0.25374440,0.27495502,0.00000000
1.00550275,0.54922065,0.17454889,0.00000000,0.39805672,0.23045088,0.24785050,0.00000000
1.01150575,0.49588977,0.15740354,0.00000000,0.35740123,0.20825595,0.22221721,0.00000000
1.01750875,0.44601308,0.14161777,0.00000000,0.31985850,0.18733722,0.19822035,0.00000000
1.02351176,0.39986980,0.12724352,0.00000000,0.28555885,0.16783130,0.17597852,0.00000000
1.02951476,0.35764033,0.11430083,0.00000000,0.25455778,0.14983452,0.15556605,0.00000000
1.03551776,0.31941232,0.10278060,0.00000000,0.22684300,0.13340480,0.13701641,0.00000000
1.04152076,0.28518899,0.09264797,0.00000000,0.20234263,0.11856458,0.12032649,0.00000000
1.04752376,0.25489914,0.08384595,0.00000000,0.18093420,0.10530450,0.10546155,0.00000000
1.05352676,0.22840838,0.07629933,0.00000000,0.16245405,0.09358771,0.09236051,0.00000000
1.05952976,0.20553117,0.06991864,0.00000000,0.14670688,0.08335461,0.08094155,0.00000000
1.06553277,0.18604314,0.06460414,0.00000000,0.13347512,0.07452784,0.07110762,0.00000000
