energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-4.87143572,7.11853454,0.01319256,0.26784443,1.66698850,1.34365451,0.06955496,3.80315460,2.86803748,0.91924301
-4.86543272,7.18068785,0.01403710,0.25820596,1.70799911,1.35824257,0.07025293,3.85107449,2.86356329,0.92968461
-4.85942971,7.25359796,0.01500933,0.24920336,1.74967645,1.37525551,0.07180252,3.90406560,2.85749342,0.94164197
-4.85342671,7.33527384,0.01610359,0.24085870,1.79128569,1.39432199,0.07417152,3.96091300,2.84946676,0.95482118
-4.84742371,7.42324490,0.01731202,0.23318254,1.83201635,1.41494988,0.07731018,4.02014516,2.83902495,0.96888337
-4.84142071,7.51463230,0.01862446,0.22617415,1.87100523,1.43653943,0.08115224,4.08007635,2.82563047,0.98345388
-4.83541771,7.60623390,0.02002839,0.21982211,1.90736178,1.45840040,0.08561624,4.13885655,2.80868943,0.99813219
-4.82941471,7.69461985,0.02150899,0.21410493,1.94019477,1.47977259,0.09060704,4.19452719,2.78757790,1.01250234
-4.82341171,7.77623562,0.02304931,0.20899174,1.96863931,1.49984934,0.09601770,4.24508061,2.76167045,1.02614351
-4.81740870,7.84750891,0.02463043,0.20444313,1.99188303,1.51780295,0.10173163,4.28852134,2.73036984,1.03864029
-4.81140570,7.90495677,0.02623177,0.20041204,2.00919050,1.53281146,0.10762491,4.32292692,2.69313614,1.04959250
-4.80540270,7.94528930,0.02783147,0.19684473,2.01992487,1.54408542,0.11356892,4.34650623,2.64951416,1.05862421
-4.79939970,7.96550639,0.02940679,0.19368178,2.02356604,1.55089405,0.11943307,4.35765311,2.59915778,1.06539175
-4.79339670,7.96298426,0.03093459,0.19085922,2.01972465,1.55258943,0.12508767,4.35499373,2.54185007,1.06959059
-4.78739370,7.93554893,0.03239181,0.18830967,2.00815155,1.54862802,0.13040684,4.33742583,2.47751829,1.07096091
-4.78139070,7.88153448,0.03375602,0.18596360,1.98874249,1.53858847,0.13527143,4.30414887,2.40624318,1.06929179
-4.77538769,7.79982422,0.03500588,0.18375056,1.96153814,1.52218525,0.13957175,4.25468401,2.32826206,1.06442414
-4.76938469,7.68987396,0.03612167,0.18160052,1.92671955,1.49927735,0.14321015,4.18888365,2.24396579,1.05625211
-4.76338169,7.55171709,0.03708571,0.17944517,1.88459951,1.46987196,0.14610329,4.10693043,2.15388974,1.04472341
-4.75737869,7.38595193,0.03788274,0.17721919,1.83561035,1.43412295,0.14818401,4.00932617,2.05869944,1.02983835
-4.75137569,7.19371258,0.03850027,0.17486154,1.78028895,1.39232440,0.14940280,3.89687144,1.95917149,1.01164788
-4.74537269,6.97662492,0.03892880,0.17231659,1.71925947,1.34489950,0.14972871,3.77063704,1.85617087,0.99025074
-4.73936968,6.73675018,0.03916196,0.16953522,1.65321491,1.29238545,0.14914978,3.63192871,1.75062573,0.96578987
-4.73336668,6.47651865,0.03919665,0.16647567,1.58289796,1.23541511,0.14767289,3.48224661,1.64350074,0.93844826
-4.72736368,6.19865632,0.03903293,0.16310436,1.50908210,1.17469625,0.14532303,3.32324143,1.53577031,0.90844437
-4.72136068,5.90610765,0.03867401,0.15939646,1.43255340,1.11098933,0.14214212,3.15666872,1.42839272,0.87602722
-4.71535768,5.60195706,0.03812603,0.15533619,1.35409374,1.04508470,0.13818736,2.98434316,1.32228622,0.84147134
-4.70935468,5.28935209,0.03739784,0.15091706,1.27446571,0.97778032,0.13352914,2.80809433,1.21830795,0.80507160
-4.70335168,4.97143057,0.03650076,0.14614177,1.19439955,0.90986055,0.12824870,2.62972531,1.11723625,0.76713813
-4.69734867,4.65125381,0.03544817,0.14102195,1.11458230,0.84207702,0.12243556,2.45097526,1.01975692,0.72799116
-4.69134567,4.33174744,0.03425524,0.13557768,1.03564918,0.77513195,0.11618486,2.27348678,0.92645354,0.68795614
-4.68534267,4.01565104,0.03293852,0.12983683,0.95817719,0.70966444,0.10959466,2.09877870,0.83780194,0.64735886
-4.67933967,3.70547732,0.03151559,0.12383424,0.88268077,0.64624003,0.10276337,1.92822467,0.75416850,0.60652090
-4.67333667,3.40348102,0.03000466,0.11761071,0.80960930,0.58534347,0.09578732,1.76303754,0.67581218,0.56575524
-4.66733367,3.11163752,0.02842425,0.11121196,0.73934633,0.52737480,0.08875862,1.60425942,0.60288948,0.52536218
