energy_ev,total_up,Ir_p_up,Ir_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-5.72986493,1.55376805,0.83095529,0.89394717,0.66707890,0.00053690,0.16647076,0.00000000
-5.72386193,1.53178778,0.81558744,0.88138827,0.65455506,0.00053838,0.16466197,0.00000000
-5.71785893,1.50535848,0.79609654,0.86757111,0.63953250,0.00053942,0.16183647,0.00000000
-5.71185593,1.47516816,0.77275718,0.85294058,0.62230822,0.00054045,0.15805063,0.00000000
-5.70585293,1.44209251,0.74594489,0.83804748,0.60324935,0.00054197,0.15338390,0.00000000
-5.69984992,1.40716442,0.71612285,0.82352901,0.58278187,0.00054454,0.14793593,0.00000000
-5.69384692,1.37153778,0.68382607,0.81008594,0.56137738,0.00054877,0.14182322,0.00000000
-5.68784392,1.33644719,0.64964401,0.79845714,0.53953850,0.00055530,0.13517530,0.00000000
-5.68184092,1.30316507,0.61420220,0.78939242,0.51778346,0.00056476,0.12813078,0.00000000
-5.67583792,1.27295804,0.57814387,0.78362495,0.49663064,0.00057777,0.12083332,0.00000000
-5.66983492,1.24704431,0.54211242,0.78184413,0.47658359,0.00059491,0.11342777,0.00000000
-5.66383192,1.22655398,0.50673518,0.78467028,0.45811725,0.00061668,0.10605658,0.00000000
-5.65782891,1.21249374,0.47260946,0.79263215,0.44166593,0.00064353,0.09885672,0.00000000
-5.65182591,1.20571770,0.44029106,0.80614816,0.42761350,0.00067579,0.09195705,0.00000000
