energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
2.42221111,5.47450015,0.00285637,0.46106476,0.01304902,0.56779114,0.34412827,5.05452009
2.42821411,5.07508677,0.00254788,0.42713352,0.01149591,0.53239896,0.32216857,4.68446013
2.43421711,4.70149829,0.00226018,0.39515714,0.01009958,0.49883350,0.30117394,4.33854950
2.44022011,4.35403523,0.00199413,0.36522589,0.00885650,0.46718869,0.28122279,4.01698159
2.44622311,4.03254280,0.00175009,0.33738349,0.00776062,0.43751313,0.26236663,3.71954402
2.45222611,3.73646293,0.00152798,0.31163162,0.00680380,0.40981418,0.24463241,3.44566582
2.45822911,3.46489072,0.00132735,0.28793504,0.00597635,0.38406264,0.22802506,3.19446852
2.46423212,3.21663306,0.00114743,0.26622693,0.00526742,0.36019767,0.21253027,2.96481913
2.47023512,2.99026750,0.00098719,0.24641432,0.00466550,0.33813191,0.19811733,2.75538317
2.47623812,2.78419987,0.00084543,0.22838353,0.00415873,0.31775664,0.18474189,2.56467657
