energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-3.41270635,0.52402299,0.00000005,0.04892089,0.05738452,0.14684096,0.00019378,0.36723556,0.10472437,0.06851977
-3.40670335,0.53311584,0.00000004,0.04778270,0.05804684,0.14981058,0.00015234,0.37689399,0.10693366,0.06935880
-3.40070035,0.54155769,0.00000003,0.04672704,0.05880421,0.15216417,0.00011896,0.38614296,0.10899345,0.07019701
-3.39469735,0.54910354,0.00000002,0.04569502,0.05961872,0.15384817,0.00009226,0.39486757,0.11085276,0.07099680
-3.38869435,0.55559356,0.00000002,0.04463818,0.06046276,0.15483251,0.00007108,0.40300773,0.11247976,0.07173159
-3.38269135,0.56094942,0.00000001,0.04351877,0.06131838,0.15511036,0.00005439,0.41055407,0.11386035,0.07238537
-3.37668834,0.56516734,0.00000001,0.04230963,0.06217616,0.15469699,0.00004134,0.41754165,0.11499631,0.07295184
-3.37068534,0.56830813,0.00000001,0.04099372,0.06303380,0.15362780,0.00003121,0.42404160,0.11590283,0.07343318
-3.36468234,0.57048475,0.00000001,0.03956335,0.06389444,0.15195559,0.00002341,0.43015124,0.11660567,0.07383835
-3.35867934,0.57184810,0.00000000,0.03801920,0.06476485,0.14974732,0.00001744,0.43598304,0.11713799,0.07418124
-3.35267634,0.57257149,0.00000000,0.03636911,0.06565346,0.14708036,0.00001290,0.44165296,0.11753704,0.07447864
-3.34667334,0.57283498,0.00000000,0.03462677,0.06656849,0.14403855,0.00000948,0.44726890,0.11784083,0.07474815
-3.34067034,0.57281005,0.00000000,0.03281036,0.06751611,0.14070815,0.00000692,0.45291971,0.11808497,0.07500615
-3.33466733,0.57264566,0.00000000,0.03094116,0.06849893,0.13717405,0.00000502,0.45866555,0.11829979,0.07526598
-3.32866433,0.57245626,0.00000000,0.02904224,0.06951459,0.13351617,0.00000362,0.46453001,0.11850788,0.07553637
-3.32266133,0.57231253,0.00000000,0.02713727,0.07055495,0.12980654,0.00000259,0.47049452,0.11872231,0.07582022
-3.31665833,0.57223515,0.00000000,0.02524941,0.07160547,0.12610688,0.00000184,0.47649546,0.11894539,0.07611383
-3.31065533,0.57219212,0.00000000,0.02340043,0.07264520,0.12246697,0.00000130,0.48242398,0.11916819,0.07640656
-3.30465233,0.57209948,0.00000000,0.02161001,0.07364708,0.11892384,0.00000091,0.48812879,0.11937083,0.07668099
-3.29864932,0.57182560,0.00000000,0.01989525,0.07457879,0.11550168,0.00000063,0.49342164,0.11952345,0.07691346
-3.29264632,0.57119848,0.00000000,0.01827032,0.07540387,0.11221255,0.00000044,0.49808532,0.11958780,0.07707519
-3.28664332,0.57001576,0.00000000,0.01674636,0.07608321,0.10905778,0.00000030,0.50188357,0.11951942,0.07713351
-3.28064032,0.56805682,0.00000000,0.01533150,0.07657678,0.10602983,0.00000021,0.50457264,0.11927019,0.07705361
-3.27463732,0.56509611,0.00000000,0.01403110,0.07684543,0.10311467,0.00000014,0.50591354,0.11879119,0.07680026
