energy_ev,total_up,Al_p_up,Al_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
4.16308154,3.47374235,1.68215550,0.00000000,3.52948447,0.01341866,0.15321540,1.18463530
4.16908454,3.53714284,1.68185151,0.00000000,3.56520086,0.01356370,0.16022397,1.22935357
4.17508754,3.59922445,1.68225232,0.00000000,3.59679484,0.01370582,0.16775463,1.27223178
4.18109055,3.65847848,1.68284422,0.00000000,3.62290773,0.01384046,0.17570579,1.31246094
4.18709355,3.71339184,1.68310970,0.00000000,3.64222341,0.01396310,0.18396345,1.34925819
4.19309655,3.76250346,1.68255916,0.00000000,3.65352181,0.01406940,0.19240374,1.38189108
4.19909955,3.80446041,1.68076061,0.00000000,3.65572994,0.01415542,0.20089591,1.40970156
4.20510255,3.83807100,1.67736583,0.00000000,3.64796819,0.01421779,0.20930566,1.43212857
4.21110555,3.86235236,1.67213178,0.00000000,3.62958953,0.01425385,0.21749874,1.44872813
4.21710855,3.87657018,1.66493608,0.00000000,3.60020997,0.01426176,0.22534465,1.45919011
4.22311156,3.88026886,1.65578611,0.00000000,3.55972866,0.01424063,0.23272025,1.46335074
4.22911456,3.87329046,1.64482117,0.00000000,3.50833687,0.01419051,0.23951322,1.46120032
4.23511756,3.85578175,1.63230798,0.00000000,3.44651538,0.01411243,0.24562520,1.45288568
4.24112056,3.82818918,1.61862972,0.00000000,3.37502064,0.01400837,0.25097438,1.43870730
4.24712356,3.79124193,1.60426938,0.00000000,3.29486036,0.01388112,0.25549757,1.41911124
4.25312656,3.74592423,1.58978835,0.00000000,3.20725984,0.01373423,0.25915155,1.39467615
4.25912956,3.69343825,1.57580149,0.00000000,3.11362070,0.01357181,0.26191375,1.36609606
4.26513257,3.63515963,1.56294982,0.00000000,3.01547408,0.01339837,0.26378216,1.33415974
4.27113557,3.57258764,1.55187237,0.00000000,2.91443036,0.01321866,0.26477452,1.29972749
4.27713857,3.50729261,1.54317833,0.00000000,2.81212782,0.01303745,0.26492686,1.26370643
4.28314157,3.44086289,1.53742103,0.00000000,2.71018240,0.01285936,0.26429150,1.22702524
4.28914457,3.37485374,1.53507459,0.00000000,2.61014058,0.01268869,0.26293457,1.19060949
4.29514757,3.31074027,1.53651439,0.00000000,2.51343726,0.01252927,0.26093323,1.15535817
