energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-2.50025013,1.50492954,0.00231986,0.03663140,0.07263672,0.84239578,0.01887430,0.13775148,0.26028870,0.48044244
-2.49424712,1.54759252,0.00220053,0.03895206,0.07545911,0.87912016,0.01910791,0.14149144,0.25970969,0.48445184
-2.48824412,1.59063931,0.00208089,0.04145964,0.07863071,0.91769998,0.01929668,0.14487067,0.25920893,0.48719548
-2.48224112,1.63459553,0.00196199,0.04417658,0.08219688,0.95850733,0.01944967,0.14790899,0.25889156,0.48876169
-2.47623812,1.68005032,0.00184488,0.04712352,0.08620190,1.00191989,0.01957731,0.15063825,0.25887745,0.48928348
-2.47023512,1.72762575,0.00173055,0.05031773,0.09068637,1.04829932,0.01969097,0.15310091,0.25929435,0.48893369
-2.46423212,1.77794337,0.00161995,0.05377151,0.09568443,1.09796803,0.01980255,0.15534819,0.26027065,0.48791914
-2.45822911,1.83158924,0.00151397,0.05749067,0.10122107,1.15118570,0.01992398,0.15743779,0.26192822,0.48647389
-2.45222611,1.88907908,0.00141344,0.06147308,0.10730962,1.20812643,0.02006673,0.15943149,0.26437566,0.48485199
-2.44622311,1.95082534,0.00131911,0.06570747,0.11394949,1.26885801,0.02024131,0.16139247,0.26770209,0.48331977
-2.44022011,2.01710775,0.00123166,0.07017255,0.12112435,1.33332431,0.02045689,0.16338274,0.27197187,0.48214821
-2.43421711,2.08804906,0.00115165,0.07483643,0.12880082,1.40133205,0.02072084,0.16546075,0.27722048,0.48160531
-2.42821411,2.16359730,0.00107957,0.07965659,0.13692777,1.47254303,0.02103849,0.16767916,0.28345159,0.48194901
-2.42221111,2.24351561,0.00101578,0.08458019,0.14543633,1.54647226,0.02141288,0.17008305,0.29063569,0.48342068
-2.41620810,2.32738043,0.00096054,0.08954497,0.15424059,1.62249277,0.02184466,0.17270867,0.29871004,0.48623933
-2.41020510,2.41458817,0.00091399,0.09448060,0.16323909,1.69984702,0.02233207,0.17558254,0.30758017,0.49059674
