energy_ev,total_up,As_p_up,As_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-1.53976988,3.78435404,0.92916436,0.00000000,0.38721375,1.61939806,0.98358090,0.00433175
-1.53376688,3.87411918,0.92404989,0.00000000,0.42144826,1.72983090,0.97799958,0.00436330
-1.52776388,3.97717457,0.92260472,0.00000000,0.45724194,1.84559778,0.97501699,0.00440412
-1.52176088,4.09207764,0.92472360,0.00000000,0.49424500,1.96566473,0.97452766,0.00445251
-1.51575788,4.21708176,0.93024076,0.00000000,0.53204881,2.08884139,0.97638912,0.00450658
-1.50975488,4.35016625,0.93893210,0.00000000,0.57019149,2.21379696,0.98042448,0.00456434
-1.50375188,4.48907334,0.95051801,0.00000000,0.60816602,2.33908054,0.98642532,0.00462373
-1.49774887,4.63135143,0.96466697,0.00000000,0.64543046,2.46314593,0.99415471,0.00468265
-1.49174587,4.77440409,0.98100000,0.00000000,0.68142045,2.58438028,1.00335057,0.00473904
-1.48574287,4.91554381,0.99909596,0.00000000,0.71556325,2.70113620,1.01372923,0.00479091
-1.47973987,5.05204938,1.01849784,0.00000000,0.74729309,2.81176638,1.02498930,0.00483637
-1.47373687,5.18122551,1.03871990,0.00000000,0.77606717,2.91465997,1.03681572,0.00487369
-1.46773387,5.30046311,1.05925589,0.00000000,0.80138162,3.00827950,1.04888415,0.00490132
-1.46173087,5.40729859,1.07958800,0.00000000,0.82278671,3.09119722,1.06086550,0.00491792
-1.45572786,5.49947036,1.09919664,0.00000000,0.83990080,3.16212961,1.07243067,0.00492235
-1.44972486,5.57497074,1.11757078,0.00000000,0.85242208,3.21996873,1.08325539,0.00491376
-1.44372186,5.63209157,1.13421870,0.00000000,0.86013785,3.26380940,1.09302513,0.00489152
-1.43771886,5.66946217,1.14867873,0.00000000,0.86293072,3.29297099,1.10144001,0.00485525
-1.43171586,5.68607815,1.16052996,0.00000000,0.86078142,3.30701316,1.10821954,0.00480486
-1.42571286,5.68132038,1.16940225,0.00000000,0.85376822,3.30574475,1.11310729,0.00474048
-1.41970985,5.65496340,1.17498555,0.00000000,0.84206296,3.28922571,1.11587526,0.00466248
-1.41370685,5.60717337,1.17703800,0.00000000,0.82592389,3.25776196,1.11632794,0.00457145
-1.40770385,5.53849574,1.17539253,0.00000000,0.80568568,3.21189358,1.11430595,0.00446818
-1.40170085,5.44983343,1.16996187,0.00000000,0.78174724,3.15237675,1.10968934,0.00435365
-1.39569785,5.34241664,1.16074166,0.00000000,0.75455788,3.08016058,1.10240022,0.00422898
-1.38969485,5.21776575,1.14781148,0.00000000,0.72460246,2.99635962,1.09240496,0.00409542
-1.38369185,5.07764886,1.13133401,0.00000000,0.69238630,2.90222343,1.07971570,0.00395429
-1.37768884,4.92403575,1.11155200,0.00000000,0.65842048,2.79910434,1.06439120,0.00380702
-1.37168584,4.75905006,1.08878347,0.00000000,0.62320813,2.68842470,1.04653701,0.00365503
-1.36568284,4.58492129,1.06341512,0.00000000,0.58723224,2.57164479,1.02630479,0.00349980
-1.35967984,4.40393819,1.03589420,0.00000000,0.55094534,2.45023229,1.00389096,0.00334275
-1.35367684,4.21840472,1.00671911,0.00000000,0.51476135,2.32563428,0.97953436,0.00318528
-1.34767384,4.03059967,0.97642903,0.00000000,0.47904972,2.19925235,0.95351317,0.00302875
-1.34167084,3.84274046,0.94559280,0.00000000,0.44413175,2.07242105,0.92614090,0.00287442
-1.33566783,3.65695157,0.91479740,0.00000000,0.41027909,1.94639014,0.89776151,0.00272345
-1.32966483,3.47523769,0.88463629,0.00000000,0.37771412,1.82231030,0.86874379,0.00257694
-1.32366183,3.29946121,0.85569771,0.00000000,0.34661193,1.70122239,0.83947489,0.00243585
-1.31765883,3.13132400,0.82855344,0.00000000,0.31710351,1.58404980,0.81035325,0.00230103
-1.31165583,2.97235268,0.80374781,0.00000000,0.28927982,1.47159362,0.78178094,0.00217322
-1.30565283,2.82388714,0.78178751,0.00000000,0.26319652,1.36453012,0.75415567,0.00205306
