energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
3.77888944,1.54750353,0.00243100,0.03163971,1.12152925,0.00000000,0.01248829,0.08787353,0.18411599,1.06016572
3.78489245,1.53921564,0.00221219,0.03342650,1.09079252,0.00000000,0.01394430,0.09069229,0.18220771,1.06119060
3.79089545,1.53886481,0.00203230,0.03586725,1.06221597,0.00000000,0.01562567,0.09438083,0.18191324,1.06663497
3.79689845,1.54667106,0.00189032,0.03897089,1.03577127,0.00000000,0.01752990,0.09896534,0.18326057,1.07663868
3.80290145,1.56279664,0.00178474,0.04273929,1.01142284,0.00000000,0.01965101,0.10446021,0.18625621,1.09133193
3.80890445,1.58733616,0.00171368,0.04716638,0.98913424,0.00000000,0.02197909,0.11086616,0.19088392,1.11082718
3.81490745,1.62030511,0.00167496,0.05223734,0.96887284,0.00000000,0.02449991,0.11816852,0.19710365,1.13520939
3.82091046,1.66162756,0.00166618,0.05792787,0.95061231,0.00000000,0.02719467,0.12633588,0.20485084,1.16452499
3.82691346,1.71112400,0.00168483,0.06420351,0.93433294,0.00000000,0.03003985,0.13531910,0.21403613,1.19877049
3.83291646,1.76850018,0.00172838,0.07101929,0.92001989,0.00000000,0.03300726,0.14505088,0.22454540,1.23788130
3.83891946,1.83333830,0.00179431,0.07831950,0.90765959,0.00000000,0.03606422,0.15544587,0.23624057,1.28172192
3.84492246,1.90509129,0.00188025,0.08603789,0.89723477,0.00000000,0.03917403,0.16640157,0.24896082,1.33007810
3.85092546,1.98308158,0.00198399,0.09409814,0.88871869,0.00000000,0.04229651,0.17779980,0.26252473,1.38265180
3.85692846,2.06650481,0.00210361,0.10241478,0.88206912,0.00000000,0.04538883,0.18950897,0.27673300,1.43905979
3.86293147,2.15443934,0.00223746,0.11089444,0.87722263,0.00000000,0.04840643,0.20138701,0.29137211,1.49883612
3.86893447,2.24586175,0.00238427,0.11943759,0.87409002,0.00000000,0.05130413,0.21328489,0.30621860,1.56143898
3.87493747,2.33966814,0.00254318,0.12794051,0.87255315,0.00000000,0.05403733,0.22505066,0.32104410,1.62626176
3.88094047,2.43470094,0.00271375,0.13629771,0.87246369,0.00000000,0.05656322,0.23653380,0.33562089,1.69264822
3.88694347,2.52978028,0.00289599,0.14440446,0.87364400,0.00000000,0.05884211,0.24758988,0.34972789,1.75991123
3.89294647,2.62373866,0.00309036,0.15215956,0.87589031,0.00000000,0.06083858,0.25808505,0.36315673,1.82735415
3.89894947,2.71545759,0.00329774,0.15946813,0.87897785,0.00000000,0.06252263,0.26790053,0.37571785,1.89429416
3.90495248,2.80390430,0.00351942,0.16624426,0.88266800,0.00000000,0.06387064,0.27693652,0.38724619,1.96008604
3.91095548,2.88816667,0.00375699,0.17241355,0.88671669,0.00000000,0.06486619,0.28511568,0.39760630,2.02414541
3.91695848,2.96748464,0.00401231,0.17791528,0.89088386,0.00000000,0.06550050,0.29238576,0.40669656,2.08596997
3.92296148,3.04127620,0.00428739,0.18270417,0.89494304,0.00000000,0.06577284,0.29872136,0.41445234,2.14515763
3.92896448,3.10915642,0.00458426,0.18675170,0.89869077,0.00000000,0.06569045,0.30412468,0.42084784,2.20142026
3.93496748,3.17094838,0.00490487,0.19004668,0.90195493,0.00000000,0.06526829,0.30862520,0.42589659,2.25459232
3.94097049,3.22668509,0.00525092,0.19259543,0.90460162,0.00000000,0.06452854,0.31227834,0.42965043,2.30463366
