energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-4.90145073,1.95758241,0.00013389,0.18018934,0.85895410,0.46546955,0.51735377,0.34937189,0.00025227,1.16653537
-4.89544772,1.94460815,0.00011559,0.17880553,0.86009057,0.46709798,0.52105128,0.33497542,0.00021659,1.17094067
-4.88944472,1.92885536,0.00009915,0.17732772,0.85874023,0.46730573,0.52327355,0.32210102,0.00018478,1.17161851
-4.88344172,1.91026797,0.00008449,0.17570744,0.85490865,0.46614737,0.52397000,0.31063984,0.00015665,1.16865393
-4.87743872,1.88881720,0.00007153,0.17390432,0.84862816,0.46369287,0.52311461,0.30045914,0.00013196,1.16216944
-4.87143572,1.86450358,0.00006015,0.17188708,0.83995781,0.46002527,0.52070647,0.29140729,0.00011045,1.15232137
-4.86543272,1.83735766,0.00005026,0.16963394,0.82898288,0.45523798,0.51676958,0.28331898,0.00009186,1.13929572
-4.85942971,1.80743980,0.00004171,0.16713276,0.81581349,0.44943189,0.51135181,0.27602046,0.00007590,1.12330337
-4.85342671,1.77483872,0.00003439,0.16438061,0.80058269,0.44271236,0.50452308,0.26933465,0.00006231,1.10457503
-4.84742371,1.73966917,0.00002816,0.16138302,0.78344378,0.43518625,0.49637280,0.26308617,0.00005083,1.08335583
-4.84142071,1.70206874,0.00002291,0.15815291,0.76456705,0.42695889,0.48700667,0.25710597,0.00004119,1.05989983
-4.83541771,1.66219405,0.00001851,0.15470922,0.74413601,0.41813143,0.47654300,0.25123566,0.00003316,1.03446454
-4.82941471,1.62021643,0.00001485,0.15107533,0.72234330,0.40879829,0.46510871,0.24533128,0.00002652,1.00730570
-4.82341171,1.57631755,0.00001184,0.14727749,0.69938635,0.39904513,0.45283513,0.23926649,0.00002107,0.97867233
-4.81740870,1.53068498,0.00000937,0.14334310,0.67546304,0.38894718,0.43985394,0.23293519,0.00001663,0.94880249
-4.81140570,1.48350818,0.00000737,0.13929926,0.65076758,0.37856816,0.42629327,0.22625333,0.00001304,0.91791953
-4.80540270,1.43497489,0.00000575,0.13517133,0.62548667,0.36795970,0.41227433,0.21916001,0.00001015,0.88622929
-4.79939970,1.38526834,0.00000446,0.13098185,0.59979626,0.35716137,0.39790853,0.21161789,0.00000786,0.85391818
-4.79339670,1.33456517,0.00000344,0.12674970,0.57385892,0.34620129,0.38329541,0.20361274,0.00000604,0.82115217
-4.78739370,1.28303429,0.00000263,0.12248961,0.54782193,0.33509721,0.36852126,0.19515238,0.00000461,0.78807675
-4.78139070,1.23083664,0.00000200,0.11821204,0.52181624,0.32385812,0.35365861,0.18626493,0.00000350,0.75481784
-4.77538769,1.17812578,0.00000151,0.11392330,0.49595613,0.31248621,0.33876649,0.17699650,0.00000264,0.72148344
-4.76938469,1.12504912,0.00000113,0.10962605,0.47033968,0.30097911,0.32389139,0.16740847,0.00000199,0.68816604
-4.76338169,1.07174986,0.00000084,0.10532004,0.44504987,0.28933228,0.30906888,0.15757440,0.00000149,0.65494549
-4.75737869,1.01836906,0.00000063,0.10100296,0.42015620,0.27754139,0.29432565,0.14757679,0.00000112,0.62189215
-4.75137569,0.96504807,0.00000046,0.09667147,0.39571671,0.26560469,0.27968184,0.13750376,0.00000086,0.58907026
-4.74537269,0.91193061,0.00000034,0.09232225,0.37178022,0.25352503,0.26515356,0.12744575,0.00000067,0.55654106
-4.73936968,0.85916471,0.00000026,0.08795299,0.34838856,0.24131160,0.25075528,0.11749254,0.00000056,0.52436568
-4.73336668,0.80690397,0.00000020,0.08356328,0.32557878,0.22898130,0.23650206,0.10773042,0.00000051,0.49260757
-4.72736368,0.75530829,0.00000016,0.07915533,0.30338502,0.21655947,0.22241143,0.09823987,0.00000052,0.46133422
-4.72136068,0.70454372,0.00000014,0.07473453,0.28184010,0.20408025,0.20850481,0.08909360,0.00000060,0.43061829
-4.71535768,0.65478153,0.00000014,0.07030965,0.26097663,0.19158632,0.19480843,0.08035513,0.00000074,0.40053790
-4.70935468,0.60619658,0.00000016,0.06589297,0.24082763,0.17912816,0.18135367,0.07207787,0.00000098,0.37117622
-4.70335168,0.55896489,0.00000019,0.06150002,0.22142676,0.16676286,0.16817691,0.06430469,0.00000133,0.34262033
-4.69734867,0.51326069,0.00000024,0.05714924,0.20280799,0.15455260,0.15531888,0.05706799,0.00000182,0.31495958
-4.69134567,0.46925318,0.00000032,0.05286131,0.18500497,0.14256276,0.14282358,0.05039016,0.00000250,0.28828337
-4.68534267,0.42710301,0.00000044,0.04865851,0.16805009,0.13085995,0.13073690,0.04428451,0.00000344,0.26267868
-4.67933967,0.38695892,0.00000059,0.04456387,0.15197334,0.11950997,0.11910504,0.03875641,0.00000470,0.23822752
-4.67333667,0.34895459,0.00000080,0.04060038,0.13680106,0.10857580,0.10797287,0.03380480,0.00000639,0.21500433
-4.66733367,0.31320602,0.00000108,0.03679013,0.12255473,0.09811574,0.09738225,0.02942380,0.00000863,0.19307356
