energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-4.73936968,4.58804721,0.92248620,3.94556043,0.00050333,0.03112222,0.21124156,0.44090948,0.00206271,0.19471470
-4.73336668,4.56863162,0.91905600,3.91565338,0.00046357,0.03068296,0.21171421,0.44954546,0.00202499,0.19660038
-4.72736368,4.54495046,0.91538783,3.88031078,0.00042931,0.03023764,0.21236739,0.45888120,0.00200008,0.19851690
-4.72136068,4.51640175,0.91124896,3.83921968,0.00040082,0.02978669,0.21315365,0.46870929,0.00198737,0.20040059
-4.71535768,4.48254995,0.90645414,3.79224674,0.00037835,0.02933175,0.21402119,0.47880922,0.00198664,0.20219312
-4.70935468,4.44314748,0.90087063,3.73944950,0.00036218,0.02887585,0.21491613,0.48895489,0.00199804,0.20384403
-4.70335168,4.39814936,0.89442111,3.68108028,0.00035264,0.02842359,0.21578477,0.49892264,0.00202212,0.20531310
-4.69734867,4.34772058,0.88708444,3.61758250,0.00035006,0.02798121,0.21657588,0.50849987,0.00205978,0.20657231
-4.69134567,4.29223581,0.87889434,3.54957962,0.00035485,0.02755663,0.21724281,0.51749347,0.00211221,0.20760746
-4.68534267,4.23227149,0.86993607,3.47785726,0.00036746,0.02715937,0.21774546,0.52573806,0.00218089,0.20841924
-4.67933967,4.16859098,0.86034123,3.40333947,0.00038838,0.02680047,0.21805191,0.53310350,0.00226749,0.20902366
-4.67333667,4.10212303,0.85028094,3.32706002,0.00041817,0.02649225,0.21813978,0.53950125,0.00237385,0.20945199
-4.66733367,4.03393489,0.83995773,3.25013029,0.00045740,0.02624802,0.21799714,0.54488938,0.00250184,0.20974994
