energy_ev,total_up,B_p_up,B_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-5.16558279,4.88548758,0.35857146,0.00000000,2.59789915,3.71006397,0.72806897,0.00000000
-5.15957979,4.99769071,0.36975052,0.00000000,2.58269121,3.80885366,0.73267923,0.00000000
-5.15357679,5.11487184,0.38299498,0.00000000,2.57632962,3.91119472,0.73653945,0.00000000
-5.14757379,5.23703550,0.39836443,0.00000000,2.57941791,4.01700441,0.73965231,0.00000000
-5.14157079,5.36404917,0.41589109,0.00000000,2.59245755,4.12608896,0.74201237,0.00000000
-5.13556778,5.49563101,0.43557780,0.00000000,2.61583881,4.23813473,0.74360497,0.00000000
-5.12956478,5.63134152,0.45739620,0.00000000,2.64983095,4.35270301,0.74440584,0.00000000
-5.12356178,5.77057941,0.48128502,0.00000000,2.69457187,4.46922875,0.74438169,0.00000000
-5.11755878,5.91258209,0.50714864,0.00000000,2.75005738,4.58702348,0.74349163,0.00000000
-5.11155578,6.05643078,0.53485575,0.00000000,2.81613025,4.70528231,0.74168952,0.00000000
-5.10555278,6.20106015,0.56423847,0.00000000,2.89246976,4.82309496,0.73892703,0.00000000
-5.09954977,6.34527249,0.59509171,0.00000000,2.97858225,4.93946050,0.73515737,0.00000000
-5.09354677,6.48775602,0.62717315,0.00000000,3.07379357,5.05330551,0.73033943,0.00000000
-5.08754377,6.62710711,0.66020389,0.00000000,3.17724445,5.16350503,0.72444219,0.00000000
-5.08154077,6.76185583,0.69386986,0.00000000,3.28788962,5.26890592,0.71744899,0.00000000
-5.07553777,6.89049460,0.72782423,0.00000000,3.40450170,5.36835196,0.70936167,0.00000000
-5.06953477,7.01150903,0.76169098,0.00000000,3.52568067,5.46071003,0.70020400,0.00000000
-5.06353177,7.12341068,0.79506954,0.00000000,3.64986943,5.54489669,0.69002443,0.00000000
-5.05752876,7.22477064,0.82754074,0.00000000,3.77537594,5.61990449,0.67889783,0.00000000
-5.05152576,7.31425342,0.85867395,0.00000000,3.90040178,5.68482730,0.66692612,0.00000000
-5.04552276,7.39065012,0.88803534,0.00000000,4.02307683,5.73888385,0.65423765,0.00000000
-5.03951976,7.45290993,0.91519707,0.00000000,4.14149929,5.78143890,0.64098530,0.00000000
-5.03351676,7.50016906,0.93974717,0.00000000,4.25377981,5.81202128,0.62734340,0.00000000
-5.02751376,7.53177600,0.96129985,0.00000000,4.35808842,5.83033824,0.61350344,0.00000000
-5.02151076,7.54731220,0.97950579,0.00000000,4.45270229,5.83628542,0.59966888,0.00000000
