energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-4.87143572,9.37273051,0.03571106,0.43330403,1.76024185,0.92736459,2.51718923,5.03383036,2.88186874,0.00000000
-4.86543272,9.45886261,0.03595449,0.44198368,1.77035429,0.93243627,2.55472485,5.10771600,2.88011584,0.00000000
-4.85942971,9.54550961,0.03614547,0.45102122,1.78258653,0.93749526,2.59600318,5.18006914,2.87989187,0.00000000
-4.85342671,9.63167301,0.03627833,0.46034073,1.79664486,0.94255336,2.64042423,5.25004514,2.88124170,0.00000000
-4.84742371,9.71627083,0.03634857,0.46985817,1.81221099,0.94761665,2.68729912,5.31676645,2.88417160,0.00000000
-4.84142071,9.79816767,0.03635296,0.47948246,1.82895296,0.95268601,2.73586746,5.37934454,2.88865261,0.00000000
-4.83541771,9.87620540,0.03628947,0.48911688,1.84653513,0.95775754,2.78531667,5.43690261,2.89462368,0.00000000
-4.82941471,9.94923393,0.03615733,0.49866068,1.86462729,0.96282299,2.83480293,5.48859871,2.90199475,0.00000000
-4.82341171,10.01614153,0.03595687,0.50801094,1.88291255,0.96787023,2.88347311,5.53364861,2.91064989,0.00000000
-4.81740870,10.07588413,0.03568940,0.51706450,1.90109413,0.97288371,2.93048717,5.57134784,2.92045037,0.00000000
-4.81140570,10.12751291,0.03535708,0.52572011,1.91890083,0.97784499,2.97504020,5.60109235,2.93123793,0.00000000
-4.80540270,10.17019959,0.03496276,0.53388034,1.93609135,0.98273331,3.01638353,5.62239718,2.94283807,0.00000000
-4.79939970,10.20325875,0.03450976,0.54145358,1.95245724,0.98752618,3.05384390,5.63491253,2.95506350,0.00000000
-4.79339670,10.22616650,0.03400179,0.54835567,1.96782461,0.99220004,3.08684017,5.63843683,2.96771752,0.00000000
-4.78739370,10.23857499,0.03344275,0.55451139,1.98205468,0.99673095,3.11489676,5.63292622,2.98059738,0.00000000
-4.78139070,10.24032222,0.03283667,0.55985553,1.99504296,1.00109522,3.13765330,5.61850026,2.99349735,0.00000000
-4.77538769,10.23143692,0.03218761,0.56433360,2.00671732,1.00527010,3.15487006,5.59544349,3.00621162,0.00000000
-4.76938469,10.21213818,0.03149960,0.56790221,2.01703505,1.00923435,3.16642891,5.56420298,3.01853666,0.00000000
-4.76338169,10.18283019,0.03077667,0.57052907,2.02597879,1.01296883,3.17232988,5.52538174,3.03027325,0.00000000
-4.75737869,10.14409198,0.03002280,0.57219261,2.03355183,1.01645691,3.17268341,5.47972831,3.04122791,0.00000000
-4.75137569,10.09666299,0.02924198,0.57288144,2.03977272,1.01968491,3.16769878,5.42812285,3.05121396,0.00000000
-4.74537269,10.04142489,0.02843824,0.57259353,2.04466955,1.02264235,3.15766938,5.37156024,3.06005218,0.00000000
-4.73936968,9.97938047,0.02761571,0.57133539,2.04827421,1.02532216,3.14295553,5.31113057,3.06757121,0.00000000
-4.73336668,9.91163052,0.02677866,0.56912114,2.05061680,1.02772072,3.12396587,5.24799789,3.07360779,0.00000000
-4.72736368,9.83934947,0.02593153,0.56597180,2.05172065,1.02983791,3.10113814,5.18337756,3.07800705,0.00000000
-4.72136068,9.76376062,0.02507898,0.56191458,2.05159800,1.03167686,3.07492059,5.11851295,3.08062299,0.00000000
-4.71535768,9.68611175,0.02422590,0.55698253,2.05024684,1.03324377,3.04575469,5.05465205,3.08131913,0.00000000
-4.70935468,9.60765156,0.02337741,0.55121429,2.04764881,1.03454739,3.01406015,4.99302442,3.07996961,0.00000000
-4.70335168,9.52960734,0.02253881,0.54465418,2.04376853,1.03559851,2.98022284,4.93481898,3.07646055,0.00000000
-4.69734867,9.45316419,0.02171560,0.53735240,2.03855421,1.03640910,2.94458602,4.88116283,3.07069176,0.00000000
-4.69134567,9.37944574,0.02091335,0.52936548,2.03193949,1.03699140,2.90744522,4.83310147,3.06257861,0.00000000
-4.68534267,9.30949619,0.02013768,0.52075665,2.02384655,1.03735668,2.86904664,4.79158062,3.05205395,0.00000000
-4.67933967,9.24426381,0.01939414,0.51159633,2.01419004,1.03751389,2.82958894,4.75742961,3.03906987,0.00000000
-4.67333667,9.18458533,0.01868814,0.50196234,2.00288177,1.03746812,2.78922789,4.73134660,3.02359914,0.00000000
