energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-0.33316658,2.04726434,-0.32561199,0.40625601,-0.05599611,1.03798717,-0.22151343,0.01367647,-0.00119353,0.17030519,-0.00318157,0.02330519,-0.00659289,0.36435642,-0.01901552,0.54978307,-0.10904398,0.00065268,-0.00009910
-0.32716358,2.00498607,-0.35782286,0.38516381,-0.06020480,1.02253146,-0.24411187,0.01250842,-0.00130634,0.16381369,-0.00357679,0.02288317,-0.00734041,0.35426770,-0.02078448,0.53281577,-0.11706247,0.00065032,-0.00010872
-0.32116058,1.96289205,-0.39131968,0.36462968,-0.06433730,1.00693429,-0.26764332,0.01139654,-0.00142130,0.15727905,-0.00401740,0.02242427,-0.00813332,0.34429656,-0.02261999,0.51655521,-0.12507458,0.00064727,-0.00011879
-0.31515758,1.92109596,-0.42583115,0.34476359,-0.06834479,0.99121042,-0.29190971,0.01034888,-0.00153733,0.15075864,-0.00450396,0.02192061,-0.00896408,0.33453279,-0.02451293,0.50108003,-0.13298766,0.00064342,-0.00012928
-0.30915458,1.87962991,-0.46108067,0.32564385,-0.07218151,0.97533558,-0.31670299,0.00937142,-0.00165328,0.14430078,-0.00503756,0.02136651,-0.00982452,0.32504916,-0.02645559,0.48643491,-0.14071973,0.00063870,-0.00014017
-0.30315158,1.83846156,-0.49679435,0.30732014,-0.07580653,0.95925595,-0.34181043,0.00846826,-0.00176800,0.13794514,-0.00561986,0.02075861,-0.01070594,0.31590293,-0.02844225,0.47263332,-0.14820232,0.00063301,-0.00015146
-0.29714857,1.79751347,-0.53270978,0.28981728,-0.07918556,0.94289873,-0.36702068,0.00764191,-0.00188035,0.13172356,-0.00625311,0.02009606,-0.01159934,0.30713800,-0.03046966,0.45966107,-0.15538315,0.00062627,-0.00016316
-0.29114557,1.75668335,-0.56858548,0.27313957,-0.08229254,0.92618305,-0.39213044,0.00689365,-0.00198926,0.12566126,-0.00694022,0.01938047,-0.01249567,0.29878758,-0.03253757,0.44748027,-0.16222844,0.00061844,-0.00017530
-0.28514257,1.71586420,-0.60421008,0.25727536,-0.08511108,0.90903062,-0.41695124,0.00622387,-0.00209372,0.11977831,-0.00768479,0.01861593,-0.01338605,0.29087706,-0.03464914,0.43603369,-0.16872474,0.00060948,-0.00018793
-0.27913957,1.67496316,-0.63941095,0.24220159,-0.08763548,0.89137557,-0.44131603,0.00563255,-0.00219287,0.11409124,-0.00849113,0.01780886,-0.01426218,0.28342697,-0.03681121,0.42524920,-0.17487998,0.00059938,-0.00020111
