energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Na_s_up,S_s_up,S_p_up
-5.03351676,5.57727838,0.02350153,0.85794710,7.29951449,2.17479987,0.03853880,0.03492470,1.67966649
-5.02751376,5.71467079,0.02279522,0.90105996,7.60769491,2.22719551,0.03902892,0.03422418,1.69301168
-5.02151076,5.83949197,0.02208379,0.94047470,7.88521627,2.27460032,0.03948128,0.03367354,1.70566085
-5.01550775,5.94816694,0.02136260,0.97544895,8.12624219,2.31567805,0.03986962,0.03327030,1.71677388
-5.00950475,6.03744963,0.02062762,1.00531043,8.32552751,2.34921086,0.04016945,0.03301304,1.72558500
-5.00350175,6.10454435,0.01987568,1.02947843,8.47858477,2.37414538,0.04035871,0.03290185,1.73143770
-4.99749875,6.14721061,0.01910458,1.04748264,8.58182884,2.38963283,0.04041835,0.03293873,1.73381425
-4.99149575,6.16384666,0.01831324,1.05897872,8.63269318,2.39506136,0.04033289,0.03312780,1.73235822
-4.98549275,6.15354762,0.01750169,1.06375967,8.62971271,2.39007905,0.04009099,0.03347524,1.72688898
-4.97948974,6.11613567,0.01667112,1.06176261,8.57256953,2.37460662,0.03968586,0.03398901,1.71740753
-4.97348674,6.05216101,0.01582383,1.05307062,8.46209952,2.34883924,0.03911560,0.03467845,1.70409332
-4.96748374,5.96287382,0.01496311,1.03790947,8.30025976,2.31323740,0.03838350,0.03555355,1.68729239
-4.96148074,5.85016882,0.01409313,1.01663953,8.09005836,2.26850756,0.03749813,0.03662412,1.66749756
-4.95547774,5.71650553,0.01321880,0.98974322,7.83545019,2.21557348,0.03647343,0.03789878,1.64532166
-4.94947474,5.56480851,0.01234560,0.95780858,7.54120345,2.15553977,0.03532867,0.03938393,1.62146557
-4.94347174,5.39835268,0.01147941,0.92150984,7.21274334,2.08964973,0.03408834,0.04108262,1.59668259
-4.93746873,5.22063972,0.01062631,0.88158584,6.85597986,2.01923944,0.03278204,0.04299358,1.57174143
-4.93146573,5.03527177,0.00979247,0.83881733,6.47712740,1.94569052,0.03144431,0.04511019,1.54738960
-4.92546273,4.84582859,0.00898395,0.79400418,6.08252385,1.87038389,0.03011451,0.04741987,1.52431953
-4.91945973,4.65575420,0.00820660,0.74794351,5.67845640,1.79465674,0.02883668,0.04990346,1.50313908
-4.91345673,4.46825809,0.00746590,0.70140950,5.27100087,1.71976465,0.02765955,0.05253511,1.48434829
-4.90745373,4.28623533,0.00676698,0.65513586,4.86588003,1.64685056,0.02663648,0.05528235,1.46832340
-4.90145073,4.11220859,0.00611445,0.60980126,4.46834540,1.57692169,0.02582559,0.05810659,1.45530925
-4.89544772,3.94829385,0.00551245,0.56601843,4.08308533,1.51083530,0.02528989,0.06096397,1.44542023
-4.88944472,3.79619018,0.00496463,0.52432674,3.71416098,1.44929323,0.02509746,0.06380654,1.43864966
-4.88344172,3.65719242,0.00447416,0.48518859,3.36497014,1.39284511,0.02532161,0.06658369,1.43488702
-4.87743872,3.53222450,0.00404377,0.44898912,3.03823758,1.34189925,0.02604102,0.06924393,1.43394176
-4.87143572,3.42188993,0.00367582,0.41603894,2.73602961,1.29674003,0.02733979,0.07173675,1.43557234
-4.86543272,3.32653494,0.00337230,0.38657945,2.45978925,1.25755019,0.02930729,0.07401460,1.43951832
-4.85942971,3.24631946,0.00313498,0.36078988,2.21038815,1.22443611,0.03203782,0.07603483,1.44553381
-4.85342671,3.18129053,0.00296536,0.33879564,1.98819073,1.19745418,0.03562989,0.07776158,1.45341974
-4.84742371,3.13145278,0.00286480,0.32067711,1.79312604,1.17663620,0.04018524,0.07916739,1.46305303
-4.84142071,3.09683122,0.00283446,0.30647821,1.62476299,1.16201206,0.04580736,0.08023453,1.47441063
-4.83541771,3.07752186,0.00287540,0.29621432,1.48238486,1.15362798,0.05259955,0.08095597,1.48758674
-4.82941471,3.07372671,0.00298849,0.28987879,1.36505965,1.15155899,0.06066255,0.08133591,1.50280184
-4.82341171,3.08577099,0.00317444,0.28744790,1.27170358,1.15591492,0.07009173,0.08138979,1.52040290
-4.81740870,3.11410109,0.00343367,0.28888399,1.20113558,1.16683924,0.08097375,0.08114388,1.54085424
-4.81140570,3.15926361,0.00376634,0.29413650,1.15212163,1.18450092,0.09338301,0.08063433,1.56471941
-4.80540270,3.22186670,0.00417217,0.30314129,1.12340838,1.20907973,0.10737780,0.07990581,1.59263491
-4.79939970,3.30252615,0.00465042,0.31581816,1.11374635,1.24074601,0.12299637,0.07900975,1.62527687
-4.79339670,3.40179961,0.00519977,0.33206706,1.12190340,1.27963612,0.14025307,0.07800229,1.66332251
-4.78739370,3.52011333,0.00581825,0.35176334,1.14666985,1.32582519,0.15913479,0.07694203,1.70740841
-4.78139070,3.65768577,0.00650317,0.37475248,1.18685667,1.37929901,0.17959781,0.07588759,1.75808762
-4.77538769,3.81445319,0.00725110,0.40084488,1.24128877,1.43992692,0.20156533,0.07489531,1.81578817
-4.76938469,3.99000202,0.00805785,0.42981120,1.30879494,1.50743747,0.22492585,0.07401692,1.88077498
-4.76338169,4.18351225,0.00891849,0.46137863,1.38819635,1.58139869,0.24953258,0.07329752,1.95311736
-4.75737869,4.39371582,0.00982743,0.49522862,1.47829522,1.66120428,0.27520391,0.07277382,2.03266383
-4.75137569,4.61887287,0.01077853,0.53099635,1.57786475,1.74606698,0.30172512,0.07247270,2.11902561
-4.74537269,4.85676785,0.01176523,0.56827212,1.68564151,1.83501985,0.32885137,0.07241030,2.21156972
-4.73936968,5.10472638,0.01278071,0.60660478,1.80032087,1.92692567,0.35631175,0.07259148,2.30942210
-4.73336668,5.35965252,0.01381814,0.64550722,1.92055572,2.02049452,0.38381455,0.07300974,2.41148063
-4.72736368,5.61808536,0.01487081,0.68446369,2.04495856,2.11430882,0.41105332,0.07364771,2.51643761
-4.72136068,5.87627240,0.01593242,0.72293883,2.17210681,2.20685499,0.43771371,0.07447787,2.62281044
-4.71535768,6.13025682,0.01699720,0.76038790,2.30055073,2.29656040,0.46348072,0.07546387,2.72897945
-4.70935468,6.37597489,0.01806012,0.79626802,2.42882358,2.38183415,0.48804608,0.07656199,2.83323097
-4.70335168,6.60935941,0.01911699,0.83004977,2.55545350,2.46110986,0.51111552,0.07772290,2.93380399
-4.69734867,6.82644507,0.02016456,0.86122881,2.67897640,2.53288887,0.53241554,0.07889364,3.02893841
-4.69134567,7.02347146,0.02120049,0.88933710,2.79794960,2.59578193,0.55169954,0.08001960,3.11692310
-4.68534267,7.19698000,0.02222332,0.91395316,2.91096585,2.64854793,0.56875294,0.08104654,3.19614203
-4.67933967,7.34390132,0.02323235,0.93471123,3.01666750,2.69012802,0.58339722,0.08192254,3.26511683
-4.67333667,7.46163036,0.02422745,0.95130882,3.11376088,2.71967409,0.59549273,0.08259977,3.32254461
-4.66733367,7.54808713,0.02520886,0.96351261,3.20103086,2.73657066,0.60494024,0.08303609,3.36732989
-4.66133067,7.60176161,0.02617688,0.97116257,3.27735571,2.74044943,0.61168126,0.08319638,3.39861007
-4.65532766,7.62174240,0.02713164,0.97417413,3.34172259,2.73119650,0.61569715,0.08305357,3.41577393
-4.64932466,7.60772877,0.02807277,0.97253864,3.39324346,2.70895197,0.61700736,0.08258937,3.41847305
-4.64332166,7.56002710,0.02899921,0.96632199,3.43117171,2.67410251,0.61566676,0.08179462,3.40662626
-4.63731866,7.47953246,0.02990896,0.95566181,3.45491918,2.62726721,0.61176243,0.08066943,3.38041752
-4.63131566,7.36769708,0.03079895,0.94076313,3.46407336,2.56927766,0.60541008,0.07922284,3.34028759
-4.62531266,7.22648722,0.03166500,0.92189297,3.45841420,2.50115302,0.59675035,0.07747239,3.28692024
-4.61930965,7.05833052,0.03250185,0.89937397,3.43792995,2.42407117,0.58594510,0.07544322,3.22122361
-4.61330665,6.86605571,0.03330329,0.87357722,3.40283115,2.33933692,0.57317402,0.07316719,3.14430753
-4.60730365,6.65282675,0.03406239,0.84491457,3.35356186,2.24834852,0.55863147,0.07068163,3.05745759
-4.60130065,6.42207323,0.03477184,0.81383060,3.29080728,2.15256327,0.54252381,0.06802810,2.96210673
-4.59529765,6.17741897,0.03542434,0.78079442,3.21549675,2.05346354,0.52506707,0.06525103,2.85980516
-4.58929465,5.92261052,0.03601306,0.74629140,3.12880142,1.95252390,0.50648507,0.06239641,2.75218931
-4.58329165,5.66144711,0.03653212,0.71081502,3.03212590,1.85118034,0.48700783,0.05951042,2.64095063
-4.57728864,5.39771344,0.03697705,0.67485900,2.92709363,1.75080228,0.46687017,0.05663821,2.52780489
-4.57128564,5.13511673,0.03734530,0.63890967,2.81552567,1.65266796,0.44631047,0.05382280,2.41446261
-4.56528264,4.87722884,0.03763661,0.60343885,2.69941322,1.55794370,0.42556934,0.05110408,2.30260115
-4.55927964,4.62743461,0.03785331,0.56889723,2.58088419,1.46766749,0.40488815,0.04851805,2.19383906
-4.55327664,4.38888682,0.03800059,0.53570823,2.46216457,1.38273680,0.38450729,0.04609616,2.08971300
-4.54727364,4.16446831,0.03808650,0.50426260,2.34553546,1.30390105,0.36466411,0.04386490,1.99165749
-4.54127064,3.95676140,0.03812199,0.47491363,2.23328688,1.23175825,0.34559038,0.04184560,1.90098772
-4.53526763,3.76802442,0.03812064,0.44797303,2.12766940,1.16675587,0.32750942,0.04005432,1.81888541
-4.52926463,3.60017514,0.03809836,0.42370752,2.03084505,1.10919525,0.31063272,0.03850200,1.74638763
-4.52326163,3.45478044,0.03807291,0.40233610,1.94483853,1.05923938,0.29515633,0.03719466,1.68437842
-4.51725863,3.33305147,0.03806335,0.38402799,1.87149007,1.01692311,0.28125685,0.03613374,1.63358281
