energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up,Zr_p_up,Zr_d_up
3.41270635,1.69443840,0.01173191,0.09796075,0.03748446,0.15157669,0.19480141,0.94609201,0.30394788,0.41301650
3.41870935,1.64944580,0.01055833,0.09444541,0.03619888,0.14603837,0.18701152,0.91823092,0.29859514,0.41159221
3.42471236,1.60948392,0.00957656,0.09096437,0.03528253,0.14081506,0.18093348,0.89181774,0.29355691,0.41246026
3.43071536,1.57514889,0.00878809,0.08755331,0.03471095,0.13599956,0.17672415,0.86713778,0.28896742,0.41582684
3.43671836,1.54696149,0.00819261,0.08424548,0.03445562,0.13167877,0.17452720,0.84443748,0.28495134,0.42188145
3.44272136,1.52536289,0.00778837,0.08107134,0.03448531,0.12793184,0.17447121,0.82392225,0.28162022,0.43079419
3.44872436,1.51071049,0.00757245,0.07805815,0.03476734,0.12482835,0.17666732,0.80575504,0.27906917,0.44271258
3.45472736,1.50327373,0.00754098,0.07522975,0.03526865,0.12242660,0.18120641,0.79005550,0.27737394,0.45775788
3.46073037,1.50323000,0.00768937,0.07260633,0.03595676,0.12077209,0.18815595,0.77689972,0.27658859,0.47602097
3.46673337,1.51066055,0.00801232,0.07020425,0.03680045,0.11989618,0.19755659,0.76632060,0.27674368,0.49755781
3.47273637,1.52554659,0.00850385,0.06803598,0.03777031,0.11981506,0.20941866,0.75830858,0.27784526,0.52238479
3.47873937,1.54776575,0.00915728,0.06611003,0.03883904,0.12052905,0.22371873,0.75281286,0.27987450,0.55047410
3.48474237,1.57708914,0.00996509,0.06443099,0.03998153,0.12202218,0.24039635,0.74974291,0.28278800,0.58174932
3.49074537,1.61317932,0.01091880,0.06299963,0.04117479,0.12426227,0.25935139,0.74897020,0.28651883,0.61608171
3.49674837,1.65558951,0.01200875,0.06181294,0.04239774,0.12720134,0.28044207,0.75033019,0.29097812,0.65328743
3.50275138,1.70376445,0.01322401,0.06086439,0.04363091,0.13077643,0.30348386,0.75362451,0.29605731,0.69312598
3.50875438,1.75704335,0.01455216,0.06014406,0.04485600,0.13491081,0.32824960,0.75862332,0.30163072,0.73530031
3.51475738,1.81466520,0.01597921,0.05963891,0.04605552,0.13951561,0.35447095,0.76506793,0.30755858,0.77945875
3.52076038,1.87577687,0.01748951,0.05933308,0.04721242,0.14449178,0.38184123,0.77267381,0.31369040,0.82519899
3.52676338,1.93944424,0.01906575,0.05920816,0.04830977,0.14973224,0.41001981,0.78113391,0.31986841,0.87207417
3.53276638,2.00466631,0.02068903,0.05924363,0.04933055,0.15512448,0.43863800,0.79012258,0.32593120,0.91960110
3.53876938,2.07039246,0.02233899,0.05941720,0.05025763,0.16055308,0.46730639,0.79930008,0.33171734,0.96727038
3.54477239,2.13554242,0.02399401,0.05970530,0.05107382,0.16590258,0.49562336,0.80831770,0.33706902,1.01455813
3.55077539,2.19902866,0.02563155,0.06008355,0.05176215,0.17106013,0.52318473,0.81682366,0.34183547,1.06093900
3.55677839,2.25978054,0.02722850,0.06052726,0.05230619,0.17591831,0.54959398,0.82446964,0.34587630,1.10589975
3.56278139,2.31676947,0.02876156,0.06101200,0.05269068,0.18037757,0.57447292,0.83091789,0.34906450,1.14895296
3.56878439,2.36903417,0.03020774,0.06151407,0.05290210,0.18434865,0.59747216,0.83584892,0.35128923,1.18965012
3.57478739,2.41570513,0.03154483,0.06201108,0.05292938,0.18775459,0.61828122,0.83896930,0.35245821,1.22759343
3.58079040,2.45602715,0.03275190,0.06248244,0.05276473,0.19053241,0.63663756,0.84001966,0.35249974,1.26244588
3.58679340,2.48937918,0.03380976,0.06290979,0.05240431,0.19263439,0.65233441,0.83878237,0.35136424,1.29393880
3.59279640,2.51529051,0.03470146,0.06327740,0.05184897,0.19402895,0.66522685,0.83508871,0.34902546,1.32187680
3.59879940,2.53345262,0.03541265,0.06357252,0.05110488,0.19470104,0.67523601,0.82882513,0.34548103,1.34613968
3.60480240,2.54372632,0.03593193,0.06378556,0.05018405,0.19465207,0.68235118,0.81993845,0.34075267,1.36668142
3.61080540,2.54614384,0.03625115,0.06391029,0.04910462,0.19389950,0.68662961,0.80843956,0.33488579,1.38352626
3.61680840,2.54090581,0.03636557,0.06394386,0.04789112,0.19247593,0.68819425,0.79440554,0.32794869,1.39676232
3.62281141,2.52837350,0.03627396,0.06388674,0.04657441,0.19042791,0.68722932,0.77797985,0.32003121,1.40653311
3.62881441,2.50905663,0.03597863,0.06374263,0.04519152,0.18781443,0.68397406,0.75937076,0.31124300,1.41302771
3.63481741,2.48359735,0.03548532,0.06351823,0.04378525,0.18470521,0.67871483,0.73884764,0.30171136,1.41647002
