energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
1.57578789,2.10439246,0.06572981,0.04096777,0.45724625,0.15689488,0.03371551,0.33295085,1.52550270,1.34981024
1.58179090,2.26866525,0.06971921,0.04579764,0.49107826,0.16956509,0.03657809,0.35847585,1.63734856,1.45618688
1.58779390,2.43277707,0.07348768,0.05113537,0.52500538,0.18258503,0.03951421,0.38396316,1.74679586,1.56202951
1.59379690,2.59471742,0.07696347,0.05699569,0.55857629,0.19583576,0.04249665,0.40908849,1.85240334,1.66595087
1.59979990,2.75247734,0.08007923,0.06339109,0.59134443,0.20919849,0.04549760,0.43352937,1.95276524,1.76655333
1.60580290,2.90409666,0.08277409,0.07033049,0.62287742,0.22255614,0.04848919,0.45697278,2.04655092,1.86246282
1.61180590,3.04771112,0.08499549,0.07781782,0.65276640,0.23579490,0.05144386,0.47912274,2.13254314,1.95236339
1.61780890,3.18159729,0.08670091,0.08585056,0.68063482,0.24880546,0.05433489,0.49970746,2.20967344,2.03503093
1.62381191,3.30421350,0.08785918,0.09441822,0.70614632,0.26148407,0.05713676,0.51848590,2.27705281,2.10936467
1.62981491,3.41423502,0.08845155,0.10350097,0.72901158,0.27373328,0.05982554,0.53525325,2.33399636,2.17441520
1.63581791,3.51058199,0.08847227,0.11306835,0.74899370,0.28546240,0.06237918,0.54984538,2.38004067,2.22940765
1.64182091,3.59243902,0.08792874,0.12307830,0.76591202,0.29658770,0.06477775,0.56214182,2.41495317,2.27375925
1.64782391,3.65926592,0.08684125,0.13347648,0.77964435,0.30703248,0.06700359,0.57206734,2.43873290,2.30709046
1.65382691,3.71079910,0.08524223,0.14419598,0.79012739,0.31672695,0.06904138,0.57959207,2.45160288,2.32922932
1.65982991,3.74704426,0.08317513,0.15515755,0.79735566,0.32560803,0.07087822,0.58473015,2.45399447,2.34020905
1.66583292,3.76826072,0.08069297,0.16627038,0.80137885,0.33361926,0.07250352,0.58753704,2.44652453,2.34025912
1.67183592,3.77493890,0.07785650,0.17743336,0.80229794,0.34071074,0.07390900,0.58810580,2.42996662,2.32979041
1.67783892,3.76777201,0.07473232,0.18853699,0.80026026,0.34683934,0.07508856,0.58656231,2.40521780,2.30937548
1.68384192,3.74762387,0.07139069,0.19946573,0.79545372,0.35196900,0.07603819,0.58305999,2.37326263,2.27972481
1.68984492,3.71549438,0.06790350,0.21010083,0.78810058,0.35607139,0.07675585,0.57777403,2.33513619,2.24166045
1.69584792,3.67248441,0.06434208,0.22032351,0.77845096,0.35912673,0.07724141,0.57089559,2.29188780,2.19608822
1.70185093,3.61976181,0.06077533,0.23001835,0.76677626,0.36112480,0.07749656,0.56262613,2.24454712,2.14396982
1.70785393,3.55852965,0.05726790,0.23907673,0.75336281,0.36206605,0.07752480,0.55317211,2.19409409,2.08629591
1.71385693,3.48999798,0.05387870,0.24740021,0.73850585,0.36196276,0.07733145,0.54274030,2.14143369,2.02406130
1.71985993,3.41535980,0.05065958,0.25490361,0.72250383,0.36084007,0.07692361,0.53153368,2.08737646,1.95824287
1.72586293,3.33577156,0.04765446,0.26151768,0.70565327,0.35873679,0.07631025,0.51974820,2.03262511,1.88978101
1.73186593,3.25233840,0.04489864,0.26719120,0.68824410,0.35570587,0.07550220,0.50757026,1.97776741,1.81956470
1.73786893,3.16610376,0.04241844,0.27189241,0.67055546,0.35181451,0.07451220,0.49517496,1.92327491,1.74842049
1.74387194,3.07804301,0.04023121,0.27560963,0.65285197,0.34714367,0.07335488,0.48272505,1.86950708,1.67710507
1.74987494,2.98906037,0.03834547,0.27835115,0.63538047,0.34178710,0.07204674,0.47037047,1.81672002,1.60630129
1.75587794,2.89998848,0.03676137,0.28014426,0.61836712,0.33584980,0.07060604,0.45824834,1.76507869,1.53661707
1.76188094,2.81158969,0.03547135,0.28103357,0.60201501,0.32944595,0.06905269,0.44648336,1.71467160,1.46858673
1.76788394,2.72455853,0.03446089,0.28107867,0.58650204,0.32269643,0.06740804,0.43518835,1.66552698,1.40267409
1.77388694,2.63952462,0.03370945,0.28035128,0.57197945,0.31572598,0.06569463,0.42446498,1.61762922,1.33927692
1.77988994,2.55705559,0.03319149,0.27893204,0.55857063,0.30866018,0.06393589,0.41440442,1.57093472,1.27873202
1.78589295,2.47765960,0.03287752,0.27690710,0.54637070,0.30162231,0.06215579,0.40508793,1.52538638,1.22132068
1.79189595,2.40178738,0.03273521,0.27436477,0.53544651,0.29473044,0.06037847,0.39658737,1.48092615,1.16727412
1.79789895,2.32983376,0.03273050,0.27139230,0.52583743,0.28809460,0.05862788,0.38896546,1.43750513,1.11677854
1.80390195,2.26213869,0.03282865,0.26807302,0.51755678,0.28181445,0.05692733,0.38227583,1.39509120,1.06997981
1.80990495,2.19898802,0.03299532,0.26448399,0.51059385,0.27597735,0.05529918,0.37656292,1.35367403,1.02698767
1.81590795,2.14061432,0.03319750,0.26069417,0.50491671,0.27065704,0.05376448,0.37186175,1.31326768,0.98787935
1.82191096,2.08719769,0.03340439,0.25676331,0.50047539,0.26591286,0.05234266,0.36819739,1.27391103,0.95270276
1.82791396,2.03886716,0.03358823,0.25274140,0.49720561,0.26178954,0.05105127,0.36558452,1.23566642,0.92147933
1.83391696,1.99570236,0.03372490,0.24866881,0.49503268,0.25831753,0.04990582,0.36402680,1.19861684,0.89420641
1.83991996,1.95773578,0.03379445,0.24457696,0.49387542,0.25551381,0.04891959,0.36351631,1.16286211,0.87085944
1.84592296,1.92495544,0.03378146,0.24048944,0.49365004,0.25338298,0.04810354,0.36403295,1.12851434,0.85139382
1.85192596,1.89730781,0.03367529,0.23642348,0.49427346,0.25191867,0.04746626,0.36554406,1.09569314,0.83574645
1.85792896,1.87470072,0.03347005,0.23239155,0.49566616,0.25110498,0.04701391,0.36800402,1.06452060,0.82383688
1.86393197,1.85700609,0.03316452,0.22840306,0.49775416,0.25091793,0.04675023,0.37135416,1.03511640,0.81556808
1.86993497,1.84406205,0.03276186,0.22446595,0.50047013,0.25132680,0.04667649,0.37552271,1.00759309,0.81082661
1.87593797,1.83567426,0.03226919,0.22058798,0.50375348,0.25229524,0.04679150,0.38042513,0.98205160,0.80948221
1.88194097,1.83161629,0.03169699,0.21677777,0.50754940,0.25378204,0.04709155,0.38596456,0.95857696,0.81138670
1.88794397,1.83162883,0.03105845,0.21304540,0.51180695,0.25574171,0.04757036,0.39203256,0.93723434,0.81637227
1.89394697,1.83541786,0.03036874,0.20940260,0.51647637,0.25812459,0.04821901,0.39851011,0.91806526,0.82424914
1.89994997,1.84265189,0.02964418,0.20586246,0.52150562,0.26087679,0.04902587,0.40526882,0.90108412,0.83480277
