energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
0.05102551,1.13184278,0.74150968,0.06664259,0.02607684,0.05294699,0.04362940,0.40775759,0.23500905,0.51898787
0.05702851,1.15758358,0.75159781,0.06652959,0.02646820,0.05097656,0.04450658,0.41112283,0.24634601,0.54198625
0.06303152,1.18180312,0.75814247,0.06627281,0.02667679,0.04897220,0.04513452,0.41329491,0.25735093,0.56573220
0.06903452,1.20417184,0.76101785,0.06587069,0.02669868,0.04695374,0.04550343,0.41423201,0.26789615,0.58993348
0.07503752,1.22432889,0.76015741,0.06532128,0.02653390,0.04493788,0.04560835,0.41390105,0.27784933,0.61423885
0.08104052,1.24189162,0.75555614,0.06462250,0.02618645,0.04293821,0.04544926,0.41227907,0.28707584,0.63824621
0.08704352,1.25646660,0.74727089,0.06377250,0.02566411,0.04096540,0.04503105,0.40935438,0.29544147,0.66151314
0.09304652,1.26766191,0.73541874,0.06277000,0.02497818,0.03902741,0.04436325,0.40512754,0.30281526,0.68356952
0.09904952,1.27510016,0.72017347,0.06161460,0.02414307,0.03712979,0.04345967,0.39961191,0.30907264,0.70393192
0.10505253,1.27843176,0.70176040,0.06030713,0.02317579,0.03527609,0.04233791,0.39283402,0.31409853,0.72211897
0.11105553,1.27734801,0.68044969,0.05884986,0.02209539,0.03346818,0.04101874,0.38483353,0.31779050,0.73766725
0.11705853,1.27159329,0.65654871,0.05724676,0.02092233,0.03170671,0.03952546,0.37566298,0.32006178,0.75014699
0.12306153,1.26097612,0.63039356,0.05550366,0.01967783,0.02999143,0.03788316,0.36538723,0.32084407,0.75917694
0.12906453,1.24537847,0.60234020,0.05362828,0.01838326,0.02832154,0.03611803,0.35408266,0.32009000,0.76443771
0.13506753,1.22476287,0.57275562,0.05163030,0.01705955,0.02669603,0.03425664,0.34183617,0.31777511,0.76568317
0.14107054,1.19917724,0.54200932,0.04952128,0.01572663,0.02511385,0.03232530,0.32874407,0.31389934,0.76274923
0.14707354,1.16875700,0.51046531,0.04731451,0.01440296,0.02357419,0.03034948,0.31491074,0.30848785,0.75555984
0.15307654,1.13372435,0.47847502,0.04502488,0.01310521,0.02207656,0.02835327,0.30044726,0.30159116,0.74412980
0.15907954,1.09438486,0.44637113,0.04266858,0.01184793,0.02062091,0.02635903,0.28546991,0.29328455,0.72856445
0.16508254,1.05112131,0.41446255,0.04026285,0.01064337,0.01920764,0.02438702,0.27009859,0.28366671,0.70905615
0.17108554,1.00438511,0.38303050,0.03782567,0.00950144,0.01783765,0.02245521,0.25445520,0.27285772,0.68587789
0.17708854,0.95468549,0.35232574,0.03537535,0.00842968,0.01651224,0.02057915,0.23866197,0.26099633,0.65937420
0.18309155,0.90257703,0.32256680,0.03293026,0.00743335,0.01523308,0.01877193,0.22283982,0.24823668,0.62995000
0.18909455,0.84864585,0.29393930,0.03050839,0.00651558,0.01400211,0.01704422,0.20710659,0.23474459,0.59805767
0.19509755,0.79349512,0.26659603,0.02812708,0.00567757,0.01282144,0.01540431,0.19157547,0.22069352,0.56418310
0.20110055,0.73773035,0.24065780,0.02580264,0.00491881,0.01169323,0.01385834,0.17635338,0.20626034,0.52883124
0.20710355,0.68194506,0.21621490,0.02355008,0.00423738,0.01061959,0.01241039,0.16153947,0.19162118,0.49251176
0.21310655,0.62670733,0.19332900,0.02138286,0.00363016,0.00960244,0.01106270,0.14722382,0.17694730,0.45572534
0.21910955,0.57254768,0.17203540,0.01931270,0.00309316,0.00864348,0.00981593,0.13348624,0.16240136,0.41895116
0.22511256,0.51994876,0.15234559,0.01734940,0.00262168,0.00774405,0.00866930,0.12039539,0.14813410,0.38263594
0.23111556,0.46933697,0.13424986,0.01550078,0.00221063,0.00690510,0.00762083,0.10800808,0.13428150,0.34718484
0.23711856,0.42107645,0.11772004,0.01377263,0.00185467,0.00612714,0.00666756,0.09636891,0.12096262,0.31295449
0.24312156,0.37546530,0.10271226,0.01216872,0.00154842,0.00541024,0.00580572,0.08551016,0.10827802,0.28024819
0.24912456,0.33273420,0.08916970,0.01069090,0.00128658,0.00475404,0.00503090,0.07545205,0.09630894,0.24931334
0.25512756,0.29304718,0.07702517,0.00933921,0.00106406,0.00415777,0.00433825,0.06620322,0.08511709,0.22034093
0.26113057,0.25650453,0.06620370,0.00811205,0.00087604,0.00362034,0.00372255,0.05776159,0.07474501,0.19346699
0.26713357,0.22314735,0.05662501,0.00700636,0.00071805,0.00314041,0.00317843,0.05011540,0.06521711,0.16877569
0.27313657,0.19296372,0.04820574,0.00601788,0.00058600,0.00271649,0.00270043,0.04324447,0.05654106,0.14630389
0.27913957,0.16589590,0.04086166,0.00514136,0.00047620,0.00234709,0.00228310,0.03712168,0.04870959,0.12604676
0.28514257,0.14184841,0.03450969,0.00437082,0.00038536,0.00203085,0.00192111,0.03171453,0.04170258,0.10796418
0.29114557,0.12069652,0.02906976,0.00369982,0.00031056,0.00176673,0.00160934,0.02698677,0.03548934,0.09198763
0.29714857,0.10229496,0.02446649,0.00312169,0.00024925,0.00155416,0.00134289,0.02290011,0.03003089,0.07802727
0.30315158,0.08648643,0.02063080,0.00262977,0.00019923,0.00139324,0.00111720,0.01941585,0.02528227,0.06597892
0.30915458,0.07310979,0.01750130,0.00221764,0.00015860,0.00128497,0.00092807,0.01649648,0.02119478,0.05573082
0.31515758,0.06200769,0.01502549,0.00187931,0.00012574,0.00123140,0.00077169,0.01410719,0.01771802,0.04716984
0.32116058,0.05303345,0.01316094,0.00160939,0.00009927,0.00123589,0.00064470,0.01221721,0.01480176,0.04018719
0.32716358,0.04605706,0.01187613,0.00140325,0.00007806,0.00130327,0.00054419,0.01080105,0.01239754,0.03468336
0.33316658,0.04097035,0.01115128,0.00125712,0.00006113,0.00144006,0.00046773,0.00983953,0.01046001,0.03057231
0.33916958,0.03769112,0.01097886,0.00116820,0.00004768,0.00165467,0.00041336,0.00932062,0.00894806,0.02778490
0.34517259,0.03616618,0.01136403,0.00113473,0.00003705,0.00195748,0.00037966,0.00924006,0.00782557,0.02627141
0.35117559,0.03637349,0.01232469,0.00115599,0.00002870,0.00236100,0.00036568,0.00960180,0.00706203,0.02600331
0.35717859,0.03832310,0.01389146,0.00123233,0.00002218,0.00287994,0.00037096,0.01041810,0.00663279,0.02697411
0.36318159,0.04205702,0.01610718,0.00136512,0.00001715,0.00353120,0.00039555,0.01170952,0.00651916,0.02919947
0.36918459,0.04764809,0.01902624,0.00155669,0.00001332,0.00433376,0.00043995,0.01350449,0.00670826,0.03271636
0.37518759,0.05519761,0.02271342,0.00181026,0.00001046,0.00530856,0.00050511,0.01583875,0.00719268,0.03758156
0.38119060,0.06483193,0.02724239,0.00212981,0.00000842,0.00647822,0.00059242,0.01875439,0.00797002,0.04386920
0.38719360,0.07669798,0.03269383,0.00251990,0.00000707,0.00786665,0.00070363,0.02229869,0.00904215,0.05166766
0.39319660,0.09095761,0.03915300,0.00298551,0.00000635,0.00949856,0.00084086,0.02652267,0.01041452,0.06107565
