energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
4.54127064,2.44900110,0.05471294,0.28433051,0.30338012,0.01072671,1.93220658,0.03852221,0.05864482,0.49785308
4.54727364,2.36759315,0.06110940,0.27444013,0.28495530,0.01051629,1.84503257,0.03689397,0.05853897,0.48475431
4.55327664,2.28698509,0.06874315,0.26643414,0.26739268,0.01028412,1.75641896,0.03536224,0.05882666,0.47212361
4.55927964,2.20873217,0.07772864,0.26053416,0.25089754,0.01003619,1.66774772,0.03394724,0.05951031,0.46032443
4.56528264,2.13450678,0.08817903,0.25696730,0.23569035,0.00977943,1.58046786,0.03267096,0.06059916,0.44974305
4.57128564,2.06604588,0.10020143,0.25595907,0.22200235,0.00952151,1.49605272,0.03155654,0.06210825,0.44077687
4.57728864,2.00509510,0.11389184,0.25772543,0.21007035,0.00927057,1.41595695,0.03062742,0.06405704,0.43382170
4.58329165,1.95335123,0.12932981,0.26246439,0.20013115,0.00903506,1.34157496,0.02990649,0.06646766,0.42925875
4.58929465,1.91240522,0.14657313,0.27034725,0.19241556,0.00882340,1.27420197,0.02941518,0.06936286,0.42744153
4.59529765,1.88368738,0.16565258,0.28150990,0.18714219,0.00864378,1.21499893,0.02917259,0.07276386,0.42868305
4.60130065,1.86841643,0.18656696,0.29604445,0.18451119,0.00850387,1.16496205,0.02919461,0.07668801,0.43324387
4.60730365,1.86755390,0.20927863,0.31399136,0.18469791,0.00841061,1.12489759,0.02949306,0.08114650,0.44132114
4.61330665,1.88176505,0.23370969,0.33533249,0.18784666,0.00836996,1.09540222,0.03007501,0.08614219,0.45303911
4.61930965,1.91138748,0.25973902,0.35998522,0.19406465,0.00838669,1.07684899,0.03094212,0.09166765,0.46844133
4.62531266,1.95640809,0.28720048,0.38779795,0.20341620,0.00846420,1.06937907,0.03209014,0.09770357,0.48748472
4.63131566,2.01644924,0.31588221,0.41854725,0.21591742,0.00860441,1.07289887,0.03350856,0.10421750,0.51003593
4.63731866,2.09076433,0.34552739,0.45193667,0.23153149,0.00880760,1.08708244,0.03518043,0.11116319,0.53586991
4.64332166,2.17824329,0.37583638,0.48759774,0.25016476,0.00907237,1.11137895,0.03708233,0.11848039,0.56467094
4.64932466,2.27742785,0.40647044,0.52509291,0.27166391,0.00939561,1.14502471,0.03918460,0.12609531,0.59603623
4.65532766,2.38653665,0.43705690,0.56392079,0.29581440,0.00977249,1.18705987,0.04145169,0.13392167,0.62948201
4.66133067,2.50349972,0.46719574,0.60352355,0.32234053,0.01019660,1.23634906,0.04384275,0.14186233,0.66445210
