energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
1.80390195,1.09275612,0.01371025,0.04598096,0.93141527,0.67569161,0.02523270,0.17813219,0.12445667,0.00149892
1.80990495,1.08743504,0.01295487,0.04719932,0.93653256,0.66522978,0.02480248,0.17985541,0.12268650,0.00150287
1.81590795,1.08258298,0.01219951,0.04846104,0.94129227,0.65585583,0.02437485,0.18153669,0.12107405,0.00150512
1.82191096,1.07863934,0.01145794,0.04977138,0.94589249,0.64788011,0.02397165,0.18321085,0.11971015,0.00150604
1.82791396,1.07606714,0.01074344,0.05113544,0.95056700,0.64162608,0.02361332,0.18492394,0.11868078,0.00150608
1.83391696,1.07533340,0.01006845,0.05255734,0.95557094,0.63741827,0.02331814,0.18673080,0.11806411,0.00150580
1.83991996,1.07688859,0.00944422,0.05403937,0.96116511,0.63556937,0.02310159,0.18869220,0.11792779,0.00150581
1.84592296,1.08114610,0.00888062,0.05558125,0.96759960,0.63636707,0.02297583,0.19087161,0.11832665,0.00150676
1.85192596,1.08846253,0.00838583,0.05717949,0.97509771,0.64006106,0.02294930,0.19333176,0.11930085,0.00150931
1.85792896,1.09911974,0.00796622,0.05882693,0.98384082,0.64685082,0.02302643,0.19613127,0.12087448,0.00151409
1.86393197,1.11330947,0.00762623,0.06051246,0.99395512,0.65687471,0.02320754,0.19932128,0.12305480,0.00152170
1.86993497,1.13112137,0.00736826,0.06222101,1.00550098,0.67020097,0.02348887,0.20294262,0.12583199,0.00153268
1.87593797,1.15253514,0.00719273,0.06393371,1.01846545,0.68682108,0.02386277,0.20702328,0.12917948,0.00154747
1.88194097,1.17741724,0.00709808,0.06562836,1.03275861,0.70664600,0.02431801,0.21157665,0.13305480,0.00156643
1.88794397,1.20552258,0.00708085,0.06728015,1.04821387,0.72950558,0.02484023,0.21660049,0.13740106,0.00158978
1.89394697,1.23650131,0.00713586,0.06886258,1.06459251,0.75515137,0.02541246,0.22207668,0.14214869,0.00161765
1.89994997,1.26991059,0.00725635,0.07034852,1.08159220,0.78326304,0.02601580,0.22797187,0.14721773,0.00165005
1.90595298,1.30523104,0.00743421,0.07171152,1.09885929,0.81345812,0.02663008,0.23423897,0.15252031,0.00168691
1.91195598,1.34188724,0.00766022,0.07292711,1.11600426,0.84530500,0.02723456,0.24081939,0.15796342,0.00172805
1.91795898,1.37927160,0.00792436,0.07397411,1.13261966,0.87833868,0.02780873,0.24764602,0.16345170,0.00177326
1.92396198,1.41677043,0.00821607,0.07483599,1.14829962,0.91207870,0.02833292,0.25464669,0.16889037,0.00182228
1.92996498,1.45379120,0.00852456,0.07550197,1.16266008,0.94604853,0.02878908,0.26174804,0.17418795,0.00187484
1.93596798,1.48978972,0.00883915,0.07596807,1.17535848,0.97979547,0.02916128,0.26887956,0.17925895,0.00193071
1.94197099,1.52429583,0.00914956,0.07623783,1.18611211,1.01291025,0.02943629,0.27597756,0.18402620,0.00198971
1.94797399,1.55693645,0.00944618,0.07632276,1.19471398,1.04504518,0.02960395,0.28298892,0.18842301,0.00205174
1.95397699,1.58745451,0.00972039,0.07624245,1.20104530,1.07593000,0.02965749,0.28987439,0.19239482,0.00211682
1.95997999,1.61572298,0.00996475,0.07602437,1.20508396,1.10538437,0.02959366,0.29661125,0.19590056,0.00218506
1.96598299,1.64175282,0.01017322,0.07570325,1.20690821,1.13332626,0.02941278,0.30319511,0.19891353,0.00225674
1.97198599,1.66569436,0.01034126,0.07532012,1.20669552,1.15977561,0.02911865,0.30964086,0.20142183,0.00233225
