energy_ev,total_up,Ir_p_up,Ir_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-4.79339670,0.69308404,0.03141603,0.49826932,0.02363531,0.00006513,0.02719306,0.12129661
-4.78739370,0.64733495,0.02948068,0.46501655,0.02214551,0.00006119,0.02537804,0.11324581
-4.78139070,0.60116141,0.02757961,0.43137109,0.02065522,0.00005730,0.02353401,0.10508996
-4.77538769,0.55542716,0.02576227,0.39792730,0.01919949,0.00005357,0.02169353,0.09697743
-4.76938469,0.51098483,0.02408127,0.36526603,0.01781397,0.00005011,0.01988790,0.08905270
-4.76338169,0.46866541,0.02259230,0.33394598,0.01653482,0.00004704,0.01814673,0.08145432
-4.75737869,0.42927183,0.02135437,0.30449811,0.01539873,0.00004447,0.01649757,0.07431371
-4.75137569,0.39357671,0.02043029,0.27742294,0.01444309,0.00004253,0.01496574,0.06775457
-4.74537269,0.36232389,0.01988729,0.25319078,0.01370631,0.00004135,0.01357433,0.06189292
-4.73936968,0.33623336,0.01979783,0.23224440,0.01322824,0.00004107,0.01234424,0.05683781
-4.73336668,0.31600884,0.02024046,0.21500391,0.01305057,0.00004184,0.01129445,0.05269243
-4.72736368,0.30234713,0.02130070,0.20187313,0.01321740,0.00004382,0.01044225,0.04955564
-4.72136068,0.29594830,0.02307183,0.19324693,0.01377564,0.00004717,0.00980360,0.04752358
-4.71535768,0.29752573,0.02565543,0.18951893,0.01477543,0.00005208,0.00939348,0.04669146
-4.70935468,0.30781486,0.02916177,0.19108884,0.01627036,0.00005872,0.00922623,0.04715513
-4.70335168,0.32757968,0.03370967,0.19836872,0.01831755,0.00006730,0.00931589,0.04901238
-4.69734867,0.35761609,0.03942597,0.21178778,0.02097744,0.00007801,0.00967641,0.05236387
-4.69134567,0.39875129,0.04644441,0.23179501,0.02431340,0.00009108,0.01032181,0.05731346
-4.68534267,0.45183862,0.05490393,0.25885929,0.02839090,0.00010669,0.01126621,0.06396795
-4.67933967,0.51774740,0.06494625,0.29346668,0.03327652,0.00012506,0.01252382,0.07243606
-4.67333667,0.59734778,0.07671286,0.33611472,0.03903650,0.00014637,0.01410868,0.08282675
-4.66733367,0.69149047,0.09034133,0.38730367,0.04573507,0.00017078,0.01603440,0.09524674
-4.66133067,0.80098199,0.10596106,0.44752486,0.05343249,0.00019844,0.01831373,0.10979743
-4.65532766,0.92655585,0.12368856,0.51724627,0.06218291,0.00022944,0.02095807,0.12657113
-4.64932466,1.06884074,0.14362238,0.59689586,0.07203206,0.00026384,0.02397689,0.14564691
-4.64332166,1.22832674,0.16583788,0.68684311,0.08301492,0.00030165,0.02737711,0.16708601
-4.63731866,1.40533094,0.19038204,0.78737924,0.09515344,0.00034281,0.03116245,0.19092716
-4.63131566,1.59996377,0.21726852,0.89869708,0.10845445,0.00038720,0.03533286,0.21718191
-4.62531266,1.81209767,0.24647315,1.02087099,0.12290782,0.00043463,0.03988385,0.24583015
-4.61930965,2.04133955,0.27793025,1.15383800,0.13848507,0.00048484,0.04480604,0.27681614
-4.61330665,2.28700844,0.31152976,1.29738057,0.15513836,0.00053749,0.05008476,0.31004509
-4.60730365,2.54811963,0.34711556,1.45111212,0.17280021,0.00059219,0.05569971,0.34538067
-4.60130065,2.82337651,0.38448507,1.61446577,0.19138371,0.00064847,0.06162480,0.38264337
-4.59529765,3.11117063,0.42339020,1.78668705,0.21078342,0.00070583,0.06782822,0.42161015
-4.58929465,3.40959089,0.46353975,1.96683108,0.23087696,0.00076370,0.07427249,0.46201516
-4.58329165,3.71644169,0.50460325,2.15376474,0.25152722,0.00082151,0.08091484,0.50355183
-4.57728864,4.02927000,0.54621614,2.34617389,0.27258499,0.00087867,0.08770764,0.54587621
-4.57128564,4.34540092,0.58798613,2.54257591,0.29389219,0.00093458,0.09459899,0.58861159
-4.56528264,4.66198064,0.62950062,2.74133750,0.31528533,0.00098868,0.10153343,0.63135424
-4.55927964,4.97602583,0.67033487,2.94069732,0.33659908,0.00104044,0.10845281,0.67368018
-4.55327664,5.28447805,0.71006075,3.13879340,0.35766999,0.00108937,0.11529714,0.71515288
-4.54727364,5.58426149,0.74825560,3.33369433,0.37833989,0.00113507,0.12200557,0.75533153
-4.54127064,5.87234250,0.78451115,3.52343391,0.39845913,0.00117719,0.12851743,0.79377974
-4.53526763,6.14578913,0.81844204,3.70604818,0.41788932,0.00121549,0.13477317,0.83007442
-4.52926463,6.40182892,0.84969370,3.87961382,0.43650555,0.00124978,0.14071542,0.86381451
-4.52326163,6.63790346,0.87794951,4.04228713,0.45419806,0.00128001,0.14628994,0.89462932
-4.51725863,6.85171813,0.90293688,4.19234226,0.47087323,0.00130616,0.15144650,0.92218627
-4.51125563,7.04128590,0.92443224,4.32820763,0.48645408,0.00132834,0.15613977,0.94619771
-4.50525263,7.20496406,0.94226487,4.44849961,0.50088013,0.00134669,0.16033005,0.96642667
-4.49924962,7.34148322,0.95631943,4.55205233,0.51410692,0.00136144,0.16398395,0.98269134
-4.49324662,7.44996800,0.96653740,4.63794278,0.52610516,0.00137285,0.16707493,0.99486824
-4.48724362,7.52994927,0.97291724,4.70551049,0.53685976,0.00138121,0.16958371,1.00289399
-4.48124062,7.58136803,0.97551353,4.75437121,0.54636883,0.00138684,0.17149858,1.00676561
-4.47523762,7.60457117,0.97443516,4.78442434,0.55464289,0.00139006,0.17281557,1.00653951
-4.46923462,7.60029953,0.96984255,4.79585383,0.56170427,0.00139119,0.17353843,1.00232932
-4.46323162,7.56966919,0.96194414,4.78912284,0.56758699,0.00139051,0.17367854,0.99430255
-4.45722861,7.51414655,0.95099217,4.76496233,0.57233707,0.00138830,0.17325457,0.98267646
-4.45122561,7.43551816,0.93727793,4.72435409,0.57601325,0.00138480,0.17229212,0.96771331
-4.44522261,7.33585629,0.92112638,4.66850903,0.57868827,0.00138022,0.17082308,0.94971515
-4.43921961,7.21748109,0.90289041,4.59884123,0.58045038,0.00137473,0.16888498,0.92901850
-4.43321661,7.08292016,0.88294473,4.51693888,0.58140517,0.00136846,0.16652010,0.90598902
-4.42721361,6.93486649,0.86167944,4.42453279,0.58167733,0.00136152,0.16377458,0.88101642
-4.42121061,6.77613527,0.83949337,4.32346346,0.58141228,0.00135400,0.16069734,0.85450967
-4.41520760,6.60962037,0.81678726,4.21564744,0.58077741,0.00134593,0.15733902,0.82689257
-4.40920460,6.43825085,0.79395697,4.10304382,0.57996253,0.00133736,0.15375083,0.79859976
-4.40320160,6.26494802,0.77138665,3.98762141,0.57917957,0.00132832,0.14998338,0.77007297
-4.39719860,6.09258337,0.74944216,3.87132712,0.57866107,0.00131880,0.14608560,0.74175758
-4.39119560,5.92393773,0.72846478,3.75605613,0.57865753,0.00130881,0.14210368,0.71409907
-4.38519260,5.76166181,0.70876538,3.64362390,0.57943332,0.00129835,0.13808008,0.68753952
-4.37918959,5.60823869,0.69061923,3.53574050,0.58126131,0.00128739,0.13405274,0.66251362
-4.37318659,5.46594837,0.67426146,3.43398730,0.58441623,0.00127593,0.13005443,0.63944422
-4.36718359,5.33683482,0.65988348,3.33979614,0.58916680,0.00126393,0.12611225,0.61873723
-4.36118059,5.22267604,0.64763025,3.25443105,0.59576704,0.00125135,0.12224745,0.60077569
-4.35517759,5.12495754,0.63759869,3.17897271,0.60444689,0.00123814,0.11847535,0.58591300
-4.34917459,5.04484972,0.62983705,3.11430557,0.61540263,0.00122424,0.11480561,0.57446546
-4.34317159,4.98318979,0.62434541,3.06110777,0.62878738,0.00120957,0.11124268,0.56670404
-4.33716858,4.94046859,0.62107715,3.01984396,0.64470225,0.00119405,0.10778639,0.56284580
-4.33116558,4.91682294,0.61994147,2.99076116,0.66318842,0.00117760,0.10443286,0.56304511
