energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-5.47173587,0.62364119,-0.54671859,0.17738820,-0.13922208,0.12001759,-0.09969021,0.11098978,-0.09725804,0.00000000,-0.00000000,0.00568191,-0.00730055,0.03109326,-0.02495616,0.01703612,-0.02069116,0.35779718,-0.31815556
-5.46573287,0.65015526,-0.55968594,0.19138484,-0.14910779,0.12673265,-0.10370133,0.11596465,-0.09969779,0.00000000,-0.00000000,0.00501508,-0.00650890,0.03331023,-0.02630704,0.01557711,-0.01893961,0.37175849,-0.32462620
-5.45972986,0.68110153,-0.57759042,0.20664464,-0.16042570,0.13427039,-0.10865918,0.12180515,-0.10303159,0.00000000,-0.00000000,0.00440854,-0.00577355,0.03575615,-0.02795054,0.01424959,-0.01730763,0.38826819,-0.33387041
-5.45372686,0.71618522,-0.60043076,0.22307121,-0.17316530,0.14256622,-0.11455075,0.12848454,-0.10728165,0.00000000,-0.00000000,0.00386214,-0.00509727,0.03840771,-0.02987172,0.01305584,-0.01580435,0.40717715,-0.34591625
-5.44772386,0.75500995,-0.62809745,0.24054086,-0.18728679,0.15153667,-0.12134438,0.13595880,-0.11245193,0.00000000,-0.00000000,0.00337459,-0.00448142,0.04123773,-0.03205264,0.01199519,-0.01443580,0.42827610,-0.36072598
-5.44172086,0.79708892,-0.66037176,0.25890557,-0.20272069,0.16108138,-0.12898913,0.14416833,-0.11852790,0.00000000,-0.00000000,0.00294366,-0.00392602,0.04421558,-0.03447196,0.01106431,-0.01320486,0.45130221,-0.37819597
-5.43571786,0.84185948,-0.69692891,0.27799686,-0.21936852,0.17108581,-0.13741502,0.15304021,-0.12547713,0.00000000,-0.00000000,0.00256633,-0.00342997,0.04730782,-0.03710475,0.01025758,-0.01211137,0.47594753,-0.39815909
-5.42971486,0.88870043,-0.73734530,0.29763042,-0.23710465,0.18142454,-0.14653411,0.16249070,-0.13325035,0.00000000,-0.00000000,0.00223900,-0.00299117,0.05047899,-0.03992261,0.00956746,-0.01115237,0.50186886,-0.42038918
-5.42371186,0.93695120,-0.78110941,0.31761119,-0.25577905,0.19196503,-0.15624233,0.17242801,-0.14178322,0.00000000,-0.00000000,0.00195764,-0.00260673,0.05369253,-0.04289393,0.00898498,-0.01032231,0.52869864,-0.44460770
-5.41770885,0.98593196,-0.82763592,0.33773867,-0.27522105,0.20257154,-0.16642203,0.18275512,-0.15099835,0.00000000,-0.00000000,0.00171797,-0.00227314,0.05691177,-0.04598442,0.00850027,-0.00961354,0.55605626,-0.47049201
-5.41170585,1.03496377,-0.87628238,0.35781222,-0.29524375,0.21310917,-0.17694500,0.19337239,-0.16080782,0.00000000,-0.00000000,0.00151561,-0.00198644,0.06010103,-0.04915781,0.00810303,-0.00901668,0.58355928,-0.49768506
-5.40570285,1.08338776,-0.92636761,0.37763592,-0.31564890,0.22344766,-0.18767607,0.20418003,-0.17111573,0.00000000,-0.00000000,0.00134618,-0.00174237,0.06322658,-0.05237663,0.00778304,-0.00852109,0.61083404,-0.52580600
-5.39969985,1.13058242,-0.97719104,0.39702290,-0.33623205,0.23346497,-0.19847672,0.21508011,-0.18182089,0.00000000,-0.00000000,0.00120547,-0.00153657,0.06625764,-0.05560317,0.00753063,-0.00811536,0.63752519,-0.55446114
-5.39369685,1.17597836,-1.02805203,0.41579882,-0.35678765,0.24305025,-0.20920892,0.22597807,-0.19281932,0.00000000,-0.00000000,0.00108942,-0.00136462,0.06916716,-0.05880037,0.00733712,-0.00778779,0.66330358,-0.58325490
-5.38769385,1.21906983,-1.07826827,0.43380435,-0.37711384,0.25210622,-0.21973876,0.23678375,-0.20400654,0.00000000,-0.00000000,0.00099430,-0.00122226,0.07193252,-0.06193277,0.00719519,-0.00752685,0.68787249,-0.61180007
-5.38169085,1.25942264,-1.12719251,0.45089663,-0.39701667,0.26055087,-0.22993976,0.24741185,-0.21527947,0.00000000,-0.00000000,0.00091667,-0.00110538,0.07453603,-0.06496740,0.00709920,-0.00732159,0.71097163,-0.63972711
-5.37568784,1.29667835,-1.17422679,0.46694953,-0.41631359,0.26831838,-0.23969577,0.25778181,-0.22653788,0.00000000,-0.00000000,0.00085346,-0.00101014,0.07696521,-0.06787451,0.00704545,-0.00716203,0.73237916,-0.66669191
-5.36968484,1.33055487,-1.21883367,0.48185303,-0.43483599,0.27535928,-0.24890327,0.26781735,-0.23768538,0.00000000,-0.00000000,0.00080193,-0.00093301,0.07921291,-0.07062826,0.00703238,-0.00703950,0.75191168,-0.69238189
